dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
eurosat-spatial,knn5,accuracy,0.8333333333333334,0.8227777481079102,0.8431528210639954,768,,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.0551105476915836,0.0602722913026809,0.2000000029802322,,,,,6.0
eurosat-spatial,linear,accuracy,0.9496296296296296,0.9429582953453064,0.955004632472992,768,3070.290629757837,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.0409208089113235,0.0746362507343292,0.4167096018791199,0.0409533232450485,0.0748585909605026,0.4169571995735168,0.9968724818241174,15.0
eurosat-spatial,knn5,accuracy,0.9274074074074076,0.9210879802703856,0.9344490766525269,768,,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.0250007566064596,0.0377036146819591,0.2168222367763519,,,,,6.0
eurosat-spatial,linear,accuracy,0.9694444444444444,0.9648056030273438,0.973703682422638,768,8.376776400682907,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.012222858145833,0.0288720745593309,0.3749190270900726,0.0295790620148181,0.0616081953048706,0.5044753551483154,0.0670255425054934,15.0
forestnet,knn5,accuracy,0.3323262839879154,0.306117832660675,0.3605740368366241,768,,,,6464,989,993,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,bandspec_zscore,224,bilinear,default,all,12,,-6,4,40,True,200,,,,,,,0.3506557941436767,0.3661878705024719,0.4842125177383423,,,,,6.0
forestnet,linear,accuracy,0.5468277945619335,0.5205689668655396,0.5790785551071167,768,0.1343399332598898,,,6464,989,993,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,bandspec_zscore,224,bilinear,default,all,12,,-6,4,40,True,200,,,,,,,0.0537304021418094,0.0683593600988388,0.3102854490280151,0.0983698740601539,0.1125992834568023,0.2252905368804931,0.806302044238732,15.0
forestnet,knn5,accuracy,0.364551863041289,0.3373615443706512,0.394788533449173,768,,,,6464,989,993,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,224,bilinear,default,all,12,,-6,4,40,True,200,,,,,,,0.3150064051151275,0.3355275392532348,0.451342910528183,,,,,6.0
forestnet,linear,accuracy,0.5699899295065458,0.5387462377548218,0.6052618026733398,768,0.1343399332598898,,,6464,989,993,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,224,bilinear,default,all,12,,-6,4,40,True,200,,,,,,,0.0779807046055793,0.0944021195173263,0.1483129858970642,0.0857895240187645,0.0989206507802009,0.1881661862134933,0.7919631457689862,15.0
benv2,knn5,micro_mAP,0.7097066686384451,0.7003324031829834,0.7169822454452515,768,,,,20000,4000,4000,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,bandspec_zscore,224,bilinear,default,all,19,,-6,4,40,True,200,,,,,,,0.0363289622320352,0.050179204854526,0.2451961856139333,,,,,6.0
benv2,linear,micro_mAP,0.8393659930677753,0.8336260914802551,0.8440914750099182,768,0.437547937507418,,,20000,4000,4000,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,bandspec_zscore,224,bilinear,default,all,19,,-6,4,40,True,200,,,,,,,0.0136535392153554,0.0298443383929368,0.2566685323652468,0.0143089955902388,0.0303936094462283,0.2561908223127064,0.9364131536499026,15.0
m-brick-kiln,knn5,accuracy,0.8808808808808809,0.8628128170967102,0.900900900363922,768,,,,15063,999,999,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,bandspec_zscore,224,bilinear,default,all,2,,-6,4,40,True,200,,,,,,,0.0270268134772777,0.0298041440546512,0.051686406135559,,,,,6.0
m-brick-kiln,linear,accuracy,0.957957957957958,0.9439188838005066,0.9689689874649048,768,160.37187437513276,,,15063,999,999,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,bandspec_zscore,224,bilinear,default,all,2,,-6,4,40,True,200,,,,,,,0.0235681664198637,0.0533710867166519,0.2663240432739258,0.0223949197679758,0.0474367327988147,0.2687729597091675,0.8779307835183372,15.0
m-eurosat,knn5,accuracy,0.853,0.8289750218391418,0.878000020980835,768,,,,2000,1000,1000,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.0185999199748039,0.0218430310487747,0.2000000029802322,,,,,6.0
m-eurosat,linear,accuracy,0.953,0.9369999766349792,0.964049994945526,768,27.28333376486764,,,2000,1000,1000,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.0229285135865211,0.0390233062207698,0.438884437084198,0.0433190315961837,0.0945878475904464,0.5552632808685303,0.2186689903506074,15.0
m-bigearthnet,knn5,micro_mAP,0.6151340281194944,0.5995624661445618,0.631987988948822,768,,,,20000,1000,1000,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,bandspec_zscore,224,bilinear,default,all,43,,-6,4,40,True,200,,,,,,,0.0289255784239706,0.0477503391285968,0.2496363002546998,,,,,6.0
m-bigearthnet,linear,micro_mAP,0.7401356660654693,0.7264645099639893,0.7535553574562073,768,1.4251026703029963,,,20000,1000,1000,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,bandspec_zscore,224,bilinear,default,all,43,,-6,4,40,True,200,,,,,,,0.0190041084817155,0.0513163799376681,0.4250575872354729,0.0207556378919371,0.0534465298663045,0.4678109302077182,0.9112086709888512,15.0
m-brick-kiln,knn5,accuracy,0.92992992992993,0.912912905216217,0.9449699521064758,768,,,,15063,999,999,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,224,bilinear,default,all,2,,-6,4,40,True,200,,,,,,,0.0264262650161981,0.0305545814335346,0.0595749616622924,,,,,6.0
m-brick-kiln,linear,accuracy,0.9669669669669668,0.955955982208252,0.976976990699768,768,2.5719138090593416,,,15063,999,999,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,224,bilinear,default,all,2,,-6,4,40,True,200,,,,,,,0.0110265156254172,0.0325770564377307,0.2612859606742859,0.0131311174482107,0.0317839346826076,0.2645050883293152,0.7779558124453175,15.0
m-bigearthnet,knn5,micro_mAP,0.6570440453362946,0.6428091526031494,0.6707040667533875,768,,,,20000,1000,1000,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,224,bilinear,default,all,43,,-6,4,40,True,200,,,,,,,0.0261534846950928,0.0458707820277574,0.2583094131807948,,,,,6.0
m-bigearthnet,linear,micro_mAP,0.7685724221803103,0.7566380500793457,0.781646192073822,768,0.7896522868499717,,,20000,1000,1000,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base,model_native,224,bilinear,default,all,43,,-6,4,40,True,200,,,,,,,0.0182616949341324,0.0523703934321569,0.4681976458360982,0.0192166568148274,0.0527985712816548,0.4665151290422262,0.9134861390517596,15.0
