dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.7032117935706006,0.6947411298751831,0.7097408771514893,768,,,,20000,4000,4000,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base_rgb,bandspec_zscore,224,bilinear,default,rgb,19,,-6,4,40,True,200,,,,,,,0.0362422082107514,0.0499227239113104,0.2366180184640382,,,,,6.0
benv2,linear,micro_mAP,0.82386584824069,0.8174139857292175,0.8298861384391785,768,0.2424462017082325,,,20000,4000,4000,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base_rgb,bandspec_zscore,224,bilinear,default,rgb,19,,-6,4,40,True,200,,,,,,,0.0136108621694515,0.0294807525351643,0.2476005981627263,0.0147378796445034,0.0308682695643878,0.2885383418516108,0.9277572534531154,15.0
benv2,knn5,micro_mAP,0.7064844450213748,0.6975479125976562,0.7138585448265076,768,,,,20000,4000,4000,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base_rgb,model_native,224,bilinear,default,rgb,19,,-6,4,40,True,200,,,,,,,0.0369316745720999,0.0509971311119826,0.2274441724937213,,,,,6.0
benv2,linear,micro_mAP,0.8289847170358133,0.8233188986778259,0.834615170955658,768,0.2424462017082325,,,20000,4000,4000,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base_rgb,model_native,224,bilinear,default,rgb,19,,-6,4,40,True,200,,,,,,,0.0135367654327542,0.0291138621488291,0.237210774500119,0.0145645139579612,0.0305536904825681,0.2560756293578857,0.9260817636525952,15.0
eurosat-spatial,knn5,accuracy,0.8461111111111111,0.8370092511177063,0.855379581451416,768,,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base_rgb,bandspec_zscore,224,bilinear,default,rgb,10,,-6,4,40,True,200,,,,,,,0.038406815379858,0.0448040813207626,0.4666666984558105,,,,,6.0
eurosat-spatial,linear,accuracy,0.94,0.9325833320617676,0.9463009238243104,768,1.4251026703029963,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base_rgb,bandspec_zscore,224,bilinear,default,rgb,10,,-6,4,40,True,200,,,,,,,0.0130211198702454,0.0310872085392475,0.3086398839950561,0.041938379406929,0.0676244348287582,0.432571530342102,0.4275325400550913,15.0
eurosat-spatial,knn5,accuracy,0.8716666666666667,0.8625879287719727,0.8805879950523376,768,,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base_rgb,model_native,224,bilinear,default,rgb,10,,-6,4,40,True,200,,,,,,,0.0273328050971031,0.0295712891966104,0.3000000119209289,,,,,6.0
eurosat-spatial,linear,accuracy,0.942037037037037,0.9351713061332704,0.948337972164154,768,2.5719138090593416,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base_rgb,model_native,224,bilinear,default,rgb,10,,-6,4,40,True,200,,,,,,,0.0202836189419031,0.0337491370737552,0.2028388381004333,0.0461047366261482,0.0799729451537132,0.3552440404891968,0.3551428068742071,15.0
forestnet,knn5,accuracy,0.3766364551863041,0.3413897156715393,0.4078801572322845,768,,,,6464,989,993,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base_rgb,bandspec_zscore,224,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,0.3079569041728973,0.3239302635192871,0.4305239617824554,,,,,6.0
forestnet,linear,accuracy,0.5579053373615307,0.52457195520401,0.5911379456520081,768,0.0228546386413498,,,6464,989,993,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_base_rgb,bandspec_zscore,224,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,0.0732989832758903,0.0881168767809867,0.1530268788337707,0.0457553640007972,0.0593983605504035,0.1903315931558609,0.7760305595006933,15.0
