dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
eurosat-spatial,knn5,accuracy,0.8894444444444445,0.8812870383262634,0.8985231518745422,1024,,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large_rgb,model_native,224,bilinear,default,rgb,10,,-6,5,60,True,200,,,,,,,0.0238161534070968,0.0281505025923252,0.4666666984558105,,,,,6.0
eurosat-spatial,linear,accuracy,0.9548148148148148,0.9492546319961548,0.9611111283302308,1024,3.35292414924956,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large_rgb,model_native,224,bilinear,default,rgb,10,,-6,5,60,True,200,,,,,,,0.0131240719929337,0.0249913148581981,0.3109870254993438,0.033182255923748,0.062184702605009,0.3655346930027008,0.3821217512180783,15.0
eurosat-spatial,knn5,accuracy,0.8292592592592593,0.8201759457588196,0.8405555486679077,1024,,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large_rgb,bandspec_zscore,224,bilinear,default,rgb,10,,-6,5,60,True,200,,,,,,,0.0403699874877929,0.0448069013655185,0.800000011920929,,,,,6.0
eurosat-spatial,linear,accuracy,0.9392592592592592,0.9325833320617676,0.9455648064613342,1024,0.6020894493336125,,,16200,5400,5400,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large_rgb,bandspec_zscore,224,bilinear,default,rgb,10,,-6,5,60,True,200,,,,,,,0.0093352738767862,0.0244262311607599,0.2923678457736969,0.0353005640208721,0.0612644925713539,0.2737954258918762,0.4923105851029125,15.0
m-eurosat,knn5,accuracy,0.881,0.8600000143051147,0.8970249891281128,1024,,,,2000,1000,1000,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large_rgb,bandspec_zscore,224,bilinear,default,rgb,10,,-6,5,60,True,200,,,,,,,0.0327996388077735,0.0493301674723625,0.800000011920929,,,,,6.0
m-eurosat,linear,accuracy,0.952,0.9389750361442566,0.9660000205039978,1024,7.912342618981326,,,2000,1000,1000,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large_rgb,bandspec_zscore,224,bilinear,default,rgb,10,,-6,5,60,True,200,,,,,,,0.0160505641251802,0.0345847308635711,0.4267813265323639,0.042400125414133,0.086441732943058,0.4298321306705475,0.2004659362441961,15.0
m-eurosat,knn5,accuracy,0.883,0.8609750270843506,0.906000018119812,1024,,,,2000,1000,1000,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large_rgb,model_native,224,bilinear,default,rgb,10,,-6,5,60,True,200,,,,,,,0.0345995426177978,0.0470407791435718,0.0970572233200073,,,,,6.0
m-eurosat,linear,accuracy,0.949,0.9359750151634216,0.9630249738693236,1024,7.912342618981326,,,2000,1000,1000,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large_rgb,model_native,224,bilinear,default,rgb,10,,-6,5,60,True,200,,,,,,,0.0183671116828918,0.044017169624567,0.2429863512516021,0.0456782467663288,0.1090203896164894,0.7096409201622009,0.1704516832486637,15.0
m-brick-kiln,knn5,accuracy,0.93993993993994,0.9228978753089904,0.952978014945984,1024,,,,15063,999,999,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large_rgb,model_native,224,bilinear,default,rgb,2,,-6,5,60,True,200,,,,,,,0.0234233140945434,0.0324762053787708,0.0741710662841796,,,,,6.0
m-brick-kiln,linear,accuracy,0.9769769769769768,0.9679679870605468,0.9849849939346312,1024,0.3919406774847221,,,15063,999,999,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large_rgb,model_native,224,bilinear,default,rgb,2,,-6,5,60,True,200,,,,,,,0.0140061806887388,0.0422386080026626,0.4736771583557129,0.012727684341371,0.049622967839241,0.4933233261108398,0.8095130038011318,15.0
m-brick-kiln,knn5,accuracy,0.908908908908909,0.8898648619651794,0.9269519448280334,1024,,,,15063,999,999,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large_rgb,bandspec_zscore,224,bilinear,default,rgb,2,,-6,5,60,True,200,,,,,,,0.0354351475834846,0.0417436398565769,0.0893946886062622,,,,,6.0
m-brick-kiln,linear,accuracy,0.967967967967968,0.955955982208252,0.978978991508484,1024,0.3919406774847221,,,15063,999,999,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large_rgb,bandspec_zscore,224,bilinear,default,rgb,2,,-6,5,60,True,200,,,,,,,0.018569367006421,0.0448382534086704,0.15334552526474,0.0151231465861201,0.029119299724698,0.2339775562286377,0.7273605673905134,15.0
forestnet,knn5,accuracy,0.3756294058408862,0.3413645327091217,0.4048590064048767,1024,,,,6464,989,993,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large_rgb,model_native,224,bilinear,default,rgb,12,,-6,5,60,True,200,,,,,,,0.3148048818111419,0.3226792812347412,0.3949999809265136,,,,,6.0
forestnet,linear,accuracy,0.5478348439073515,0.5186303853988647,0.5790785551071167,1024,0.0458159766905449,,,6464,989,993,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large_rgb,model_native,224,bilinear,default,rgb,12,,-6,5,60,True,200,,,,,,,0.0321979895234108,0.0384987629950046,0.0801956057548523,0.0810763165354728,0.0924480408430099,0.1653926968574524,0.7403186013551943,15.0
forestnet,knn5,accuracy,0.3927492447129909,0.3635196387767792,0.4219788610935211,1024,,,,6464,989,993,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large_rgb,bandspec_zscore,224,bilinear,default,rgb,12,,-6,5,60,True,200,,,,,,,0.2958723902702331,0.3149259984493255,0.409563660621643,,,,,6.0
forestnet,linear,accuracy,0.4974823766364551,0.4702416658401489,0.5277190208435059,1024,1.4208308325339238,,,6464,989,993,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large_rgb,bandspec_zscore,224,bilinear,default,rgb,12,,-6,5,60,True,200,,,,,,,0.1880954355001449,0.1941612511873245,0.2503385841846466,0.3087442815303802,0.3148133456707001,0.4409925043582916,0.5934837005378145,15.0
benv2,knn5,micro_mAP,0.7126698871148355,0.7046095132827759,0.719826877117157,1024,,,,20000,4000,4000,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large_rgb,model_native,224,bilinear,default,rgb,19,,-6,5,60,True,200,,,,,,,0.0359842342165249,0.0503108381342731,0.245339097161042,,,,,6.0
benv2,linear,micro_mAP,0.8406305011049502,0.8346660733222961,0.8461227416992188,1024,0.2551406520031287,,,20000,4000,4000,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large_rgb,model_native,224,bilinear,default,rgb,19,,-6,5,60,True,200,,,,,,,0.0137224980433912,0.0304664330753056,0.2432691996034822,0.0155557297862527,0.0326935728938367,0.2576287079014276,0.9188931352509644,15.0
m-forestnet,knn5,accuracy,0.4149043303121853,0.3866565823554992,0.4461480379104614,1024,,,,6464,989,993,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large_rgb,bandspec_zscore,224,bilinear,default,rgb,12,,-6,5,60,True,200,,,,,,,0.2817734479904175,0.3030805587768554,0.375291496515274,,,,,6.0
m-forestnet,linear,accuracy,0.5629405840886204,0.5305891036987305,0.5891238451004028,1024,0.0458159766905449,,,6464,989,993,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large_rgb,bandspec_zscore,224,bilinear,default,rgb,12,,-6,5,60,True,200,,,,,,,0.0617867112159729,0.0715222582221031,0.1584389507770538,0.079468697309494,0.0949849486351013,0.1888138353824615,0.7642699068784373,15.0
benv2,knn5,micro_mAP,0.7007842453852853,0.6921470761299133,0.7094928622245789,1024,,,,20000,4000,4000,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large_rgb,bandspec_zscore,224,bilinear,default,rgb,19,,-6,5,60,True,200,,,,,,,0.037257990738573,0.051616808546609,0.239525493038328,,,,,6.0
benv2,linear,micro_mAP,0.8324692200594177,0.8265324831008911,0.8378217220306396,1024,0.2551406520031287,,,20000,4000,4000,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large_rgb,bandspec_zscore,224,bilinear,default,rgb,19,,-6,5,60,True,200,,,,,,,0.014089654325385,0.0306851943023502,0.2796170546820289,0.0156942675821483,0.031923453470594,0.2823994332238247,0.9173349279982198,15.0
m-pv4ger,knn5,accuracy,0.935935935935936,0.9208958745002748,0.9499749541282654,1024,,,,11814,999,999,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large_rgb,bandspec_zscore,224,bilinear,default,rgb,2,,-6,5,60,True,200,,,,,,,0.0242241788655519,0.0250122305005788,0.0482760071754455,,,,,6.0
m-pv4ger,linear,accuracy,0.95995995995996,0.946946918964386,0.9749749898910522,1024,0.9249147277217336,,,11814,999,999,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large_rgb,bandspec_zscore,224,bilinear,default,rgb,2,,-6,5,60,True,200,,,,,,,0.0284826196730136,0.0741917341947555,0.5000919103622437,0.0228398349136114,0.0536458157002925,0.4818822145462036,1.0842802227205244,15.0
m-bigearthnet,knn5,micro_mAP,0.6163528977119315,0.6012610197067261,0.6287362575531006,1024,,,,20000,1000,1000,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large_rgb,bandspec_zscore,224,bilinear,default,rgb,43,,-6,5,60,True,200,,,,,,,0.0274744257439187,0.0455929326370011,0.2428862121562625,,,,,6.0
m-bigearthnet,linear,micro_mAP,0.735336761871644,0.7227705717086792,0.7502031922340393,1024,0.3919406774847221,,,20000,1000,1000,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large_rgb,bandspec_zscore,224,bilinear,default,rgb,43,,-6,5,60,True,200,,,,,,,0.0182651293810543,0.0525758752469406,0.4776750841113024,0.0201272561518085,0.0536770413434782,0.466533190289209,0.8871499148075662,15.0
m-pv4ger,knn5,accuracy,0.9409409409409408,0.9289289116859436,0.954954981803894,1024,,,,11814,999,999,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large_rgb,model_native,224,bilinear,default,rgb,2,,-6,5,60,True,200,,,,,,,0.0234234686940908,0.0240649301558733,0.025404155254364,,,,,6.0
m-pv4ger,linear,accuracy,0.961961961961962,0.9509009122848512,0.975000023841858,1024,0.1660882782627716,,,11814,999,999,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large_rgb,model_native,224,bilinear,default,rgb,2,,-6,5,60,True,200,,,,,,,0.0159809980541467,0.0276676937937736,0.1453732252120971,0.0119751598685979,0.0226077698171138,0.1475495100021362,1.1140806303674398,15.0
m-bigearthnet,knn5,micro_mAP,0.6241497817119357,0.6100580096244812,0.6397168636322021,1024,,,,20000,1000,1000,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large_rgb,model_native,224,bilinear,default,rgb,43,,-6,5,60,True,200,,,,,,,0.0290651097135661,0.0478795604823633,0.2450881006066189,,,,,6.0
m-bigearthnet,linear,micro_mAP,0.743389962100872,0.7316848635673523,0.7563821077346802,1024,0.3919406774847221,,,20000,1000,1000,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large_rgb,model_native,224,bilinear,default,rgb,43,,-6,5,60,True,200,,,,,,,0.0184543451597524,0.0505710101231586,0.4669769305822461,0.0205951060904839,0.0538685025084157,0.502426010231639,0.8770608237509332,15.0
m-forestnet,knn5,accuracy,0.3967774420946626,0.3635196387767792,0.4290282130241394,1024,,,,6464,989,993,0,torchgeo_bench.models.TerraTorchTerraMindBench,tt_terramind_v1_large_rgb,model_native,224,bilinear,default,rgb,12,,-6,5,60,True,200,,,,,,,0.2968794703483581,0.3114816546440124,0.4363654851913452,,,,,6.0
