dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.6422271012812585,0.6341416239738464,0.6508193016052246,768,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_base_patch16_224,bandspec_zscore,224,bilinear,default,rgb,19,0a5b043284da5ff3,-6,4,40,True,200,,,,,,,0.042300012342533784,0.055335239115122115,0.2202949759207274,,,,,6
m-so2sat,knn5,accuracy,0.4178498985801217,0.3894016146659851,0.44832658767700195,768,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vit_base_patch16_224,bandspec_zscore,224,bilinear,default,rgb,17,0a5b043284da5ff3,-6,4,40,True,200,,,,,,,0.1829623132944107,0.18905630707740784,0.23902565240859985,,,,,6
m-so2sat,linear,accuracy,0.5831643002028397,0.5516988039016724,0.6095842123031616,768,0.003888155180308085,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vit_base_patch16_224,bandspec_zscore,224,bilinear,default,rgb,17,0a5b043284da5ff3,-6,4,40,True,200,,,,,,,0.04155779257416725,0.05259079858660698,0.12053333967924118,,,,,15
m-bigearthnet,knn5,micro_mAP,0.48463072446360833,0.4663471579551697,0.5023412108421326,768,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_base_patch16_224,bandspec_zscore,224,bilinear,default,rgb,43,0a5b043284da5ff3,-6,4,40,True,200,,,,,,,0.03825582323465929,0.05631860029385533,0.32474112302757974,,,,,6
m-bigearthnet,linear,micro_mAP,0.6503632770986075,0.6345444321632385,0.6667489409446716,768,0.04124626382901348,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_base_patch16_224,bandspec_zscore,224,bilinear,default,rgb,43,0a5b043284da5ff3,-6,4,40,True,200,,,,,,,0.02007608089682668,0.052712146279423736,0.4830132313939028,,,,,15
benv2,linear,micro_mAP,0.7838594455019492,0.7764953374862671,0.790981650352478,768,0.022854638641349883,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_base_patch16_224,bandspec_zscore,224,bilinear,default,rgb,19,0a5b043284da5ff3,-6,4,40,True,200,,,,,,,0.01577596933164291,0.03022041527162257,0.2545740251478396,,,,,15
so2sat,knn5,accuracy,0.4178498985801217,0.3884381353855133,0.4482758641242981,768,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vit_base_patch16_224,bandspec_zscore,224,bilinear,default,rgb,17,0a5b043284da5ff3,-6,4,40,True,200,,,,,,,0.1829623132944107,0.18905630707740784,0.23902565240859985,,,,,6
so2sat,linear,accuracy,0.5831643002028397,0.5527129769325256,0.6135902404785156,768,0.003888155180308085,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vit_base_patch16_224,bandspec_zscore,224,bilinear,default,rgb,17,0a5b043284da5ff3,-6,4,40,True,200,,,,,,,0.04236965253949165,0.0542876273393631,0.12120011448860168,,,,,15
eurosat-spatial,knn5,accuracy,0.8587037037037037,0.8494213223457336,0.8679953813552856,768,,,,16200,5400,5400,0,torchgeo_bench.models.TimmPatchBenchModel,vit_base_patch16_224,bandspec_zscore,224,bilinear,default,rgb,10,0a5b043284da5ff3,-6,4,40,True,200,,,,,,,0.021261265501379967,0.024008814245462418,0.04999999701976776,,,,,6
eurosat-spatial,linear,accuracy,0.9359259259259259,0.9303657412528992,0.9420416951179504,768,0.13433993325988988,,,16200,5400,5400,0,torchgeo_bench.models.TimmPatchBenchModel,vit_base_patch16_224,bandspec_zscore,224,bilinear,default,rgb,10,0a5b043284da5ff3,-6,4,40,True,200,,,,,,,0.013136019930243492,0.021829653531312943,0.2941995859146118,,,,,15
forestnet,knn5,accuracy,0.35246727089627394,0.3272406756877899,0.38471803069114685,768,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,vit_base_patch16_224,bandspec_zscore,224,bilinear,default,rgb,12,0a5b043284da5ff3,-6,4,40,True,200,,,,,,,0.33212611079216003,0.36043277382850647,0.5147907733917236,,,,,6
forestnet,linear,accuracy,0.5166163141993958,0.4843152165412903,0.5508811473846436,768,0.002154434690031882,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,vit_base_patch16_224,bandspec_zscore,224,bilinear,default,rgb,12,0a5b043284da5ff3,-6,4,40,True,200,,,,,,,0.07033191621303558,0.08290610462427139,0.19290892779827118,,,,,15
m-eurosat,knn5,accuracy,0.823,0.796999990940094,0.8430249691009521,768,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_base_patch16_224,bandspec_zscore,224,bilinear,default,rgb,10,0a5b043284da5ff3,-6,4,40,True,200,,,,,,,0.017000511288642883,0.01922730728983879,0.04999999701976776,,,,,6
m-eurosat,linear,accuracy,0.948,0.9349750280380249,0.9620000123977661,768,2.5719138090593416,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_base_patch16_224,bandspec_zscore,224,bilinear,default,rgb,10,0a5b043284da5ff3,-6,4,40,True,200,,,,,,,0.02690153196454048,0.055729836225509644,0.6420639753341675,,,,,15
m-brick-kiln,knn5,accuracy,0.9569569569569569,0.9429429173469543,0.9689689874649048,768,,,,15063,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,vit_base_patch16_224,bandspec_zscore,224,bilinear,default,rgb,2,0a5b043284da5ff3,-6,4,40,True,200,,,,,,,0.028828658163547516,0.048430949449539185,0.1083335280418396,,,,,6
m-brick-kiln,linear,accuracy,0.974974974974975,0.9649649858474731,0.9840090274810791,768,0.003888155180308085,,,15063,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,vit_base_patch16_224,bandspec_zscore,224,bilinear,default,rgb,2,0a5b043284da5ff3,-6,4,40,True,200,,,,,,,0.024089641869068146,0.058720435947179794,0.43285107612609863,,,,,15
m-pv4ger,knn5,accuracy,0.9519519519519519,0.9379379153251648,0.965965986251831,768,,,,11814,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,vit_base_patch16_224,bandspec_zscore,224,bilinear,default,rgb,2,0a5b043284da5ff3,-6,4,40,True,200,,,,,,,0.018418485298752785,0.018486207351088524,0.025532186031341553,,,,,6
m-pv4ger,linear,accuracy,0.9679679679679679,0.9579329490661621,0.9800050258636475,768,0.007017038286703823,,,11814,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,vit_base_patch16_224,bandspec_zscore,224,bilinear,default,rgb,2,0a5b043284da5ff3,-6,4,40,True,200,,,,,,,0.014335105195641518,0.02990005537867546,0.2362353801727295,,,,,15
m-forestnet,knn5,accuracy,0.38972809667673713,0.36251258850097656,0.41591137647628784,768,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,vit_base_patch16_224,bandspec_zscore,224,bilinear,default,rgb,12,0a5b043284da5ff3,-6,4,40,True,200,,,,,,,0.29446253180503845,0.3236336410045624,0.44516316056251526,,,,,6
m-forestnet,linear,accuracy,0.5065458207452165,0.48134440183639526,0.5378902554512024,768,0.022854638641349883,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,vit_base_patch16_224,bandspec_zscore,224,bilinear,default,rgb,12,0a5b043284da5ff3,-6,4,40,True,200,,,,,,,0.1072579100728035,0.12126093357801437,0.21705418825149536,,,,,15
treesatai,knn5,micro_mAP,0.4175225232548045,0.40027329325675964,0.4341385066509247,768,,,,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_base_patch16_224,bandspec_zscore,224,bilinear,default,rgb,15,0a5b043284da5ff3,-6,4,40,True,200,,,,,,,0.06710662487894296,0.0886252557237943,0.5037693505485853,,,,,6
treesatai,linear,micro_mAP,0.6153970947005533,0.6007668375968933,0.6293702721595764,768,0.022854638641349883,,,4000,1000,2000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_base_patch16_224,bandspec_zscore,224,bilinear,default,rgb,15,0a5b043284da5ff3,-6,4,40,True,200,,,,,,,0.020832541476314265,0.03386297058314085,0.2737064073483149,,,,,15
