dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.6658595662224432,0.6563495397567749,0.6738477945327759,1024,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_224,bandspec_zscore,224,bilinear,default,rgb,19,43bc6f6ccee51ccb,-6,4,40,True,200,,,,,,,0.040642150261096265,0.053267446469123424,0.21908714504618393,,,,,6
m-so2sat,knn5,accuracy,0.4300202839756592,0.40159735083580017,0.46353957056999207,1024,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_224,bandspec_zscore,224,bilinear,default,rgb,17,43bc6f6ccee51ccb,-6,4,40,True,200,,,,,,,0.1778913140296936,0.1822582483291626,0.23820370435714722,,,,,6
m-so2sat,linear,accuracy,0.6582150101419878,0.6237069368362427,0.6876267790794373,1024,0.003888155180308085,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_224,bandspec_zscore,224,bilinear,default,rgb,17,43bc6f6ccee51ccb,-6,4,40,True,200,,,,,,,0.05068635195493698,0.06310878694057465,0.18913185596466064,,,,,15
so2sat,knn5,accuracy,0.4300202839756592,0.39852941036224365,0.4634888470172882,1024,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_224,bandspec_zscore,224,bilinear,default,rgb,17,43bc6f6ccee51ccb,-6,4,40,True,200,,,,,,,0.1778913140296936,0.1822582483291626,0.23820370435714722,,,,,6
so2sat,linear,accuracy,0.6561866125760649,0.6277382969856262,0.6855983734130859,1024,0.003888155180308085,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_224,bandspec_zscore,224,bilinear,default,rgb,17,43bc6f6ccee51ccb,-6,4,40,True,200,,,,,,,0.04879221320152283,0.060246337205171585,0.18904367089271545,,,,,15
m-bigearthnet,knn5,micro_mAP,0.5186291604002193,0.5000146627426147,0.5348480343818665,1024,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_224,bandspec_zscore,224,bilinear,default,rgb,43,43bc6f6ccee51ccb,-6,4,40,True,200,,,,,,,0.03608838253286342,0.05128390147069166,0.2787729255681814,,,,,6
m-bigearthnet,linear,micro_mAP,0.6828811764181807,0.6693549752235413,0.6974241733551025,1024,0.022854638641349883,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_224,bandspec_zscore,224,bilinear,default,rgb,43,43bc6f6ccee51ccb,-6,4,40,True,200,,,,,,,0.019371802875295628,0.05177680203734442,0.4372102590494378,,,,,15
benv2,linear,micro_mAP,0.8054545222635788,0.7988219857215881,0.8128313422203064,1024,0.012663801734674022,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_224,bandspec_zscore,224,bilinear,default,rgb,19,43bc6f6ccee51ccb,-6,4,40,True,200,,,,,,,0.014655597800523728,0.029508092992105765,0.2582847476005554,,,,,15
forestnet,knn5,accuracy,0.3766364551863041,0.34441086649894714,0.40785497426986694,1024,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_224,bandspec_zscore,224,bilinear,default,rgb,12,43bc6f6ccee51ccb,-6,4,40,True,200,,,,,,,0.3196386992931366,0.34037959575653076,0.4500020444393158,,,,,6
forestnet,linear,accuracy,0.5568982880161127,0.5266616344451904,0.5871601104736328,1024,0.002154434690031882,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_224,bandspec_zscore,224,bilinear,default,rgb,12,43bc6f6ccee51ccb,-6,4,40,True,200,,,,,,,0.065175361931324,0.08141638338565826,0.13994264602661133,,,,,15
