dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
forestnet,knn5,accuracy,0.3695871097683786,0.3393756151199341,0.4018378853797912,1024,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,bandspec_zscore,224,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,0.3361544013023376,0.3447977900505066,0.4277392029762268,,,,,6.0
forestnet,linear,accuracy,0.5367573011077543,0.5085095763206482,0.5649798512458801,1024,0.2424462017082325,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,bandspec_zscore,224,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,0.0456070862710475,0.0581111758947372,0.184064045548439,0.135133758187294,0.1475211530923843,0.2438255846500396,0.7208146291535054,15.0
forestnet,knn5,accuracy,0.3846928499496475,0.3564451038837433,0.415961742401123,1024,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,model_native,224,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,0.3242711424827575,0.343636691570282,0.472796082496643,,,,,6.0
forestnet,linear,accuracy,0.5438066465256798,0.5125377774238586,0.5761077404022217,1024,0.1343399332598898,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,model_native,224,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,0.0409234501421451,0.0503265596926212,0.0986299514770507,0.1046457439661026,0.110876977443695,0.1665329933166504,0.7244508461278392,15.0
m-eurosat,knn5,accuracy,0.843,0.8149999976158142,0.865024983882904,1024,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.0465998873114585,0.0631013810634613,0.3000000119209289,,,,,6.0
m-eurosat,linear,accuracy,0.935,0.9209750294685364,0.9490249752998352,1024,942.6684551178854,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.0406469143927097,0.0622661113739013,0.3472941815853119,0.0580041073262691,0.1081406474113464,0.4949065148830414,0.4191113149178874,15.0
m-eurosat,knn5,accuracy,0.926,0.906000018119812,0.9419999718666076,1024,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,bandspec_zscore,224,bilinear,default,rgb,10,,-6,4,40,True,200,,,,,,,0.033999815583229,0.0631783008575439,0.800000011920929,,,,,6.0
m-eurosat,linear,accuracy,0.964,0.9520000219345092,0.975000023841858,1024,2.5719138090593416,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,bandspec_zscore,224,bilinear,default,rgb,10,,-6,4,40,True,200,,,,,,,0.0103811016306281,0.0425732024013996,0.4215389490127563,0.0334987565875053,0.0808188766241073,0.7884253859519958,0.0883707930388812,15.0
m-eurosat,knn5,accuracy,0.925,0.9079750180244446,0.9419999718666076,1024,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,model_native,224,bilinear,default,rgb,10,,-6,4,40,True,200,,,,,,,0.0375997796654701,0.057638581842184,0.2000000029802322,,,,,6.0
m-eurosat,linear,accuracy,0.944,0.930999994277954,0.9580000042915344,1024,0.437547937507418,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,model_native,224,bilinear,default,rgb,10,,-6,4,40,True,200,,,,,,,0.021563421934843,0.0419320538640022,0.2884880900382995,0.0401047207415103,0.0886587277054786,0.6755712032318115,0.2954151215645694,15.0
