dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
forestnet,knn5,accuracy,0.3836858006042296,0.3524420857429504,0.411908358335495,1024,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat,bandspec_zscore,224,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,0.31883305311203,0.3327614963054657,0.4036697149276733,,,,,6.0
forestnet,linear,accuracy,0.5669687814702921,0.5367069244384766,0.6042799949645996,1024,0.0744380301325168,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat,bandspec_zscore,224,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,0.0860035344958305,0.1025292724370956,0.2006565928459167,0.0438590385019779,0.0506513193249702,0.1854102313518524,0.7587992334557275,15.0
forestnet,knn5,accuracy,0.3806646525679758,0.3494461178779602,0.4098690748214721,1024,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat,model_native,224,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,0.3182288408279419,0.3416329324245453,0.4996066689491272,,,,,6.0
forestnet,linear,accuracy,0.5659617321248741,0.5357251167297363,0.6012839674949646,1024,0.1343399332598898,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat,model_native,224,bilinear,default,rgb,12,,-6,4,40,True,200,,,,,,,0.0673308596014976,0.0785313621163368,0.1831744164228439,0.0571002848446369,0.0729826539754867,0.1930237412452697,0.753197400022411,15.0
m-eurosat,knn5,accuracy,0.93,0.910925030708313,0.9470250010490416,1024,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat,bandspec_zscore,224,bilinear,default,rgb,10,,-6,4,40,True,200,,,,,,,0.047999769449234,0.0716088861227035,0.1428573131561279,,,,,6.0
m-eurosat,linear,accuracy,0.966,0.9529750347137452,0.975000023841858,1024,15.1177507061566,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat,bandspec_zscore,224,bilinear,default,rgb,10,,-6,4,40,True,200,,,,,,,0.0151941981166601,0.0385268814861774,0.3511798679828644,0.0318546593189239,0.0729048177599906,0.5651336908340454,0.1833501493005342,15.0
eurosat-spatial,knn5,accuracy,0.9164814814814816,0.908324122428894,0.9237083792686462,1024,,,,16200,5400,5400,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat,bandspec_zscore,224,bilinear,default,rgb,10,,-6,4,40,True,200,,,,,,,0.0270745903253555,0.0304064843803644,0.800000011920929,,,,,6.0
eurosat-spatial,linear,accuracy,0.9503703703703704,0.94499534368515,0.9561157822608948,1024,0.7896522868499717,,,16200,5400,5400,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat,bandspec_zscore,224,bilinear,default,rgb,10,,-6,4,40,True,200,,,,,,,0.0058622383512556,0.0187997911125421,0.2012604176998138,0.0277875885367393,0.0524816624820232,0.2992311716079712,0.5411145902750585,15.0
m-eurosat,knn5,accuracy,0.907,0.8839750289916992,0.9260249733924866,1024,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat,model_native,224,bilinear,default,rgb,10,,-6,4,40,True,200,,,,,,,0.0423998311161994,0.0592367984354496,0.1141398549079895,,,,,6.0
m-eurosat,linear,accuracy,0.961,0.9499750137329102,0.9730249643325806,1024,4.641588833612772,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat,model_native,224,bilinear,default,rgb,10,,-6,4,40,True,200,,,,,,,0.0119621278718113,0.0371752567589283,0.231595367193222,0.0380249507725238,0.083843819797039,0.7030527591705322,0.0982364254048768,15.0
m-eurosat,knn5,accuracy,0.852,0.8339750170707703,0.8740249872207642,1024,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.0327998585999012,0.0423436909914016,0.2000000029802322,,,,,6.0
m-eurosat,linear,accuracy,0.957,0.9459999799728394,0.9700000286102296,1024,4.641588833612772,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.0122667765244841,0.0312074348330497,0.3871901631355285,0.0409785211086273,0.0903854072093963,0.7191255688667297,0.1027170405296355,15.0
eurosat-spatial,knn5,accuracy,0.8744444444444445,0.8660879731178284,0.8825972676277161,1024,,,,16200,5400,5400,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.0171127710491418,0.0175382159650325,0.0499999970197677,,,,,6.0
eurosat-spatial,linear,accuracy,0.9546296296296296,0.9492546319961548,0.9607453942298888,1024,4.641588833612772,,,16200,5400,5400,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat,bandspec_zscore,224,bilinear,default,all,10,,-6,4,40,True,200,,,,,,,0.0034763920120894,0.0100999036803841,0.0929674208164215,0.0309074632823467,0.0539877340197563,0.5798947215080261,0.4076512606877092,15.0
benv2,knn5,micro_mAP,0.7112762808672338,0.7034231424331665,0.7189171314239502,1024,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat,bandspec_zscore,224,bilinear,default,rgb,19,,-6,4,40,True,200,,,,,,,0.0353264250902851,0.0497567311517502,0.196189152959146,,,,,6.0
