dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.6375561071699447,0.6286161541938782,0.6460642218589783,2048,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,wide_resnet50_2,bandspec_zscore,224,bilinear,default,rgb,19,d150f2834c34a689,-6,4,40,True,200,,,,,,,0.04377901744048454,0.056605821328335686,0.21461431838964162,,,,,6
m-so2sat,knn5,accuracy,0.3995943204868154,0.3721855878829956,0.4279918968677521,2048,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,wide_resnet50_2,bandspec_zscore,224,bilinear,default,rgb,17,d150f2834c34a689,-6,4,40,True,200,,,,,,,0.20304328203201294,0.21365582942962646,0.3202325999736786,,,,,6
m-so2sat,linear,accuracy,0.603448275862069,0.5719828009605408,0.6318711638450623,2048,0.003888155180308085,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,wide_resnet50_2,bandspec_zscore,224,bilinear,default,rgb,17,d150f2834c34a689,-6,4,40,True,200,,,,,,,0.12529708445072174,0.136190265417099,0.2354367971420288,,,,,15
m-bigearthnet,knn5,micro_mAP,0.4652244098647079,0.4454289972782135,0.48384010791778564,2048,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,wide_resnet50_2,bandspec_zscore,224,bilinear,default,rgb,43,d150f2834c34a689,-6,4,40,True,200,,,,,,,0.041665121328172294,0.059444688282213935,0.31482448931350265,,,,,6
m-bigearthnet,linear,micro_mAP,0.6260215434923592,0.6107940077781677,0.6423835754394531,2048,0.04124626382901348,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,wide_resnet50_2,bandspec_zscore,224,bilinear,default,rgb,43,d150f2834c34a689,-6,4,40,True,200,,,,,,,0.020459675554965816,0.05406505995711615,0.4932542949221855,,,,,15
so2sat,knn5,accuracy,0.3995943204868154,0.36916837096214294,0.4310598373413086,2048,,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,wide_resnet50_2,bandspec_zscore,224,bilinear,default,rgb,17,d150f2834c34a689,-6,4,40,True,200,,,,,,,0.2032461017370224,0.21346332132816315,0.3172427713871002,,,,,6
so2sat,linear,accuracy,0.6004056795131846,0.5709431767463684,0.633874237537384,2048,0.003888155180308085,,,19992,986,986,0,torchgeo_bench.models.TimmPatchBenchModel,wide_resnet50_2,bandspec_zscore,224,bilinear,default,rgb,17,d150f2834c34a689,-6,4,40,True,200,,,,,,,0.12229830026626587,0.13361042737960815,0.23765349388122559,,,,,15
benv2,linear,micro_mAP,0.7749933867878578,0.7679743766784668,0.7815340161323547,2048,0.022854638641349883,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,wide_resnet50_2,bandspec_zscore,224,bilinear,default,rgb,19,d150f2834c34a689,-6,4,40,True,200,,,,,,,0.017064977682342653,0.0321062654073007,0.28180494738473116,,,,,15
m-eurosat,knn5,accuracy,0.85,0.8220000267028809,0.8730000257492065,2048,,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,wide_resnet50_2,bandspec_zscore,224,bilinear,default,rgb,10,d150f2834c34a689,-6,4,40,True,200,,,,,,,0.03499988839030266,0.03889289125800133,0.20000000298023224,,,,,6
m-eurosat,linear,accuracy,0.946,0.9299750328063965,0.959024965763092,2048,0.0744380301325168,,,2000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,wide_resnet50_2,bandspec_zscore,224,bilinear,default,rgb,10,d150f2834c34a689,-6,4,40,True,200,,,,,,,0.04999764636158943,0.07442434877157211,0.21336954832077026,,,,,15
eurosat-spatial,knn5,accuracy,0.8644444444444445,0.8557314872741699,0.8737037181854248,2048,,,,16200,5400,5400,0,torchgeo_bench.models.TimmPatchBenchModel,wide_resnet50_2,bandspec_zscore,224,bilinear,default,rgb,10,d150f2834c34a689,-6,4,40,True,200,,,,,,,0.026850061491131783,0.028314150869846344,0.17499998211860657,,,,,6
