dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,profile,throughput_samples_per_sec,965867.2770754463,0.0,0.0,12,,,,20000,4000,4000,0,torchgeo_bench.models.ImageStatsBench,imagestats,bandspec_zscore,224,bilinear,default,rgb,19,,-6,4,40,True,200,,,,,,,,,,,,,,
benv2,profile,latency_ms_per_batch_p50,0.06555160507559776,0.0,0.0,12,,,,20000,4000,4000,0,torchgeo_bench.models.ImageStatsBench,imagestats,bandspec_zscore,224,bilinear,default,rgb,19,,-6,4,40,True,200,,,,,,,,,,,,,,
benv2,profile,peak_gpu_mem_gb,0.09839534759521484,0.0,0.0,12,,,,20000,4000,4000,0,torchgeo_bench.models.ImageStatsBench,imagestats,bandspec_zscore,224,bilinear,default,rgb,19,,-6,4,40,True,200,,,,,,,,,,,,,,
benv2,profile,reserved_gpu_mem_gb,1.19921875,0.0,0.0,12,,,,20000,4000,4000,0,torchgeo_bench.models.ImageStatsBench,imagestats,bandspec_zscore,224,bilinear,default,rgb,19,,-6,4,40,True,200,,,,,,,,,,,,,,
benv2,profile,params_m,0.0,0.0,0.0,12,,,,20000,4000,4000,0,torchgeo_bench.models.ImageStatsBench,imagestats,bandspec_zscore,224,bilinear,default,rgb,19,,-6,4,40,True,200,,,,,,,,,,,,,,
benv2,profile,gflops,0.0,0.0,0.0,12,,,,20000,4000,4000,0,torchgeo_bench.models.ImageStatsBench,imagestats,bandspec_zscore,224,bilinear,default,rgb,19,,-6,4,40,True,200,,,,,,,,,,,,,,
benv2,profile,throughput_samples_per_sec,220710.37271495417,0.0,0.0,56,,,,20000,4000,4000,0,torchgeo_bench.models.ImageStatsBench,imagestats,bandspec_zscore,224,bilinear,default,all,19,,-6,4,40,True,200,,,,,,,,,,,,,,
benv2,profile,latency_ms_per_batch_p50,0.2890853211283684,0.0,0.0,56,,,,20000,4000,4000,0,torchgeo_bench.models.ImageStatsBench,imagestats,bandspec_zscore,224,bilinear,default,all,19,,-6,4,40,True,200,,,,,,,,,,,,,,
benv2,profile,peak_gpu_mem_gb,0.23049545288085938,0.0,0.0,56,,,,20000,4000,4000,0,torchgeo_bench.models.ImageStatsBench,imagestats,bandspec_zscore,224,bilinear,default,all,19,,-6,4,40,True,200,,,,,,,,,,,,,,
benv2,profile,reserved_gpu_mem_gb,1.4609375,0.0,0.0,56,,,,20000,4000,4000,0,torchgeo_bench.models.ImageStatsBench,imagestats,bandspec_zscore,224,bilinear,default,all,19,,-6,4,40,True,200,,,,,,,,,,,,,,
benv2,profile,params_m,0.0,0.0,0.0,56,,,,20000,4000,4000,0,torchgeo_bench.models.ImageStatsBench,imagestats,bandspec_zscore,224,bilinear,default,all,19,,-6,4,40,True,200,,,,,,,,,,,,,,
benv2,profile,gflops,0.0,0.0,0.0,56,,,,20000,4000,4000,0,torchgeo_bench.models.ImageStatsBench,imagestats,bandspec_zscore,224,bilinear,default,all,19,,-6,4,40,True,200,,,,,,,,,,,,,,
