dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.5603072695625588,0.5519070625305176,0.5698893070220947,1536,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,256,bilinear,default,all,19,99a0e961983d99d6,-6,4,40,True,200,,,,,,,0.04976848436911639,0.06428198697731684,0.2981240419965041,,,,,6
benv2,linear,micro_mAP,0.7533356183847755,0.7458386421203613,0.7607213258743286,1536,0.003888155180308085,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,256,bilinear,default,all,19,99a0e961983d99d6,-6,4,40,True,200,,,,,,,0.017480974226552797,0.03309048496578869,0.32650873535557795,,,,,15
eurosat-spatial,knn5,accuracy,0.7916666666666666,0.7819398045539856,0.8033425807952881,1536,,,,16200,5400,5400,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,256,bilinear,default,all,10,99a0e961983d99d6,-6,4,40,True,200,,,,,,,0.03551657497882843,0.03840737044811249,0.08571426570415497,,,,,6
eurosat-spatial,linear,accuracy,0.9374074074074074,0.9309212565422058,0.9438889026641846,1536,0.007017038286703823,,,16200,5400,5400,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,256,bilinear,default,all,10,99a0e961983d99d6,-6,4,40,True,200,,,,,,,0.023500965908169746,0.03762512281537056,0.2512870728969574,,,,,15
forestnet,knn5,accuracy,0.3675730110775428,0.3403826653957367,0.395770400762558,1536,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,256,bilinear,default,all,12,99a0e961983d99d6,-6,4,40,True,200,,,,,,,0.32245850563049316,0.3432352542877197,0.44117647409439087,,,,,6
forestnet,linear,accuracy,0.525679758308157,0.495392769575119,0.5590886473655701,1536,0.003888155180308085,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,256,bilinear,default,all,12,99a0e961983d99d6,-6,4,40,True,200,,,,,,,0.04020990431308746,0.059587977826595306,0.1379750370979309,,,,,15
m-bigearthnet,knn5,micro_mAP,0.3832781693556143,0.36696016788482666,0.39989930391311646,1536,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,256,bilinear,default,all,43,99a0e961983d99d6,-6,4,40,True,200,,,,,,,0.04830699907832368,0.06630023447580116,0.3783256848191106,,,,,6
m-bigearthnet,linear,micro_mAP,0.615547653853411,0.6002677083015442,0.6324642896652222,1536,0.003888155180308085,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,256,bilinear,default,all,43,99a0e961983d99d6,-6,4,40,True,200,,,,,,,0.019790913054156443,0.05123230944885764,0.4547028742557348,,,,,15
m-brick-kiln,knn5,accuracy,0.8158158158158159,0.7887887954711914,0.8338838815689087,1536,,,,15063,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,256,bilinear,default,all,2,99a0e961983d99d6,-6,4,40,True,200,,,,,,,0.0414416566491127,0.044751837849617004,0.05231684446334839,,,,,6
m-brick-kiln,linear,accuracy,0.9159159159159159,0.8968968987464905,0.9319319128990173,1536,0.002154434690031882,,,15063,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,256,bilinear,default,all,2,99a0e961983d99d6,-6,4,40,True,200,,,,,,,0.03194071352481842,0.05076594278216362,0.1352713704109192,,,,,15
