dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.7403560579388415,0.7325319051742554,0.7478235960006714,768,,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_base,bandspec_zscore,96,bilinear,default,"b02,b03,b04,b08,b05,b06,b07,b8a,b11,b12,b01,b09",19,99ee8f0b5ddaf8e2,-6,4,40,True,200,,,,,,,0.033663270541613825,0.045480263051822,0.17411691695451736,,,,,6
benv2,linear,micro_mAP,0.8606641206244575,0.8555192351341248,0.8651328086853027,768,0.437547937507418,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_base,bandspec_zscore,96,bilinear,default,"b02,b03,b04,b08,b05,b06,b07,b8a,b11,b12,b01,b09",19,99ee8f0b5ddaf8e2,-6,4,40,True,200,,,,,,,0.01367929946067498,0.03102284066967274,0.25894074847823695,,,,,15
eurosat-spatial,knn5,accuracy,0.8662962962962963,0.857175886631012,0.8757777810096741,768,,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_base,bandspec_zscore,96,bilinear,default,rgb,10,ed6964cb29ee6b9d,-6,4,40,True,200,,,,,,,0.02829568274319172,0.02954522892832756,0.30000001192092896,,,,,6
eurosat-spatial,linear,accuracy,0.9242592592592592,0.9161111116409302,0.9309305548667908,768,4.641588833612772,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_base,bandspec_zscore,96,bilinear,default,rgb,10,ed6964cb29ee6b9d,-6,4,40,True,200,,,,,,,0.01645633578300476,0.028443381190299988,0.2700556516647339,,,,,15
forestnet,knn5,accuracy,0.2849949647532729,0.25677239894866943,0.31419938802719116,768,,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_base,bandspec_zscore,96,bilinear,default,rgb,12,ed6964cb29ee6b9d,-6,4,40,True,200,,,,,,,0.36636611819267273,0.3789847791194916,0.4607163369655609,,,,,6
forestnet,linear,accuracy,0.4904330312185297,0.46520644426345825,0.5246726870536804,768,0.24244620170823258,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_base,bandspec_zscore,96,bilinear,default,rgb,12,ed6964cb29ee6b9d,-6,4,40,True,200,,,,,,,0.045833978801965714,0.0590500608086586,0.1866748034954071,,,,,15
m-bigearthnet,knn5,micro_mAP,0.6685442969156032,0.6546369791030884,0.6839150190353394,768,,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_base,bandspec_zscore,96,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",43,507e053f065b2f7c,-6,4,40,True,200,,,,,,,0.024748831954892983,0.043463750850669176,0.22061216103476147,,,,,6
m-bigearthnet,linear,micro_mAP,0.7797984754705759,0.7683904767036438,0.7917338013648987,768,0.7896522868499717,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_base,bandspec_zscore,96,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",43,507e053f065b2f7c,-6,4,40,True,200,,,,,,,0.01804176928085643,0.052015937085068506,0.4704576072304748,,,,,15
m-brick-kiln,knn5,accuracy,0.9159159159159159,0.9009009003639221,0.9319319128990173,768,,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_base,bandspec_zscore,96,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",2,507e053f065b2f7c,-6,4,40,True,200,,,,,,,0.01781756989657879,0.02112790010869503,0.05263108015060425,,,,,6
m-brick-kiln,linear,accuracy,0.95995995995996,0.9489238858222961,0.9699950218200684,768,4.641588833612772,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_base,bandspec_zscore,96,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",2,507e053f065b2f7c,-6,4,40,True,200,,,,,,,0.01256491057574749,0.03178569674491882,0.1409006118774414,,,,,15
