dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.605452879194486,0.5953083634376526,0.6140785217285156,128,,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano,bandspec_zscore,96,bilinear,default,rgb,19,0d522e91f946b6bd,-6,4,40,True,200,,,,,,,0.045289536717494853,0.0601382284474216,0.2413961361897619,,,,,6
benv2,linear,micro_mAP,0.7054907398989937,0.6969771385192871,0.7132728695869446,128,1701.2542798525858,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano,bandspec_zscore,96,bilinear,default,rgb,19,0d522e91f946b6bd,-6,4,40,True,200,,,,,,,0.019326079685063297,0.03370403525370516,0.34994073290573924,,,,,15
eurosat-spatial,knn5,accuracy,0.9055555555555556,0.8970231413841248,0.9137036800384521,128,,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano,bandspec_zscore,96,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",10,eaf22653baa17755,-6,4,40,True,200,,,,,,,0.033444229513406754,0.03628670051693916,0.30000001192092896,,,,,6
eurosat-spatial,linear,accuracy,0.945925925925926,0.9390694499015808,0.951671302318573,128,49.238826317067314,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano,bandspec_zscore,96,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",10,eaf22653baa17755,-6,4,40,True,200,,,,,,,0.015818458050489426,0.02770834043622017,0.3123713433742523,,,,,15
forestnet,knn5,accuracy,0.324269889224572,0.2950402796268463,0.3554884195327759,128,,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano,bandspec_zscore,96,bilinear,default,all,12,31ab4340e26b2d7d,-6,4,40,True,200,,,,,,,0.3496488928794861,0.36442452669143677,0.4531385004520416,,,,,6
forestnet,linear,accuracy,0.5055387713997986,0.475276917219162,0.5438066720962524,128,8.376776400682907,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano,bandspec_zscore,96,bilinear,default,all,12,31ab4340e26b2d7d,-6,4,40,True,200,,,,,,,0.027474839240312576,0.034032002091407776,0.1895216703414917,,,,,15
m-bigearthnet,knn5,micro_mAP,0.6054610922802746,0.591716468334198,0.6202880144119263,128,,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano,bandspec_zscore,96,bilinear,default,all,43,31ab4340e26b2d7d,-6,4,40,True,200,,,,,,,0.02915348261486479,0.046627108527477396,0.28046346646408704,,,,,6
m-bigearthnet,linear,micro_mAP,0.6743090053897502,0.6609901785850525,0.6887730360031128,128,160.37187437513276,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano,bandspec_zscore,96,bilinear,default,all,43,31ab4340e26b2d7d,-6,4,40,True,200,,,,,,,0.01850726378561799,0.04787010569558587,0.4032550159581872,,,,,15
m-brick-kiln,knn5,accuracy,0.91991991991992,0.8988988995552063,0.9359609484672546,128,,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano,bandspec_zscore,96,bilinear,default,all,2,31ab4340e26b2d7d,-6,4,40,True,200,,,,,,,0.03143130615353584,0.03849533200263977,0.0802382230758667,,,,,6
m-brick-kiln,linear,accuracy,0.9359359359359359,0.9189189076423645,0.9509760141372681,128,88.86238162743389,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano,bandspec_zscore,96,bilinear,default,all,2,31ab4340e26b2d7d,-6,4,40,True,200,,,,,,,0.01254096906632185,0.030914917588233948,0.13208800554275513,,,,,15
