dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.632092934971369,0.6231200695037842,0.6414233446121216,384,,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,96,bilinear,default,rgb,19,2f0b0eacc54b4c85,-6,4,40,True,200,,,,,,,0.04394216483189283,0.058904594202574934,0.2310872407335984,,,,,6
benv2,linear,micro_mAP,0.7566184422457963,0.7494242191314697,0.7644911408424377,384,49.238826317067314,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,96,bilinear,default,rgb,19,2f0b0eacc54b4c85,-6,4,40,True,200,,,,,,,0.01650735814933126,0.03150703454096066,0.27332946422852966,,,,,15
eurosat-spatial,knn5,accuracy,0.957962962962963,0.9529536962509155,0.9640833139419556,384,,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,96,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",10,429b0a9b74f409aa,-6,4,40,True,200,,,,,,,0.01603724993765354,0.027042273432016373,0.08406072854995728,,,,,6
eurosat-spatial,linear,accuracy,0.98,0.9762870669364929,0.9837037324905396,384,1.4251026703029963,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,96,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",10,429b0a9b74f409aa,-6,4,40,True,200,,,,,,,0.008180992677807808,0.024443278089165688,0.7177269458770752,,,,,15
forestnet,knn5,accuracy,0.3756294058408862,0.34539273381233215,0.4058660566806793,384,,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,96,bilinear,default,all,12,0d1af522da3f53d4,-6,4,40,True,200,,,,,,,0.3095681965351105,0.3268950283527374,0.4216235280036926,,,,,6
forestnet,linear,accuracy,0.5236656596173213,0.491440087556839,0.5559163689613342,384,1.4251026703029963,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,96,bilinear,default,all,12,0d1af522da3f53d4,-6,4,40,True,200,,,,,,,0.0474405474960804,0.05979108065366745,0.1854160875082016,,,,,15
m-bigearthnet,knn5,micro_mAP,0.49235746840852856,0.47690823674201965,0.5131198763847351,384,,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,96,bilinear,default,rgb,43,2f0b0eacc54b4c85,-6,4,40,True,200,,,,,,,0.03777209733244638,0.05613547368624876,0.34507796497539034,,,,,6
m-bigearthnet,linear,micro_mAP,0.6110518557709853,0.5942605137825012,0.6303253769874573,384,49.238826317067314,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,96,bilinear,default,rgb,43,2f0b0eacc54b4c85,-6,4,40,True,200,,,,,,,0.02011189147353519,0.05324315591606983,0.5026523339193921,,,,,15
m-brick-kiln,knn5,accuracy,0.8998998998998999,0.879879891872406,0.9150149822235107,384,,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,96,bilinear,default,all,2,0d1af522da3f53d4,-6,4,40,True,200,,,,,,,0.03543529659509659,0.03581102564930916,0.04571288824081421,,,,,6
m-brick-kiln,linear,accuracy,0.950950950950951,0.938913881778717,0.962988018989563,384,522.3345074266832,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,96,bilinear,default,all,2,0d1af522da3f53d4,-6,4,40,True,200,,,,,,,0.015103382058441639,0.036330338567495346,0.1533200740814209,,,,,15
m-eurosat,knn5,accuracy,0.912,0.8929750323295593,0.9300500154495239,384,,,,2000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,96,bilinear,default,all,10,0d1af522da3f53d4,-6,4,40,True,200,,,,,,,0.026999732479453087,0.04055732116103172,0.09374874830245972,,,,,6
m-eurosat,linear,accuracy,0.964,0.9529750347137451,0.9750000238418579,384,15.117750706156599,,,2000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,96,bilinear,default,all,10,0d1af522da3f53d4,-6,4,40,True,200,,,,,,,0.019932260736823082,0.05392500385642052,0.38429954648017883,,,,,15
m-forestnet,knn5,accuracy,0.3504531722054381,0.32323765754699707,0.37567976117134094,384,,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,96,bilinear,default,all,12,0d1af522da3f53d4,-6,4,40,True,200,,,,,,,0.3305148780345917,0.3407158851623535,0.42545652389526367,,,,,6
m-forestnet,linear,accuracy,0.486404833836858,0.45717522501945496,0.5136455297470093,384,0.437547937507418,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,96,bilinear,default,all,12,0d1af522da3f53d4,-6,4,40,True,200,,,,,,,0.05681989714503288,0.08356110751628876,0.2466776967048645,,,,,15
m-pv4ger,knn5,accuracy,0.914914914914915,0.8968468308448792,0.9339589476585388,384,,,,11814,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,96,bilinear,default,rgb,2,2f0b0eacc54b4c85,-6,4,40,True,200,,,,,,,0.0348348468542099,0.03848510980606079,0.07835060358047485,,,,,6
m-pv4ger,linear,accuracy,0.944944944944945,0.9329078793525696,0.9579579830169678,384,10000.0,,,11814,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,96,bilinear,default,rgb,2,2f0b0eacc54b4c85,-6,4,40,True,200,,,,,,,0.030068106949329376,0.06269519031047821,0.35984060168266296,,,,,15
m-so2sat,knn5,accuracy,0.5537525354969574,0.5192697644233704,0.5831642746925354,384,,,,19992,986,986,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,96,bilinear,default,"blue,green,red,red_edge_1,red_edge_2,red_edge_3,nir,red_edge_4,swir_1,swir_2",17,81b7e12305150745,-6,4,40,True,200,,,,,,,0.1610555648803711,0.16650554537773132,0.2050359845161438,,,,,6
m-so2sat,linear,accuracy,0.7261663286004056,0.6966785192489624,0.7545892000198364,384,0.7896522868499717,,,19992,986,986,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,96,bilinear,default,"blue,green,red,red_edge_1,red_edge_2,red_edge_3,nir,red_edge_4,swir_1,swir_2",17,81b7e12305150745,-6,4,40,True,200,,,,,,,0.04037505015730858,0.052674248814582825,0.19282306730747223,,,,,15
so2sat,knn5,accuracy,0.5537525354969574,0.5263184309005737,0.587221086025238,384,,,,19992,986,986,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,96,bilinear,default,"b02,b03,b04,b05,b06,b07,b08,b8a,b11,b12",17,6858fc3b59d9f0b4,-6,4,40,True,200,,,,,,,0.1610555648803711,0.16650554537773132,0.2050359845161438,,,,,6
so2sat,linear,accuracy,0.7251521298174443,0.6966785192489624,0.7525608539581299,384,0.7896522868499717,,,19992,986,986,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,96,bilinear,default,"b02,b03,b04,b05,b06,b07,b08,b8a,b11,b12",17,6858fc3b59d9f0b4,-6,4,40,True,200,,,,,,,0.044483013451099396,0.0577135868370533,0.19311578571796417,,,,,15
treesatai,knn5,micro_mAP,0.4604099273371796,0.4457181394100189,0.47530466318130493,384,,,,4000,1000,2000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,96,bilinear,default,"b02,b03,b04,b08,b05,b06,b07,b8a,b11,b12,b01,b09",15,683a3706e699b62b,-6,4,40,True,200,,,,,,,0.06179331671446562,0.08040966043869655,0.33443207293748856,,,,,6
treesatai,linear,micro_mAP,0.6370093776375091,0.6221588850021362,0.6519589424133301,384,4.641588833612772,,,4000,1000,2000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,96,bilinear,default,"b02,b03,b04,b08,b05,b06,b07,b8a,b11,b12,b01,b09",15,683a3706e699b62b,-6,4,40,True,200,,,,,,,0.024382692427995303,0.039247733044127625,0.2872025693456332,,,,,15
