dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.7383779365938995,0.731334924697876,0.7457585334777832,768,,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_base,bandspec_zscore,96,bilinear,default,"b02,b03,b04,b08,b05,b06,b07,b8a,b11,b12,b01,b09",19,fbe879e0fd8b1c2c,-6,4,40,True,200,,,,,,,0.03423432907775829,0.0465324839184943,0.18605776052725942,,,,,6
benv2,linear,micro_mAP,0.8642063651645591,0.8591197729110718,0.8687326908111572,768,0.437547937507418,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_base,bandspec_zscore,96,bilinear,default,"b02,b03,b04,b08,b05,b06,b07,b8a,b11,b12,b01,b09",19,fbe879e0fd8b1c2c,-6,4,40,True,200,,,,,,,0.013207396602650223,0.02926900703459978,0.27262510594568756,,,,,15
eurosat-spatial,knn5,accuracy,0.957962962962963,0.9525879621505737,0.9637175798416138,768,,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_base,bandspec_zscore,96,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",10,4a91d88c311a204b,-6,4,40,True,200,,,,,,,0.01729658618569374,0.026082037016749382,0.07727289199829102,,,,,6
eurosat-spatial,linear,accuracy,0.9812962962962963,0.9775879383087158,0.9844490885734558,768,0.437547937507418,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_base,bandspec_zscore,96,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",10,4a91d88c311a204b,-6,4,40,True,200,,,,,,,0.009799294173717499,0.02780410461127758,0.6698611974716187,,,,,15
forestnet,knn5,accuracy,0.31722054380664655,0.2940080463886261,0.34443604946136475,768,,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_base,bandspec_zscore,96,bilinear,default,rgb,12,20e5be6e4d75a5cf,-6,4,40,True,200,,,,,,,0.35770532488822937,0.3875572979450226,0.5231788158416748,,,,,6
forestnet,linear,accuracy,0.45417925478348437,0.42396777868270874,0.4854229688644409,768,88.86238162743389,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_base,bandspec_zscore,96,bilinear,default,rgb,12,20e5be6e4d75a5cf,-6,4,40,True,200,,,,,,,0.08900617808103561,0.09950492531061172,0.18477624654769897,,,,,15
m-bigearthnet,knn5,micro_mAP,0.6683799139599851,0.6534967422485352,0.6832985281944275,768,,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_base,bandspec_zscore,96,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",43,4a91d88c311a204b,-6,4,40,True,200,,,,,,,0.025218597088052436,0.045018314838755964,0.24171615547912065,,,,,6
m-bigearthnet,linear,micro_mAP,0.7880478348813733,0.777603030204773,0.8009642362594604,768,1.4251026703029963,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_base,bandspec_zscore,96,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",43,4a91d88c311a204b,-6,4,40,True,200,,,,,,,0.017409168357072874,0.04948582175339377,0.4234746389610823,,,,,15
m-brick-kiln,knn5,accuracy,0.9279279279279279,0.9108858704566956,0.9439689517021179,768,,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_base,bandspec_zscore,96,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",2,4a91d88c311a204b,-6,4,40,True,200,,,,,,,0.021221071481704712,0.02795318514108658,0.06249874830245972,,,,,6
m-brick-kiln,linear,accuracy,0.970970970970971,0.9599599838256836,0.9790040254592896,768,2.5719138090593416,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_base,bandspec_zscore,96,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",2,4a91d88c311a204b,-6,4,40,True,200,,,,,,,0.013500754721462727,0.03531274572014809,0.21927672624588013,,,,,15
