dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.7381374652612458,0.7315841317176819,0.7449491620063782,1024,,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_large,bandspec_zscore,96,bilinear,default,"b02,b03,b04,b08,b05,b06,b07,b8a,b11,b12,b01,b09",19,c04280d5ee47b5dc,-6,4,40,True,200,,,,,,,0.03363167250675982,0.0464671065932826,0.21536308291711306,,,,,6
benv2,linear,micro_mAP,0.8633953559614136,0.8578386902809143,0.8682274222373962,1024,4.641588833612772,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_large,bandspec_zscore,96,bilinear,default,"b02,b03,b04,b08,b05,b06,b07,b8a,b11,b12,b01,b09",19,c04280d5ee47b5dc,-6,4,40,True,200,,,,,,,0.013883477637519766,0.0334028862906914,0.3116756371761623,,,,,15
eurosat-spatial,knn5,accuracy,0.9755555555555555,0.9712916612625122,0.9798148274421692,1024,,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_large,bandspec_zscore,96,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",10,4d78c24bd2dfa792,-6,4,40,True,200,,,,,,,0.017111126333475113,0.03687562420964241,0.12436914443969727,,,,,6
eurosat-spatial,linear,accuracy,0.9844444444444445,0.9814768433570862,0.9877824187278748,1024,0.7896522868499717,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_large,bandspec_zscore,96,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",10,4d78c24bd2dfa792,-6,4,40,True,200,,,,,,,0.004797196015715599,0.023618172854185104,0.608660101890564,,,,,15
forestnet,knn5,accuracy,0.2930513595166163,0.26482880115509033,0.3253021240234375,1024,,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_large,bandspec_zscore,96,bilinear,default,rgb,12,8d6380014ea0bef8,-6,4,40,True,200,,,,,,,0.3693872392177582,0.38540810346603394,0.5111130475997925,,,,,6
forestnet,linear,accuracy,0.4551863041289023,0.4279959797859192,0.48947635293006897,1024,0.24244620170823258,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_large,bandspec_zscore,96,bilinear,default,rgb,12,8d6380014ea0bef8,-6,4,40,True,200,,,,,,,0.04394916817545891,0.06589696556329727,0.2510893940925598,,,,,15
m-bigearthnet,knn5,micro_mAP,0.6759540322225001,0.6616406440734863,0.6903822422027588,1024,,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_large,bandspec_zscore,96,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",43,4d78c24bd2dfa792,-6,4,40,True,200,,,,,,,0.02419069352516428,0.04184590464154648,0.20922920523687852,,,,,6
m-bigearthnet,linear,micro_mAP,0.7908094614599347,0.7798860669136047,0.8029120564460754,1024,2.5719138090593416,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_large,bandspec_zscore,96,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",43,4d78c24bd2dfa792,-6,4,40,True,200,,,,,,,0.017429107789296742,0.0517217435029357,0.47170483650163164,,,,,15
m-brick-kiln,knn5,accuracy,0.908908908908909,0.8908658623695374,0.9279279112815857,1024,,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_large,bandspec_zscore,96,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",2,4d78c24bd2dfa792,-6,4,40,True,200,,,,,,,0.03243207931518555,0.0383504293859005,0.07719159126281738,,,,,6
m-brick-kiln,linear,accuracy,0.963963963963964,0.9519519805908203,0.9749749898910522,1024,4.641588833612772,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_large,bandspec_zscore,96,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",2,4d78c24bd2dfa792,-6,4,40,True,200,,,,,,,0.015179192647337914,0.03848574683070183,0.1673991084098816,,,,,15
