dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.7116589041744144,0.7034421563148499,0.718362033367157,128,,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano,bandspec_zscore,96,bilinear,default,"b02,b03,b04,b08,b05,b06,b07,b8a,b11,b12,b01,b09",19,fde7c2b2938d5f90,-6,4,40,True,200,,,,,,,0.03572377988970593,0.0499099898887308,0.25566834485844564,,,,,6
benv2,linear,micro_mAP,0.8038307514834814,0.7982062101364136,0.8105198740959167,128,522.3345074266832,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano,bandspec_zscore,96,bilinear,default,"b02,b03,b04,b08,b05,b06,b07,b8a,b11,b12,b01,b09",19,fde7c2b2938d5f90,-6,4,40,True,200,,,,,,,0.015198044668834069,0.031056492295312255,0.2688803312025572,,,,,15
eurosat-spatial,knn5,accuracy,0.9048148148148148,0.8975879549980164,0.9129676222801208,128,,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano,bandspec_zscore,96,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",10,4811225fac6d0e79,-6,4,40,True,200,,,,,,,0.029223136603832245,0.03188859671354294,0.059999942779541016,,,,,6
eurosat-spatial,linear,accuracy,0.9362962962962963,0.9303703904151917,0.9427777528762817,128,27.28333376486764,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano,bandspec_zscore,96,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",10,4811225fac6d0e79,-6,4,40,True,200,,,,,,,0.021492348983883858,0.03556201606988907,0.3219776153564453,,,,,15
forestnet,knn5,accuracy,0.2648539778449144,0.24169184267520905,0.2920694947242737,128,,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano,bandspec_zscore,96,bilinear,default,rgb,12,0a8688182a78e977,-6,4,40,True,200,,,,,,,0.3774436414241791,0.40183648467063904,0.5925925970077515,,,,,6
forestnet,linear,accuracy,0.3464249748237664,0.3192346394062042,0.3777945637702942,128,88.86238162743389,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano,bandspec_zscore,96,bilinear,default,rgb,12,0a8688182a78e977,-6,4,40,True,200,,,,,,,0.04915641248226166,0.07366567850112915,0.240414559841156,,,,,15
m-bigearthnet,knn5,micro_mAP,0.5990669496004313,0.5822253227233887,0.6160410046577454,128,,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano,bandspec_zscore,96,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",43,4811225fac6d0e79,-6,4,40,True,200,,,,,,,0.029609295106384645,0.0463285003030716,0.2454443144243817,,,,,6
m-bigearthnet,linear,micro_mAP,0.6663899066826974,0.6524723172187805,0.680117666721344,128,942.6684551178854,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano,bandspec_zscore,96,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",43,4811225fac6d0e79,-6,4,40,True,200,,,,,,,0.018700762034588776,0.04970692968819031,0.4465642956107162,,,,,15
m-brick-kiln,knn5,accuracy,0.9259259259259259,0.9118618369102478,0.9419419169425964,128,,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano,bandspec_zscore,96,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",2,4811225fac6d0e79,-6,4,40,True,200,,,,,,,0.03403393179178238,0.040354080498218536,0.09090971946716309,,,,,6
m-brick-kiln,linear,accuracy,0.950950950950951,0.9379379153251648,0.962988018989563,128,5541.020330009481,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_nano,bandspec_zscore,96,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",2,4811225fac6d0e79,-6,4,40,True,200,,,,,,,0.022859347984194756,0.04336552694439888,0.15704751014709473,,,,,15
