dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.5201671412705644,0.5105550289154053,0.5294182896614075,4096,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,320,bilinear,default,rgb,19,d514deb5344f880f,-6,4,40,True,200,,,,,,,0.05402374032296633,0.06974458498390097,0.29374096189674576,,,,,6
benv2,linear,micro_mAP,0.6943762940245993,0.6861220598220825,0.7026211023330688,4096,2.5719138090593416,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,320,bilinear,default,rgb,19,d514deb5344f880f,-6,4,40,True,200,,,,,,,0.019985933445001904,0.03177034062039303,0.21386137504228636,,,,,15
eurosat-spatial,knn5,accuracy,0.6301851851851852,0.6175833344459534,0.645370364189148,4096,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,320,bilinear,default,all,10,693b659cf1eb7807,-6,4,40,True,200,,,,,,,0.049292534589767456,0.06077312305569649,0.18167917430400848,,,,,6
eurosat-spatial,linear,accuracy,0.835925925925926,0.8270231485366821,0.8472314476966858,4096,27.28333376486764,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,320,bilinear,default,all,10,693b659cf1eb7807,-6,4,40,True,200,,,,,,,0.03470504656434059,0.04510299861431122,0.10150027275085449,,,,,15
forestnet,knn5,accuracy,0.35750251762336355,0.3232628405094147,0.3877391815185547,4096,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,320,bilinear,default,rgb,12,d514deb5344f880f,-6,4,40,True,200,,,,,,,0.3276953101158142,0.3342790901660919,0.40666669607162476,,,,,6
forestnet,linear,accuracy,0.48539778449144005,0.4541037380695343,0.5207452178001404,4096,2.5719138090593416,,,6464,989,993,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,320,bilinear,default,rgb,12,d514deb5344f880f,-6,4,40,True,200,,,,,,,0.05212794244289398,0.07628629356622696,0.1798139214515686,,,,,15
m-bigearthnet,knn5,micro_mAP,0.3299190715981876,0.3157855272293091,0.3459540903568268,4096,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,320,bilinear,default,rgb,43,d514deb5344f880f,-6,4,40,True,200,,,,,,,0.05177211042406947,0.07073754462045292,0.4143019568088443,,,,,6
m-bigearthnet,linear,micro_mAP,0.4942708510208932,0.4751488268375397,0.5113838315010071,4096,2.5719138090593416,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,320,bilinear,default,rgb,43,d514deb5344f880f,-6,4,40,True,200,,,,,,,0.021334744253477384,0.047973124916816864,0.47664055782695147,,,,,15
m-brick-kiln,knn5,accuracy,0.8318318318318318,0.8088088035583496,0.8528528809547424,4096,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,320,bilinear,default,rgb,2,d514deb5344f880f,-6,4,40,True,200,,,,,,,0.03223137557506561,0.032281987369060516,0.035049498081207275,,,,,6
m-brick-kiln,linear,accuracy,0.913913913913914,0.8978978991508484,0.931956946849823,4096,15.117750706156599,,,15063,999,999,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,320,bilinear,default,rgb,2,d514deb5344f880f,-6,4,40,True,200,,,,,,,0.014797261916100979,0.03763556852936745,0.15682968497276306,,,,,15
m-eurosat,knn5,accuracy,0.673,0.6429750323295593,0.7020000219345093,4096,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,320,bilinear,default,rgb,10,d514deb5344f880f,-6,4,40,True,200,,,,,,,0.05259906128048897,0.05575167015194893,0.08292520046234131,,,,,6
m-eurosat,linear,accuracy,0.832,0.8069750070571899,0.853024959564209,4096,27.28333376486764,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,320,bilinear,default,rgb,10,d514deb5344f880f,-6,4,40,True,200,,,,,,,0.02698022872209549,0.04836403578519821,0.2055002748966217,,,,,15
m-forestnet,knn5,accuracy,0.3685800604229607,0.3423715829849243,0.395770400762558,4096,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,320,bilinear,default,rgb,12,d514deb5344f880f,-6,4,40,True,200,,,,,,,0.3202430009841919,0.3338567316532135,0.414620041847229,,,,,6
m-forestnet,linear,accuracy,0.5045317220543807,0.47328799962997437,0.5357502698898315,4096,0.7896522868499717,,,6464,989,993,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,320,bilinear,default,rgb,12,d514deb5344f880f,-6,4,40,True,200,,,,,,,0.08701907098293304,0.10077884048223495,0.16126826405525208,,,,,15
m-pv4ger,knn5,accuracy,0.9579579579579579,0.9459208846092224,0.9709709882736206,4096,,,,11814,999,999,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,320,bilinear,default,rgb,2,d514deb5344f880f,-6,4,40,True,200,,,,,,,0.02542545087635517,0.031130453571677208,0.08181792497634888,,,,,6
m-pv4ger,linear,accuracy,0.95995995995996,0.9479228854179382,0.9729980230331421,4096,2.5719138090593416,,,11814,999,999,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,320,bilinear,default,rgb,2,d514deb5344f880f,-6,4,40,True,200,,,,,,,0.01983257569372654,0.04453086107969284,0.2928575873374939,,,,,15
m-so2sat,knn5,accuracy,0.2738336713995943,0.24442189931869507,0.29918864369392395,4096,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,320,bilinear,default,rgb,17,d514deb5344f880f,-6,4,40,True,200,,,,,,,0.16653044521808624,0.1737002283334732,0.2586817145347595,,,,,6
m-so2sat,linear,accuracy,0.4462474645030426,0.4157707691192627,0.47565922141075134,4096,4.641588833612772,,,19992,986,986,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,320,bilinear,default,rgb,17,d514deb5344f880f,-6,4,40,True,200,,,,,,,0.04667864739894867,0.0580868199467659,0.14108961820602417,,,,,15
so2sat,knn5,accuracy,0.2738336713995943,0.2504817247390747,0.3042849898338318,4096,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,320,bilinear,default,rgb,17,d514deb5344f880f,-6,4,40,True,200,,,,,,,0.1667332798242569,0.17412139475345612,0.2607133686542511,,,,,6
so2sat,linear,accuracy,0.44523326572008115,0.4168103337287903,0.47669878602027893,4096,4.641588833612772,,,19992,986,986,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,320,bilinear,default,rgb,17,d514deb5344f880f,-6,4,40,True,200,,,,,,,0.050074052065610886,0.06028566509485245,0.16606426239013672,,,,,15
treesatai,knn5,micro_mAP,0.3593720049344648,0.34558895230293274,0.37263402342796326,4096,,,,4000,1000,2000,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,320,bilinear,default,rgb,15,d514deb5344f880f,-6,4,40,True,200,,,,,,,0.07573332482328017,0.09515693932771682,0.4416087637344996,,,,,6
treesatai,linear,micro_mAP,0.5378773310903445,0.5215135216712952,0.5523183345794678,4096,1.4251026703029963,,,4000,1000,2000,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,320,bilinear,default,rgb,15,d514deb5344f880f,-6,4,40,True,200,,,,,,,0.02597889754300316,0.0360794966109097,0.32929629140223066,,,,,15
