dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.49031952468949047,0.48154503107070923,0.4985780715942383,4096,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,320,bilinear,default,rgb,19,d1e854a305223623,-6,4,40,True,200,,,,,,,0.05719468569824178,0.07365751457645704,0.3075436377211621,,,,,6
benv2,linear,micro_mAP,0.6733183788360845,0.6641303300857544,0.6823159456253052,4096,1.4251026703029963,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,320,bilinear,default,rgb,19,d1e854a305223623,-6,4,40,True,200,,,,,,,0.02101151032471343,0.03220437445040596,0.24314313967663206,,,,,15
eurosat-spatial,knn5,accuracy,0.5924074074074074,0.579037070274353,0.6068611145019531,4096,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,320,bilinear,default,all,10,2e5a6620e2a4310b,-6,4,40,True,200,,,,,,,0.058590348809957504,0.06623414158821106,0.16021469235420227,,,,,6
eurosat-spatial,linear,accuracy,0.7848148148148149,0.7748056054115295,0.7964907288551331,4096,8.376776400682907,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,320,bilinear,default,all,10,2e5a6620e2a4310b,-6,4,40,True,200,,,,,,,0.006982261314988136,0.011787036433815956,0.05117124319076538,,,,,15
forestnet,knn5,accuracy,0.3293051359516616,0.3030714988708496,0.35151058435440063,4096,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,320,bilinear,default,rgb,12,d1e854a305223623,-6,4,40,True,200,,,,,,,0.3838884234428406,0.39589178562164307,0.4762841463088989,,,,,6
forestnet,linear,accuracy,0.48338368580060426,0.44911882281303406,0.5186303853988647,4096,0.437547937507418,,,6464,989,993,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,320,bilinear,default,rgb,12,d1e854a305223623,-6,4,40,True,200,,,,,,,0.09485218673944473,0.10283198207616806,0.1661859154701233,,,,,15
m-bigearthnet,knn5,micro_mAP,0.2992495966087732,0.28549981117248535,0.31450384855270386,4096,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,320,bilinear,default,rgb,43,d1e854a305223623,-6,4,40,True,200,,,,,,,0.058334907300250476,0.0762363119527351,0.4317015648581261,,,,,6
m-bigearthnet,linear,micro_mAP,0.4610161067516964,0.4431324005126953,0.48057711124420166,4096,2.5719138090593416,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,320,bilinear,default,rgb,43,d1e854a305223623,-6,4,40,True,200,,,,,,,0.021457787722262534,0.04878646247955256,0.5196529134761455,,,,,15
m-brick-kiln,knn5,accuracy,0.8058058058058059,0.7797547578811646,0.826826810836792,4096,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,320,bilinear,default,rgb,2,d1e854a305223623,-6,4,40,True,200,,,,,,,0.04123983532190323,0.043070998042821884,0.056165874004364014,,,,,6
m-brick-kiln,linear,accuracy,0.8798798798798799,0.8608108162879944,0.8999249339103699,4096,4.641588833612772,,,15063,999,999,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,320,bilinear,default,rgb,2,d1e854a305223623,-6,4,40,True,200,,,,,,,0.01945347711443901,0.02871735952794552,0.08216673135757446,,,,,15
m-eurosat,knn5,accuracy,0.646,0.6119999885559082,0.6740500330924988,4096,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,320,bilinear,default,rgb,10,d1e854a305223623,-6,4,40,True,200,,,,,,,0.03720000386238098,0.05509308725595474,0.1170969009399414,,,,,6
m-eurosat,linear,accuracy,0.8,0.7749750018119812,0.8240000009536743,4096,8.376776400682907,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,320,bilinear,default,rgb,10,d1e854a305223623,-6,4,40,True,200,,,,,,,0.09106797724962234,0.10721069574356079,0.20223653316497803,,,,,15
m-forestnet,knn5,accuracy,0.36555891238670696,0.3342900276184082,0.39176738262176514,4096,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,320,bilinear,default,rgb,12,d1e854a305223623,-6,4,40,True,200,,,,,,,0.332126259803772,0.3528056740760803,0.4893224835395813,,,,,6
m-forestnet,linear,accuracy,0.49345417925478346,0.461228609085083,0.526787519454956,4096,0.437547937507418,,,6464,989,993,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,320,bilinear,default,rgb,12,d1e854a305223623,-6,4,40,True,200,,,,,,,0.08468656986951828,0.09428490698337555,0.2107643485069275,,,,,15
m-pv4ger,knn5,accuracy,0.954954954954955,0.9439188838005066,0.9669920206069946,4096,,,,11814,999,999,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,320,bilinear,default,rgb,2,d1e854a305223623,-6,4,40,True,200,,,,,,,0.02362366020679474,0.028970520943403244,0.07654374837875366,,,,,6
m-pv4ger,linear,accuracy,0.955955955955956,0.9429429173469543,0.9689689874649048,4096,8.376776400682907,,,11814,999,999,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,320,bilinear,default,rgb,2,d1e854a305223623,-6,4,40,True,200,,,,,,,0.02186647802591324,0.0349988229572773,0.18639764189720154,,,,,15
m-so2sat,knn5,accuracy,0.24645030425963488,0.22109533846378326,0.27185600996017456,4096,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,320,bilinear,default,rgb,17,d1e854a305223623,-6,4,40,True,200,,,,,,,0.1971593201160431,0.2056160420179367,0.38695618510246277,,,,,6
m-so2sat,linear,accuracy,0.3945233265720081,0.36506083607673645,0.4269776940345764,4096,15.117750706156599,,,19992,986,986,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,320,bilinear,default,rgb,17,d1e854a305223623,-6,4,40,True,200,,,,,,,0.15112926065921783,0.17879197001457214,0.4304048717021942,,,,,15
so2sat,knn5,accuracy,0.24645030425963488,0.21899086236953735,0.27079108357429504,4096,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,320,bilinear,default,rgb,17,d1e854a305223623,-6,4,40,True,200,,,,,,,0.1971593201160431,0.2056160420179367,0.38695618510246277,,,,,6
so2sat,linear,accuracy,0.3894523326572008,0.36095336079597473,0.4199036657810211,4096,49.238826317067314,,,19992,986,986,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,320,bilinear,default,rgb,17,d1e854a305223623,-6,4,40,True,200,,,,,,,0.23324266076087952,0.26173046231269836,0.48367011547088623,,,,,15
treesatai,knn5,micro_mAP,0.3765744773518375,0.3619331121444702,0.3925957977771759,4096,,,,4000,1000,2000,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,320,bilinear,default,rgb,15,d1e854a305223623,-6,4,40,True,200,,,,,,,0.07525330353528262,0.0934668937077125,0.41218964954217274,,,,,6
treesatai,linear,micro_mAP,0.5510051270822637,0.5369418263435364,0.5656813979148865,4096,1.4251026703029963,,,4000,1000,2000,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,320,bilinear,default,rgb,15,d1e854a305223623,-6,4,40,True,200,,,,,,,0.022364858289559683,0.034086793474853036,0.22655705840637286,,,,,15
