dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.51902342531948,0.5088276267051697,0.5282084941864014,2048,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,bandspec_zscore,512,bilinear,default,rgb,19,a81ddd84dd7c1cc9,-6,4,40,True,200,,,,,,,0.059276375931834706,0.07712786463334372,0.3262159871427636,,,,,6
benv2,linear,micro_mAP,0.6936070923314628,0.6833281517028809,0.7009553909301758,2048,0.04124626382901348,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,bandspec_zscore,512,bilinear,default,rgb,19,a81ddd84dd7c1cc9,-6,4,40,True,200,,,,,,,0.01944377557619622,0.03332132571621945,0.29458315866558177,,,,,15
eurosat-spatial,knn5,accuracy,0.5366666666666666,0.5247731804847717,0.5476064682006836,2048,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,bandspec_zscore,512,bilinear,default,rgb,10,a81ddd84dd7c1cc9,-6,4,40,True,200,,,,,,,0.1984030306339264,0.20954474806785583,0.3123375177383423,,,,,6
eurosat-spatial,linear,accuracy,0.715925925925926,0.701837956905365,0.7259490489959717,2048,2.5719138090593416,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,bandspec_zscore,512,bilinear,default,rgb,10,a81ddd84dd7c1cc9,-6,4,40,True,200,,,,,,,0.17148451507091522,0.1818336546421051,0.29216688871383667,,,,,15
forestnet,knn5,accuracy,0.25579053373615307,0.2305639535188675,0.2850201427936554,2048,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,bandspec_zscore,512,bilinear,default,rgb,12,a81ddd84dd7c1cc9,-6,4,40,True,200,,,,,,,0.3770405650138855,0.40800100564956665,0.6159999966621399,,,,,6
forestnet,linear,accuracy,0.44108761329305135,0.4138972759246826,0.4693101644515991,2048,0.012663801734674022,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,bandspec_zscore,512,bilinear,default,rgb,12,a81ddd84dd7c1cc9,-6,4,40,True,200,,,,,,,0.04104829579591751,0.05877437815070152,0.20464307069778442,,,,,15
m-bigearthnet,knn5,micro_mAP,0.3461104121871621,0.33265772461891174,0.3613310754299164,2048,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,bandspec_zscore,512,bilinear,default,rgb,43,a81ddd84dd7c1cc9,-6,4,40,True,200,,,,,,,0.05105582572693049,0.0698818777536237,0.35990776710732036,,,,,6
m-bigearthnet,linear,micro_mAP,0.5313568268038852,0.5145444869995117,0.5491482615470886,2048,0.04124626382901348,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,bandspec_zscore,512,bilinear,default,rgb,43,a81ddd84dd7c1cc9,-6,4,40,True,200,,,,,,,0.021175548510062835,0.052666589661046516,0.5276893786219663,,,,,15
m-brick-kiln,knn5,accuracy,0.8708708708708709,0.8518268465995789,0.8909409642219543,2048,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,bandspec_zscore,512,bilinear,default,rgb,2,a81ddd84dd7c1cc9,-6,4,40,True,200,,,,,,,0.03343290090560913,0.037089668214321136,0.045161306858062744,,,,,6
m-brick-kiln,linear,accuracy,0.8848848848848849,0.8668668866157532,0.9029279351234436,2048,0.022854638641349883,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,bandspec_zscore,512,bilinear,default,rgb,2,a81ddd84dd7c1cc9,-6,4,40,True,200,,,,,,,0.021390477195382118,0.03991951048374176,0.18334707617759705,,,,,15
m-eurosat,knn5,accuracy,0.67,0.6369500160217285,0.6970250010490417,2048,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,bandspec_zscore,512,bilinear,default,all,10,bb06b90ae47efb10,-6,4,40,True,200,,,,,,,0.048400621861219406,0.05959726497530937,0.20000001788139343,,,,,6
m-eurosat,linear,accuracy,0.791,0.7639999985694885,0.8130000233650208,2048,0.437547937507418,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,bandspec_zscore,512,bilinear,default,all,10,bb06b90ae47efb10,-6,4,40,True,200,,,,,,,0.049743615090847015,0.054809264838695526,0.10659104585647583,,,,,15
m-forestnet,knn5,accuracy,0.2578046324269889,0.23358510434627533,0.2839879095554352,2048,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,bandspec_zscore,512,bilinear,default,rgb,12,a81ddd84dd7c1cc9,-6,4,40,True,200,,,,,,,0.3707970380783081,0.398539662361145,0.5865384340286255,,,,,6
m-forestnet,linear,accuracy,0.3947633434038268,0.36153072118759155,0.42500001192092896,2048,0.04124626382901348,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,bandspec_zscore,512,bilinear,default,rgb,12,a81ddd84dd7c1cc9,-6,4,40,True,200,,,,,,,0.10956087708473206,0.12501205503940582,0.23014092445373535,,,,,15
m-pv4ger,knn5,accuracy,0.8658658658658659,0.8458458185195923,0.8899149298667908,2048,,,,11814,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,bandspec_zscore,512,bilinear,default,rgb,2,a81ddd84dd7c1cc9,-6,4,40,True,200,,,,,,,0.07807808369398117,0.09891915321350098,0.22352901101112366,,,,,6
m-pv4ger,linear,accuracy,0.9099099099099099,0.8928928971290588,0.9269769787788391,2048,522.3345074266832,,,11814,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,bandspec_zscore,512,bilinear,default,rgb,2,a81ddd84dd7c1cc9,-6,4,40,True,200,,,,,,,0.07225282490253448,0.09765163064002991,0.5112783908843994,,,,,15
m-so2sat,knn5,accuracy,0.2606490872210953,0.23529411852359772,0.2840263843536377,2048,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,bandspec_zscore,512,bilinear,default,rgb,17,a81ddd84dd7c1cc9,-6,4,40,True,200,,,,,,,0.32008183002471924,0.354297012090683,0.5365282297134399,,,,,6
m-so2sat,linear,accuracy,0.39655172413793105,0.3660750389099121,0.4279918968677521,2048,0.24244620170823258,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,bandspec_zscore,512,bilinear,default,rgb,17,a81ddd84dd7c1cc9,-6,4,40,True,200,,,,,,,0.19776935875415802,0.21657557785511017,1.0,,,,,15
so2sat,knn5,accuracy,0.2606490872210953,0.23623225092887878,0.2860294282436371,2048,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,bandspec_zscore,512,bilinear,default,rgb,17,a81ddd84dd7c1cc9,-6,4,40,True,200,,,,,,,0.32008183002471924,0.354297012090683,0.5365282297134399,,,,,6
so2sat,linear,accuracy,0.372210953346856,0.34477686882019043,0.4057302474975586,2048,0.04124626382901348,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,bandspec_zscore,512,bilinear,default,rgb,17,a81ddd84dd7c1cc9,-6,4,40,True,200,,,,,,,0.12697115540504456,0.1484948843717575,0.42515137791633606,,,,,15
treesatai,knn5,micro_mAP,0.3027409904089081,0.2905730903148651,0.3140687644481659,2048,,,,4000,1000,2000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,bandspec_zscore,512,bilinear,default,rgb,15,a81ddd84dd7c1cc9,-6,4,40,True,200,,,,,,,0.08379328263302645,0.10794795850912729,0.5203443765640259,,,,,6
treesatai,linear,micro_mAP,0.45463093947816857,0.4373268485069275,0.47139468789100647,2048,0.022854638641349883,,,4000,1000,2000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,bandspec_zscore,512,bilinear,default,rgb,15,a81ddd84dd7c1cc9,-6,4,40,True,200,,,,,,,0.03130334610274683,0.05003652566423019,0.518958733479182,,,,,15
