dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.5053806869514874,0.4956374764442444,0.5142760276794434,2048,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,model_native,512,bilinear,default,rgb,19,4d942f7c810e532b,-6,4,40,True,200,,,,,,,0.06128163801775755,0.08066844773527823,0.34910618474608973,,,,,6
benv2,linear,micro_mAP,0.6184381432455941,0.6076846718788147,0.6296944618225098,2048,160.37187437513276,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,model_native,512,bilinear,default,rgb,19,4d942f7c810e532b,-6,4,40,True,200,,,,,,,0.026418940213165786,0.043184915949639524,0.4003358012751529,,,,,15
eurosat-spatial,knn5,accuracy,0.5892592592592593,0.5771991014480591,0.6020416617393494,2048,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,model_native,512,bilinear,default,rgb,10,4d942f7c810e532b,-6,4,40,True,200,,,,,,,0.15358832478523254,0.15780003368854523,0.20740742981433868,,,,,6
eurosat-spatial,linear,accuracy,0.6914814814814815,0.678694486618042,0.7037083506584167,2048,0.13433993325988988,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,model_native,512,bilinear,default,rgb,10,4d942f7c810e532b,-6,4,40,True,200,,,,,,,0.0423525832593441,0.047644954174757004,0.19652758538722992,,,,,15
forestnet,knn5,accuracy,0.25478348439073517,0.23353475332260132,0.28099194169044495,2048,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,model_native,512,bilinear,default,rgb,12,4d942f7c810e532b,-6,4,40,True,200,,,,,,,0.38187456130981445,0.4211370050907135,0.6499999761581421,,,,,6
forestnet,linear,accuracy,0.3464249748237664,0.32321247458457947,0.3796575963497162,2048,0.24244620170823258,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,model_native,512,bilinear,default,rgb,12,4d942f7c810e532b,-6,4,40,True,200,,,,,,,0.056580569595098495,0.09334217011928558,0.968771755695343,,,,,15
m-bigearthnet,knn5,micro_mAP,0.30472610821440943,0.2910196781158447,0.3200920820236206,2048,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,model_native,512,bilinear,default,rgb,43,4d942f7c810e532b,-6,4,40,True,200,,,,,,,0.060111628325526106,0.08003276811782704,0.4670777691658153,,,,,6
m-bigearthnet,linear,micro_mAP,0.4107072667433009,0.3923576772212982,0.42963871359825134,2048,27.28333376486764,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,model_native,512,bilinear,default,rgb,43,4d942f7c810e532b,-6,4,40,True,200,,,,,,,0.021602801274681508,0.04424904966943486,0.5236276291137518,,,,,15
m-brick-kiln,knn5,accuracy,0.8058058058058059,0.7797797918319702,0.8258258104324341,2048,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,model_native,512,bilinear,default,rgb,2,4d942f7c810e532b,-6,4,40,True,200,,,,,,,0.03463524952530861,0.03592923283576965,0.04609709978103638,,,,,6
m-brick-kiln,linear,accuracy,0.8408408408408409,0.8177927732467651,0.8649149537086487,2048,88.86238162743389,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,model_native,512,bilinear,default,rgb,2,4d942f7c810e532b,-6,4,40,True,200,,,,,,,0.03040144592523575,0.04051467403769493,0.09862011671066284,,,,,15
m-eurosat,knn5,accuracy,0.618,0.5879999995231628,0.6480749845504761,2048,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,model_native,512,bilinear,default,all,10,8ab6dc9a14a4c7e4,-6,4,40,True,200,,,,,,,0.05240023136138916,0.062375713139772415,0.09205019474029541,,,,,6
m-eurosat,linear,accuracy,0.736,0.712975025177002,0.7610499858856201,2048,0.0011937766417144358,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,model_native,512,bilinear,default,all,10,8ab6dc9a14a4c7e4,-6,4,40,True,200,,,,,,,0.0560571514070034,0.07575222849845886,0.2552297115325928,,,,,15
