dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.4694669100420845,0.46040579676628113,0.47762757539749146,2048,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_si,bandspec_zscore,512,bilinear,default,rgb,19,0a40fa61b536e0fb,-6,4,40,True,200,,,,,,,0.06831832166369024,0.08952933937115104,0.40195591198770625,,,,,6
benv2,linear,micro_mAP,0.6191837408771315,0.6104190349578857,0.6284944415092468,2048,942.6684551178854,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_si,bandspec_zscore,512,bilinear,default,rgb,19,0a40fa61b536e0fb,-6,4,40,True,200,,,,,,,0.023990724156120496,0.03824083173745557,0.28352848009059306,,,,,15
eurosat-spatial,knn5,accuracy,0.5992592592592593,0.5865879654884338,0.6115185022354126,2048,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_si,bandspec_zscore,512,bilinear,default,rgb,10,0a40fa61b536e0fb,-6,4,40,True,200,,,,,,,0.1398107260465622,0.14485934376716614,0.22500009834766388,,,,,6
eurosat-spatial,linear,accuracy,0.6635185185185185,0.6483240723609924,0.6750185489654541,2048,49.238826317067314,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_si,bandspec_zscore,512,bilinear,default,rgb,10,0a40fa61b536e0fb,-6,4,40,True,200,,,,,,,0.04058068245649338,0.04413169249892235,0.21039319038391113,,,,,15
forestnet,knn5,accuracy,0.23564954682779457,0.20843403041362762,0.26691845059394836,2048,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_si,bandspec_zscore,512,bilinear,default,rgb,12,0a40fa61b536e0fb,-6,4,40,True,200,,,,,,,0.38046497106552124,0.41134947538375854,0.5936527252197266,,,,,6
forestnet,linear,accuracy,0.3806646525679758,0.35146021842956543,0.4108761250972748,2048,0.0006614740641230146,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_si,bandspec_zscore,512,bilinear,default,rgb,12,0a40fa61b536e0fb,-6,4,40,True,200,,,,,,,0.06132709980010986,0.09568227082490921,0.47098469734191895,,,,,15
m-bigearthnet,knn5,micro_mAP,0.27241475068732585,0.25906872749328613,0.28828200697898865,2048,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_si,bandspec_zscore,512,bilinear,default,rgb,43,0a40fa61b536e0fb,-6,4,40,True,200,,,,,,,0.06396747280865214,0.08499943322047245,0.5116226378568384,,,,,6
m-bigearthnet,linear,micro_mAP,0.4135631625648037,0.3980235159397125,0.4322846233844757,2048,2.5719138090593416,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_si,bandspec_zscore,512,bilinear,default,rgb,43,0a40fa61b536e0fb,-6,4,40,True,200,,,,,,,0.018565212690466366,0.03907353147257899,0.4199917919413988,,,,,15
m-brick-kiln,knn5,accuracy,0.6966966966966966,0.6676676869392395,0.728728711605072,2048,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_si,bandspec_zscore,512,bilinear,default,rgb,2,0a40fa61b536e0fb,-6,4,40,True,200,,,,,,,0.08128286153078079,0.10700089484453201,0.198408305644989,,,,,6
m-brick-kiln,linear,accuracy,0.7777777777777778,0.7567567825317383,0.8038038015365601,2048,8.376776400682907,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_si,bandspec_zscore,512,bilinear,default,rgb,2,0a40fa61b536e0fb,-6,4,40,True,200,,,,,,,0.026977121829986572,0.031230593100190163,0.05393087863922119,,,,,15
