dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.5644647633383466,0.5543637275695801,0.5746347904205322,2048,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_si,model_native,512,bilinear,default,rgb,19,01e6cdc1a345ad61,-6,4,40,True,200,,,,,,,0.05413163986400162,0.0708538070321083,0.2669421630470376,,,,,6
benv2,linear,micro_mAP,0.7106479832224561,0.7020130753517151,0.7195225358009338,2048,0.022854638641349883,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_si,model_native,512,bilinear,default,rgb,19,01e6cdc1a345ad61,-6,4,40,True,200,,,,,,,0.018053069147036263,0.0336932744340677,0.3710312380602485,,,,,15
eurosat-spatial,knn5,accuracy,0.5705555555555556,0.556106448173523,0.5838888883590698,2048,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_si,model_native,512,bilinear,default,rgb,10,01e6cdc1a345ad61,-6,4,40,True,200,,,,,,,0.20184803009033203,0.20424751937389374,0.4428570866584778,,,,,6
eurosat-spatial,linear,accuracy,0.7394444444444445,0.7283055782318115,0.7524120807647705,2048,160.37187437513276,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_si,model_native,512,bilinear,default,rgb,10,01e6cdc1a345ad61,-6,4,40,True,200,,,,,,,0.12643788754940033,0.14003875851631165,0.26270559430122375,,,,,15
forestnet,knn5,accuracy,0.256797583081571,0.22857502102851868,0.28197380900382996,2048,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_si,model_native,512,bilinear,default,rgb,12,01e6cdc1a345ad61,-6,4,40,True,200,,,,,,,0.3756309449672699,0.3937293291091919,0.4947809875011444,,,,,6
forestnet,linear,accuracy,0.3756294058408862,0.3514350354671478,0.40790534019470215,2048,0.00011253355826007646,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_si,model_native,512,bilinear,default,rgb,12,01e6cdc1a345ad61,-6,4,40,True,200,,,,,,,0.04587961360812187,0.06614966690540314,0.23129263520240784,,,,,15
m-bigearthnet,knn5,micro_mAP,0.38572940715030174,0.3699594736099243,0.40241822600364685,2048,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_si,model_native,512,bilinear,default,rgb,43,01e6cdc1a345ad61,-6,4,40,True,200,,,,,,,0.049083737602327454,0.06792053545630256,0.3411564515080563,,,,,6
m-bigearthnet,linear,micro_mAP,0.5271340461086963,0.5085893273353577,0.5456380248069763,2048,0.13433993325988988,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_si,model_native,512,bilinear,default,rgb,43,01e6cdc1a345ad61,-6,4,40,True,200,,,,,,,0.02214535748109568,0.053812706366527914,0.5779474197432052,,,,,15
m-brick-kiln,knn5,accuracy,0.9319319319319319,0.9179179072380066,0.9459709525108337,2048,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_si,model_native,512,bilinear,default,rgb,2,01e6cdc1a345ad61,-6,4,40,True,200,,,,,,,0.028428232297301292,0.03241544961929321,0.06301259994506836,,,,,6
m-brick-kiln,linear,accuracy,0.9379379379379379,0.9269269108772278,0.9529780149459839,2048,15.117750706156599,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet50_s2rgb_satlas_si,model_native,512,bilinear,default,rgb,2,01e6cdc1a345ad61,-6,4,40,True,200,,,,,,,0.02914612367749214,0.049351293593645096,0.23529845476150513,,,,,15
