dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.5907224585306905,0.5820111632347107,0.5995284914970398,1024,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_naip_satlas_si,model_native,512,bilinear,default,rgb,19,c585e1dcd44aa5ca,-6,4,40,True,200,,,,,,,0.047555349375072276,0.06428186806212914,0.283169675814478,,,,,6
benv2,linear,micro_mAP,0.7368884391276405,0.7295924425125122,0.7429935932159424,1024,3070.2906297578375,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_naip_satlas_si,model_native,512,bilinear,default,rgb,19,c585e1dcd44aa5ca,-6,4,40,True,200,,,,,,,0.016075445204286984,0.03030849636017688,0.22224890017318294,,,,,15
eurosat-spatial,knn5,accuracy,0.789074074074074,0.7786898016929626,0.8005555272102356,1024,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_naip_satlas_si,model_native,512,bilinear,default,rgb,10,c585e1dcd44aa5ca,-6,4,40,True,200,,,,,,,0.07925856858491898,0.08281981945037842,0.20000000298023224,,,,,6
eurosat-spatial,linear,accuracy,0.9088888888888889,0.9016666412353516,0.9185185432434082,1024,0.7896522868499717,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_naip_satlas_si,model_native,512,bilinear,default,rgb,10,c585e1dcd44aa5ca,-6,4,40,True,200,,,,,,,0.014522603712975979,0.022781459614634514,0.08229449391365051,,,,,15
forestnet,knn5,accuracy,0.364551863041289,0.3333081603050232,0.39176738262176514,1024,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_naip_satlas_si,model_native,512,bilinear,default,rgb,12,c585e1dcd44aa5ca,-6,4,40,True,200,,,,,,,0.32064583897590637,0.3380705714225769,0.404397577047348,,,,,6
forestnet,linear,accuracy,0.5669687814702921,0.5297079682350159,0.5992447137832642,1024,0.022854638641349883,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_naip_satlas_si,model_native,512,bilinear,default,rgb,12,c585e1dcd44aa5ca,-6,4,40,True,200,,,,,,,0.04167764261364937,0.04984178766608238,0.2078203558921814,,,,,15
m-bigearthnet,knn5,micro_mAP,0.44277241816246105,0.42609527707099915,0.4585515856742859,1024,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_naip_satlas_si,model_native,512,bilinear,default,rgb,43,c585e1dcd44aa5ca,-6,4,40,True,200,,,,,,,0.04391628231983199,0.06117727811080079,0.27848643826883895,,,,,6
m-bigearthnet,linear,micro_mAP,0.6054133977563824,0.5898705124855042,0.6219395995140076,1024,522.3345074266832,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_naip_satlas_si,model_native,512,bilinear,default,rgb,43,c585e1dcd44aa5ca,-6,4,40,True,200,,,,,,,0.020047372553584186,0.050978977536392765,0.46022941518661586,,,,,15
m-brick-kiln,knn5,accuracy,0.8688688688688688,0.8478227853775024,0.8879629969596863,1024,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_naip_satlas_si,model_native,512,bilinear,default,rgb,2,c585e1dcd44aa5ca,-6,4,40,True,200,,,,,,,0.0270268302410841,0.028685905039310455,0.039128661155700684,,,,,6
m-brick-kiln,linear,accuracy,0.9209209209209209,0.9068568348884583,0.9369619488716125,1024,160.37187437513276,,,15063,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_naip_satlas_si,model_native,512,bilinear,default,rgb,2,c585e1dcd44aa5ca,-6,4,40,True,200,,,,,,,0.012759657576680183,0.025839662179350853,0.0832182765007019,,,,,15
m-eurosat,knn5,accuracy,0.79,0.7629750370979309,0.8130249977111816,1024,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_naip_satlas_si,model_native,512,bilinear,default,all,10,d48b98e3674b21ba,-6,4,40,True,200,,,,,,,0.03800015151500702,0.06009388715028763,0.800000011920929,,,,,6
m-eurosat,linear,accuracy,0.903,0.8840000033378601,0.9220249652862549,1024,2.5719138090593416,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_naip_satlas_si,model_native,512,bilinear,default,all,10,d48b98e3674b21ba,-6,4,40,True,200,,,,,,,0.03265612944960594,0.05207134783267975,0.2976210415363312,,,,,15
