dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.6078806912152896,0.5991058349609375,0.6157314777374268,1024,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,512,bilinear,default,rgb,19,ac46e472444c2c33,-6,4,40,True,200,,,,,,,0.04924740724412626,0.06614847304789644,0.3324316442012787,,,,,6
benv2,linear,micro_mAP,0.7455826207133291,0.7381298542022705,0.7534396648406982,1024,522.3345074266832,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,512,bilinear,default,rgb,19,ac46e472444c2c33,-6,4,40,True,200,,,,,,,0.017699708001026392,0.03390544998508535,0.3166059773219259,,,,,15
eurosat-spatial,knn5,accuracy,0.5642592592592592,0.5512916445732117,0.5787639021873474,1024,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,512,bilinear,default,all,10,09460b9f4472e2c5,-6,4,40,True,200,,,,,,,0.18825551867485046,0.19932682812213898,0.2813590168952942,,,,,6
eurosat-spatial,linear,accuracy,0.7946296296296296,0.7838425636291504,0.8055602312088013,1024,3070.2906297578375,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,512,bilinear,default,all,10,09460b9f4472e2c5,-6,4,40,True,200,,,,,,,0.06151970475912094,0.06832662224769592,0.36809617280960083,,,,,15
forestnet,knn5,accuracy,0.37361530715005037,0.33736154437065125,0.40284493565559387,1024,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,512,bilinear,default,rgb,12,ac46e472444c2c33,-6,4,40,True,200,,,,,,,0.3115822672843933,0.3304664194583893,0.4373646080493927,,,,,6
forestnet,linear,accuracy,0.5327291037260826,0.4984642565250397,0.5619586706161499,1024,0.012663801734674022,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,512,bilinear,default,rgb,12,ac46e472444c2c33,-6,4,40,True,200,,,,,,,0.06290772557258606,0.0820186659693718,0.2088686227798462,,,,,15
m-bigearthnet,knn5,micro_mAP,0.4267085067046072,0.4086354970932007,0.444071888923645,1024,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,512,bilinear,default,all,43,09460b9f4472e2c5,-6,4,40,True,200,,,,,,,0.045744201709884545,0.06356988860250906,0.3255130960497745,,,,,6
m-bigearthnet,linear,micro_mAP,0.5803030513282635,0.5651340484619141,0.5957027077674866,1024,942.6684551178854,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,512,bilinear,default,all,43,09460b9f4472e2c5,-6,4,40,True,200,,,,,,,0.02009919516439008,0.04981440388012764,0.4724238428265549,,,,,15
m-brick-kiln,knn5,accuracy,0.8178178178178178,0.7927427291870117,0.8418418169021606,1024,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,512,bilinear,default,rgb,2,ac46e472444c2c33,-6,4,40,True,200,,,,,,,0.03923964872956276,0.04068746790289879,0.05590742826461792,,,,,6
m-brick-kiln,linear,accuracy,0.8808808808808809,0.8647897839546204,0.9009259343147278,1024,49.238826317067314,,,15063,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,bandspec_zscore,512,bilinear,default,rgb,2,ac46e472444c2c33,-6,4,40,True,200,,,,,,,0.024176716804504395,0.03323981165885925,0.16647300124168396,,,,,15
