dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.5633959941666384,0.5550763010978699,0.57258540391922,1024,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,model_native,512,bilinear,default,rgb,19,69d43c1d10087f5c,-6,4,40,True,200,,,,,,,0.05332893972579194,0.07125365734100342,0.30809631708421203,,,,,6
benv2,linear,micro_mAP,0.5701219872792676,0.5621346235275269,0.5783690214157104,1024,3070.2906297578375,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,model_native,512,bilinear,default,rgb,19,69d43c1d10087f5c,-6,4,40,True,200,,,,,,,0.029454326489940286,0.0434745101527752,0.34163372271302106,,,,,15
eurosat-spatial,knn5,accuracy,0.6468518518518519,0.6340463161468506,0.6575972437858582,1024,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,model_native,512,bilinear,default,all,10,d9a63adc14a5a451,-6,4,40,True,200,,,,,,,0.14010778069496155,0.14632166922092438,0.20000000298023224,,,,,6
eurosat-spatial,linear,accuracy,0.7194444444444444,0.7077639102935791,0.7315278053283691,1024,2.5719138090593416,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,model_native,512,bilinear,default,all,10,d9a63adc14a5a451,-6,4,40,True,200,,,,,,,0.036633677780628204,0.041982501745224,0.06384903192520142,,,,,15
forestnet,knn5,accuracy,0.37462235649546827,0.3474068343639374,0.40684792399406433,1024,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,model_native,512,bilinear,default,rgb,12,69d43c1d10087f5c,-6,4,40,True,200,,,,,,,0.32064566016197205,0.3447476029396057,0.42544373869895935,,,,,6
forestnet,linear,accuracy,0.5609264853977844,0.5286757349967957,0.5921953916549683,1024,0.04124626382901348,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,model_native,512,bilinear,default,rgb,12,69d43c1d10087f5c,-6,4,40,True,200,,,,,,,0.051786843687295914,0.06231396645307541,0.19081610441207886,,,,,15
m-bigearthnet,knn5,micro_mAP,0.39657510517400574,0.3769778609275818,0.4151792526245117,1024,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,model_native,512,bilinear,default,all,43,d9a63adc14a5a451,-6,4,40,True,200,,,,,,,0.0473953558478591,0.06556252706362757,0.3501892708415209,,,,,6
m-bigearthnet,linear,micro_mAP,0.5592485307102577,0.5441300868988037,0.5753132104873657,1024,49.238826317067314,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,model_native,512,bilinear,default,all,43,d9a63adc14a5a451,-6,4,40,True,200,,,,,,,0.02047019387963553,0.05012575909495354,0.4965363744386407,,,,,15
m-brick-kiln,knn5,accuracy,0.8388388388388388,0.8137887716293335,0.8588588833808899,1024,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,model_native,512,bilinear,default,rgb,2,69d43c1d10087f5c,-6,4,40,True,200,,,,,,,0.024223696440458298,0.024859964847564697,0.027965784072875977,,,,,6
m-brick-kiln,linear,accuracy,0.7867867867867868,0.7657657861709595,0.8108108043670654,1024,15.117750706156599,,,15063,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,model_native,512,bilinear,default,rgb,2,69d43c1d10087f5c,-6,4,40,True,200,,,,,,,0.03646772354841232,0.04584405943751335,0.08888134360313416,,,,,15
m-eurosat,knn5,accuracy,0.705,0.675000011920929,0.7340750098228455,1024,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,model_native,512,bilinear,default,all,10,d9a63adc14a5a451,-6,4,40,True,200,,,,,,,0.0476004034280777,0.04927369952201843,0.30000001192092896,,,,,6
m-eurosat,linear,accuracy,0.788,0.7580000162124634,0.8100249767303467,1024,49.238826317067314,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,model_native,512,bilinear,default,all,10,d9a63adc14a5a451,-6,4,40,True,200,,,,,,,0.07458809018135071,0.10444806516170502,0.19832786917686462,,,,,15
m-forestnet,knn5,accuracy,0.3685800604229607,0.3403322994709015,0.3967774510383606,1024,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,model_native,512,bilinear,default,rgb,12,69d43c1d10087f5c,-6,4,40,True,200,,,,,,,0.3137979805469513,0.3243078589439392,0.4161849617958069,,,,,6
m-forestnet,linear,accuracy,0.5659617321248741,0.5376636385917664,0.5921953916549683,1024,0.04124626382901348,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,model_native,512,bilinear,default,rgb,12,69d43c1d10087f5c,-6,4,40,True,200,,,,,,,0.042395006865262985,0.0558973029255867,0.18400433659553528,,,,,15
m-pv4ger,knn5,accuracy,0.914914914914915,0.8968468308448792,0.9349849820137024,1024,,,,11814,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,model_native,512,bilinear,default,rgb,2,69d43c1d10087f5c,-6,4,40,True,200,,,,,,,0.027827806770801544,0.0312042273581028,0.07000011205673218,,,,,6
m-pv4ger,linear,accuracy,0.93993993993994,0.92790287733078,0.9570070505142212,1024,160.37187437513276,,,11814,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,model_native,512,bilinear,default,rgb,2,69d43c1d10087f5c,-6,4,40,True,200,,,,,,,0.028238754719495773,0.054806824773550034,0.31917938590049744,,,,,15
m-so2sat,knn5,accuracy,0.23529411764705882,0.21602433919906616,0.2616886496543884,1024,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,model_native,512,bilinear,default,rgb,17,69d43c1d10087f5c,-6,4,40,True,200,,,,,,,0.38133999705314636,0.4100930988788605,0.6159999966621399,,,,,6
m-so2sat,linear,accuracy,0.3762677484787018,0.34784480929374695,0.4057302474975586,1024,522.3345074266832,,,19992,986,986,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,model_native,512,bilinear,default,rgb,17,69d43c1d10087f5c,-6,4,40,True,200,,,,,,,0.13641659915447235,0.1647181510925293,0.2965551018714905,,,,,15
so2sat,knn5,accuracy,0.23529411764705882,0.21298174560070038,0.262728214263916,1024,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,model_native,512,bilinear,default,rgb,17,69d43c1d10087f5c,-6,4,40,True,200,,,,,,,0.38154280185699463,0.41044989228248596,0.6159999966621399,,,,,6
so2sat,linear,accuracy,0.3630831643002028,0.3396805226802826,0.39249491691589355,1024,942.6684551178854,,,19992,986,986,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,model_native,512,bilinear,default,rgb,17,69d43c1d10087f5c,-6,4,40,True,200,,,,,,,0.13258332014083862,0.16121794283390045,0.3307332992553711,,,,,15
treesatai,knn5,micro_mAP,0.39419252590140946,0.3778207004070282,0.40840211510658264,1024,,,,4000,1000,2000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,model_native,512,bilinear,default,rgb,15,69d43c1d10087f5c,-6,4,40,True,200,,,,,,,0.07209999493012825,0.09215724890430768,0.45179959436257683,,,,,6
treesatai,linear,micro_mAP,0.5853545108747018,0.5704181790351868,0.5993512272834778,1024,0.24244620170823258,,,4000,1000,2000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_mi,model_native,512,bilinear,default,rgb,15,69d43c1d10087f5c,-6,4,40,True,200,,,,,,,0.022831047077973683,0.037977135522911945,0.37603294650713603,,,,,15
