dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.6389903753636216,0.6307551860809326,0.6473140716552734,1024,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,512,bilinear,default,rgb,19,e532f84d66491c8e,-6,4,40,True,200,,,,,,,0.042928978702739665,0.05880172717335977,0.26068609168654994,,,,,6
benv2,linear,micro_mAP,0.772149101242635,0.7657762765884399,0.7786102294921875,1024,0.13433993325988988,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,512,bilinear,default,rgb,19,e532f84d66491c8e,-6,4,40,True,200,,,,,,,0.015422096322780769,0.030933837308303305,0.3102815323754361,,,,,15
eurosat-spatial,knn5,accuracy,0.7240740740740741,0.7116203308105469,0.7357499599456787,1024,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,512,bilinear,default,rgb,10,e532f84d66491c8e,-6,4,40,True,200,,,,,,,0.10814668238162994,0.11147947609424591,0.20000003278255463,,,,,6
eurosat-spatial,linear,accuracy,0.8688888888888889,0.8601805567741394,0.878333330154419,1024,0.24244620170823258,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,512,bilinear,default,rgb,10,e532f84d66491c8e,-6,4,40,True,200,,,,,,,0.034317027777433395,0.04613906145095825,0.2598015367984772,,,,,15
forestnet,knn5,accuracy,0.3877139979859013,0.36251258850097656,0.4199647605419159,1024,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,512,bilinear,default,rgb,12,e532f84d66491c8e,-6,4,40,True,200,,,,,,,0.287413090467453,0.3051447868347168,0.41216927766799927,,,,,6
forestnet,linear,accuracy,0.5146022155085599,0.4783232510089874,0.5438318252563477,1024,0.012663801734674022,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,512,bilinear,default,rgb,12,e532f84d66491c8e,-6,4,40,True,200,,,,,,,0.06504888087511063,0.07913876324892044,0.18504254519939423,,,,,15
m-bigearthnet,knn5,micro_mAP,0.5087240712326969,0.4957295358181,0.5263442397117615,1024,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,512,bilinear,default,rgb,43,e532f84d66491c8e,-6,4,40,True,200,,,,,,,0.03524187068606532,0.05324439726076847,0.30202539542386697,,,,,6
m-bigearthnet,linear,micro_mAP,0.6375165203122882,0.6220885515213013,0.6516242027282715,1024,0.13433993325988988,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,512,bilinear,default,rgb,43,e532f84d66491c8e,-6,4,40,True,200,,,,,,,0.019969397982539133,0.05134453498866669,0.45613969897114953,,,,,15
m-brick-kiln,knn5,accuracy,0.8308308308308309,0.808783769607544,0.8518518805503845,1024,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,512,bilinear,default,rgb,2,e532f84d66491c8e,-6,4,40,True,200,,,,,,,0.014014553278684616,0.018918855115771294,0.02731090784072876,,,,,6
m-brick-kiln,linear,accuracy,0.8998998998998999,0.8828828930854797,0.9189189076423645,1024,0.7896522868499717,,,15063,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,512,bilinear,default,rgb,2,e532f84d66491c8e,-6,4,40,True,200,,,,,,,0.021342508494853973,0.0318119116127491,0.09857016801834106,,,,,15
m-eurosat,knn5,accuracy,0.741,0.7129999995231628,0.7670249938964844,1024,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,512,bilinear,default,all,10,2609207de5c37ac3,-6,4,40,True,200,,,,,,,0.02999970130622387,0.03603372350335121,0.19999998807907104,,,,,6
m-eurosat,linear,accuracy,0.881,0.8579999804496765,0.8999999761581421,1024,1.4251026703029963,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,512,bilinear,default,all,10,2609207de5c37ac3,-6,4,40,True,200,,,,,,,0.0442732572555542,0.06696353852748871,0.30690330266952515,,,,,15
m-forestnet,knn5,accuracy,0.3856998992950655,0.35244208574295044,0.41795065999031067,1024,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,512,bilinear,default,rgb,12,e532f84d66491c8e,-6,4,40,True,200,,,,,,,0.2849961519241333,0.30185267329216003,0.40759673714637756,,,,,6
m-forestnet,linear,accuracy,0.5085599194360524,0.47933030128479004,0.5357754230499268,1024,0.002154434690031882,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,512,bilinear,default,rgb,12,e532f84d66491c8e,-6,4,40,True,200,,,,,,,0.0646144300699234,0.0748089849948883,0.2504732012748718,,,,,15
m-pv4ger,knn5,accuracy,0.9329329329329329,0.9179179072380066,0.9499499201774597,1024,,,,11814,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,512,bilinear,default,rgb,2,e532f84d66491c8e,-6,4,40,True,200,,,,,,,0.03463468700647354,0.03741169720888138,0.09056627750396729,,,,,6
m-pv4ger,linear,accuracy,0.9429429429429429,0.9289289116859436,0.9579579830169678,1024,0.04124626382901348,,,11814,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,512,bilinear,default,rgb,2,e532f84d66491c8e,-6,4,40,True,200,,,,,,,0.028881406411528587,0.06059352308511734,0.3490927517414093,,,,,15
m-so2sat,knn5,accuracy,0.30831643002028397,0.2829107344150543,0.3357505202293396,1024,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,512,bilinear,default,rgb,17,e532f84d66491c8e,-6,4,40,True,200,,,,,,,0.35517361760139465,0.37196242809295654,0.4796554744243622,,,,,6
m-so2sat,linear,accuracy,0.5567951318458418,0.526343822479248,0.5892494916915894,1024,0.7896522868499717,,,19992,986,986,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,512,bilinear,default,rgb,17,e532f84d66491c8e,-6,4,40,True,200,,,,,,,0.11506135016679764,0.12308214604854584,0.19632381200790405,,,,,15
so2sat,knn5,accuracy,0.30831643002028397,0.2828854024410248,0.33876776695251465,1024,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,512,bilinear,default,rgb,17,e532f84d66491c8e,-6,4,40,True,200,,,,,,,0.35517361760139465,0.37196242809295654,0.4796554744243622,,,,,6
so2sat,linear,accuracy,0.552738336713996,0.5192444324493408,0.5831896066665649,1024,0.7896522868499717,,,19992,986,986,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,512,bilinear,default,rgb,17,e532f84d66491c8e,-6,4,40,True,200,,,,,,,0.11482486128807068,0.12547360360622406,0.1989104151725769,,,,,15
treesatai,knn5,micro_mAP,0.39776994350069994,0.38197678327560425,0.4124752879142761,1024,,,,4000,1000,2000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,512,bilinear,default,rgb,15,e532f84d66491c8e,-6,4,40,True,200,,,,,,,0.07234665664533774,0.09353858157992363,0.4568415641784668,,,,,6
treesatai,linear,micro_mAP,0.5683538216270094,0.5510461330413818,0.5825517773628235,1024,0.0744380301325168,,,4000,1000,2000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2b_s2rgb_satlas_si,bandspec_zscore,512,bilinear,default,rgb,15,e532f84d66491c8e,-6,4,40,True,200,,,,,,,0.024263340731461844,0.04376326234390338,0.3880959331989288,,,,,15
