dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.6118272089230545,0.6036851406097412,0.6193912625312805,768,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,bandspec_zscore,512,bilinear,default,rgb,19,3d8bcf88fc75e1b7,-6,4,40,True,200,,,,,,,0.04597113481232602,0.06292727241586697,0.2877599432280189,,,,,6
benv2,linear,micro_mAP,0.7538785206041017,0.7472847104072571,0.7604364156723022,768,0.04124626382901348,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,bandspec_zscore,512,bilinear,default,rgb,19,3d8bcf88fc75e1b7,-6,4,40,True,200,,,,,,,0.01619679631211942,0.03110392477461382,0.27365654863809286,,,,,15
eurosat-spatial,knn5,accuracy,0.6881481481481482,0.6758934855461121,0.6990740895271301,768,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,bandspec_zscore,512,bilinear,default,rgb,10,3d8bcf88fc75e1b7,-6,4,40,True,200,,,,,,,0.13321983814239502,0.13792411983013153,0.19999998807907104,,,,,6
eurosat-spatial,linear,accuracy,0.8301851851851851,0.8199675679206848,0.8400231003761292,768,0.437547937507418,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,bandspec_zscore,512,bilinear,default,rgb,10,3d8bcf88fc75e1b7,-6,4,40,True,200,,,,,,,0.05521683767437935,0.06497887521982193,0.20786277949810028,,,,,15
forestnet,knn5,accuracy,0.32225579053373615,0.29101207852363586,0.35148540139198303,768,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,bandspec_zscore,512,bilinear,default,rgb,12,3d8bcf88fc75e1b7,-6,4,40,True,200,,,,,,,0.3518643379211426,0.36140668392181396,0.41354772448539734,,,,,6
forestnet,linear,accuracy,0.5186304128902316,0.48841893672943115,0.5478348731994629,768,0.012663801734674022,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,bandspec_zscore,512,bilinear,default,rgb,12,3d8bcf88fc75e1b7,-6,4,40,True,200,,,,,,,0.05025447905063629,0.06754685193300247,0.31686291098594666,,,,,15
m-bigearthnet,knn5,micro_mAP,0.46305144172488033,0.4459074139595032,0.4790887236595154,768,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,bandspec_zscore,512,bilinear,default,rgb,43,3d8bcf88fc75e1b7,-6,4,40,True,200,,,,,,,0.039465118275392196,0.05690016900730688,0.3002867104355679,,,,,6
m-bigearthnet,linear,micro_mAP,0.6157673200573223,0.6014112830162048,0.6309043169021606,768,0.0744380301325168,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,bandspec_zscore,512,bilinear,default,rgb,43,3d8bcf88fc75e1b7,-6,4,40,True,200,,,,,,,0.02138939665543825,0.05271040496611318,0.4948193583377572,,,,,15
m-brick-kiln,knn5,accuracy,0.8228228228228228,0.7987987995147705,0.8458458185195923,768,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,bandspec_zscore,512,bilinear,default,rgb,2,3d8bcf88fc75e1b7,-6,4,40,True,200,,,,,,,0.03803841769695282,0.038450781255960464,0.043749988079071045,,,,,6
m-brick-kiln,linear,accuracy,0.9039039039039038,0.8847848176956177,0.9199199080467224,768,8.376776400682907,,,15063,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,bandspec_zscore,512,bilinear,default,rgb,2,3d8bcf88fc75e1b7,-6,4,40,True,200,,,,,,,0.028009161353111267,0.04379211738705635,0.18170461058616638,,,,,15
m-eurosat,knn5,accuracy,0.689,0.6599750518798828,0.7110500335693359,768,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,bandspec_zscore,512,bilinear,default,all,10,a0415aa2187fbe57,-6,4,40,True,200,,,,,,,0.031399935483932495,0.038361623883247375,0.13333331048488617,,,,,6
