dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.5239357395360232,0.5147302746772766,0.5347375273704529,768,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,model_native,512,bilinear,default,rgb,19,2e14b5e670527a03,-6,4,40,True,200,,,,,,,0.05564219892441638,0.07324941135256698,0.32643467697658035,,,,,6
benv2,linear,micro_mAP,0.6367326289408701,0.6287412643432617,0.6446595191955566,768,289.426612471674,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,model_native,512,bilinear,default,rgb,19,2e14b5e670527a03,-6,4,40,True,200,,,,,,,0.02240007039539418,0.04080904682019824,0.43260316040955094,,,,,15
eurosat-spatial,knn5,accuracy,0.5916666666666667,0.5783240795135498,0.6033564805984497,768,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,model_native,512,bilinear,default,rgb,10,2e14b5e670527a03,-6,4,40,True,200,,,,,,,0.1831444799900055,0.19314366579055786,0.28726130723953247,,,,,6
eurosat-spatial,linear,accuracy,0.7507407407407407,0.738861083984375,0.7627963423728943,768,289.426612471674,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,model_native,512,bilinear,default,rgb,10,2e14b5e670527a03,-6,4,40,True,200,,,,,,,0.09497307986021042,0.0983160138130188,0.1392788290977478,,,,,15
forestnet,knn5,accuracy,0.34441087613293053,0.32124873995780945,0.37575528025627136,768,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,model_native,512,bilinear,default,rgb,12,2e14b5e670527a03,-6,4,40,True,200,,,,,,,0.3444121479988098,0.3567861020565033,0.44730475544929504,,,,,6
forestnet,linear,accuracy,0.527693856998993,0.4984894394874573,0.5569486618041992,768,0.0011937766417144358,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,model_native,512,bilinear,default,rgb,12,2e14b5e670527a03,-6,4,40,True,200,,,,,,,0.049298275262117386,0.05847981944680214,0.21936136484146118,,,,,15
m-bigearthnet,knn5,micro_mAP,0.35679108136440457,0.33981212973594666,0.3736010789871216,768,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,model_native,512,bilinear,default,rgb,43,2e14b5e670527a03,-6,4,40,True,200,,,,,,,0.04967909094032853,0.06921371804593607,0.376299727274928,,,,,6
m-bigearthnet,linear,micro_mAP,0.4936092211402422,0.47630587220191956,0.5110424160957336,768,0.13433993325988988,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,model_native,512,bilinear,default,rgb,43,2e14b5e670527a03,-6,4,40,True,200,,,,,,,0.020955942387064528,0.05234271673442319,0.6087114769358968,,,,,15
m-brick-kiln,knn5,accuracy,0.8688688688688688,0.8467967510223389,0.8868868947029114,768,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,model_native,512,bilinear,default,rgb,2,2e14b5e670527a03,-6,4,40,True,200,,,,,,,0.024024222046136856,0.025658398866653442,0.030254781246185303,,,,,6
m-brick-kiln,linear,accuracy,0.8738738738738738,0.8558558821678162,0.890890896320343,768,522.3345074266832,,,15063,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,model_native,512,bilinear,default,rgb,2,2e14b5e670527a03,-6,4,40,True,200,,,,,,,0.036767616868019104,0.0462728776037693,0.09794586896896362,,,,,15
m-eurosat,knn5,accuracy,0.684,0.657925009727478,0.7100749611854553,768,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,model_native,512,bilinear,default,all,10,4b83f2ac395bc0c7,-6,4,40,True,200,,,,,,,0.05060061812400818,0.061359334737062454,0.20000000298023224,,,,,6
m-eurosat,linear,accuracy,0.857,0.8359500169754028,0.8770249485969543,768,522.3345074266832,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_mi,model_native,512,bilinear,default,all,10,4b83f2ac395bc0c7,-6,4,40,True,200,,,,,,,0.04870465770363808,0.05705231800675392,0.1494297981262207,,,,,15
