dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.558783858697537,0.5501775145530701,0.5678888559341431,768,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_si,model_native,512,bilinear,default,rgb,19,c1f7d87cb2d48816,-6,4,40,True,200,,,,,,,0.05025000581640358,0.06704626938230113,0.24108613164801346,,,,,6
benv2,linear,micro_mAP,0.7008066218716549,0.6932775974273682,0.7073673605918884,768,0.13433993325988988,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_si,model_native,512,bilinear,default,rgb,19,c1f7d87cb2d48816,-6,4,40,True,200,,,,,,,0.017923594780241775,0.03299602580648896,0.32024322214879486,,,,,15
eurosat-spatial,knn5,accuracy,0.6455555555555555,0.6346249580383301,0.6578425765037537,768,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_si,model_native,512,bilinear,default,rgb,10,c1f7d87cb2d48816,-6,4,40,True,200,,,,,,,0.1599598079919815,0.1768924742937088,0.30000001192092896,,,,,6
eurosat-spatial,linear,accuracy,0.8166666666666667,0.8055370450019836,0.8272268772125244,768,0.7896522868499717,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_si,model_native,512,bilinear,default,rgb,10,c1f7d87cb2d48816,-6,4,40,True,200,,,,,,,0.04682866111397743,0.05930555984377861,0.2457282841205597,,,,,15
forestnet,knn5,accuracy,0.3675730110775428,0.33836859464645386,0.3938318192958832,768,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_si,model_native,512,bilinear,default,rgb,12,c1f7d87cb2d48816,-6,4,40,True,200,,,,,,,0.3202429413795471,0.3364112675189972,0.4455243647098541,,,,,6
forestnet,linear,accuracy,0.5367573011077543,0.506520688533783,0.5650050640106201,768,0.002154434690031882,,,6464,989,993,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_si,model_native,512,bilinear,default,rgb,12,c1f7d87cb2d48816,-6,4,40,True,200,,,,,,,0.06956690549850464,0.07801026105880737,0.11886072158813477,,,,,15
m-bigearthnet,knn5,micro_mAP,0.39908342542359515,0.3841136693954468,0.4140290915966034,768,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_si,model_native,512,bilinear,default,rgb,43,c1f7d87cb2d48816,-6,4,40,True,200,,,,,,,0.04827909308030855,0.06665063242233077,0.3626176087662231,,,,,6
m-bigearthnet,linear,micro_mAP,0.5706386697940734,0.55372554063797,0.5889136791229248,768,0.24244620170823258,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_si,model_native,512,bilinear,default,rgb,43,c1f7d87cb2d48816,-6,4,40,True,200,,,,,,,0.02130297358082824,0.05103287507974824,0.5380168501720872,,,,,15
m-brick-kiln,knn5,accuracy,0.8928928928928929,0.8768518567085266,0.909934937953949,768,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_si,model_native,512,bilinear,default,rgb,2,c1f7d87cb2d48816,-6,4,40,True,200,,,,,,,0.02922871708869934,0.03395053371787071,0.06046342849731445,,,,,6
m-brick-kiln,linear,accuracy,0.9429429429429429,0.9309058785438538,0.955955982208252,768,289.426612471674,,,15063,999,999,0,torchgeo_bench.models.TorchGeoSwinBench,tgeo_swinv2t_s2rgb_satlas_si,model_native,512,bilinear,default,rgb,2,c1f7d87cb2d48816,-6,4,40,True,200,,,,,,,0.01918739639222622,0.042800888419151306,0.1790143847465515,,,,,15
