dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.6895270332593115,0.6813403367996216,0.6975762248039246,1024,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,bandspec_zscore,256,bilinear,default,rgb,19,54b0010bfe2a85c9,-6,4,40,True,200,,,,,,,0.03671579609477991,0.04939836930287512,0.2300807535648346,,,,,6
benv2,linear,micro_mAP,0.8155144393964106,0.8094651103019714,0.8209285736083984,1024,0.437547937507418,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,bandspec_zscore,256,bilinear,default,rgb,19,54b0010bfe2a85c9,-6,4,40,True,200,,,,,,,0.013791292933379546,0.028614494655477375,0.222457208131489,,,,,15
eurosat-spatial,knn5,accuracy,0.9353703703703704,0.9288842678070068,0.9425926208496094,1024,,,,16200,5400,5400,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,bandspec_zscore,256,bilinear,default,rgb,10,54b0010bfe2a85c9,-6,4,40,True,200,,,,,,,0.029630322009325027,0.042574960738420486,0.800000011920929,,,,,6
eurosat-spatial,linear,accuracy,0.9538888888888889,0.9486759305000305,0.9594444632530212,1024,0.437547937507418,,,16200,5400,5400,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,bandspec_zscore,256,bilinear,default,rgb,10,54b0010bfe2a85c9,-6,4,40,True,200,,,,,,,0.006368561647832394,0.02111939899623394,0.2552332580089569,,,,,15
forestnet,knn5,accuracy,0.38469284994964753,0.3494461178779602,0.411908358335495,1024,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,bandspec_zscore,256,bilinear,default,rgb,12,54b0010bfe2a85c9,-6,4,40,True,200,,,,,,,0.32547953724861145,0.34082645177841187,0.43265509605407715,,,,,6
forestnet,linear,accuracy,0.5397784491440081,0.5075528621673584,0.5689828991889954,1024,0.437547937507418,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,bandspec_zscore,256,bilinear,default,rgb,12,54b0010bfe2a85c9,-6,4,40,True,200,,,,,,,0.06114039197564125,0.07256771624088287,0.19379372894763947,,,,,15
m-bigearthnet,knn5,micro_mAP,0.5842133525572246,0.5666425824165344,0.6003461480140686,1024,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,bandspec_zscore,256,bilinear,default,rgb,43,54b0010bfe2a85c9,-6,4,40,True,200,,,,,,,0.0305674375403066,0.04802695414874443,0.24956496094548425,,,,,6
m-bigearthnet,linear,micro_mAP,0.710491241972615,0.696376621723175,0.7253919243812561,1024,0.7896522868499717,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,bandspec_zscore,256,bilinear,default,rgb,43,54b0010bfe2a85c9,-6,4,40,True,200,,,,,,,0.018990525445186122,0.05326944329710894,0.5105578989483589,,,,,15
m-brick-kiln,knn5,accuracy,0.8938938938938938,0.8768017888069153,0.9099099040031433,1024,,,,15063,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,bandspec_zscore,256,bilinear,default,rgb,2,54b0010bfe2a85c9,-6,4,40,True,200,,,,,,,0.03603567183017731,0.03811567649245262,0.06000089645385742,,,,,6
m-brick-kiln,linear,accuracy,0.95995995995996,0.946946918964386,0.9690440893173218,1024,0.7896522868499717,,,15063,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3,bandspec_zscore,256,bilinear,default,rgb,2,54b0010bfe2a85c9,-6,4,40,True,200,,,,,,,0.0143450191244483,0.02924969792366028,0.13438302278518677,,,,,15
