dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.7065340476673476,0.6979098916053772,0.7140768766403198,1024,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat,model_native,256,bilinear,default,rgb,19,150546e3d7c50501,-6,4,40,True,200,,,,,,,0.035621152142994106,0.050604647564652716,0.23650937488204554,,,,,6
benv2,linear,micro_mAP,0.8346165932798498,0.8286247253417969,0.8401889801025391,1024,1.4251026703029963,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat,model_native,256,bilinear,default,rgb,19,150546e3d7c50501,-6,4,40,True,200,,,,,,,0.013971062851947193,0.030130408263128055,0.24161084466858915,,,,,15
eurosat-spatial,knn5,accuracy,0.8920370370370371,0.8844351768493652,0.900935173034668,1024,,,,16200,5400,5400,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat,model_native,256,bilinear,default,rgb,10,150546e3d7c50501,-6,4,40,True,200,,,,,,,0.02029566839337349,0.025512760505080223,0.20000000298023224,,,,,6
eurosat-spatial,linear,accuracy,0.9512962962962963,0.9461064338684082,0.9568518400192261,1024,1.4251026703029963,,,16200,5400,5400,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat,model_native,256,bilinear,default,rgb,10,150546e3d7c50501,-6,4,40,True,200,,,,,,,0.007039952557533979,0.017367755994200706,0.32129573822021484,,,,,15
forestnet,knn5,accuracy,0.38469284994964753,0.35146021842956543,0.4189577102661133,1024,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat,model_native,256,bilinear,default,rgb,12,150546e3d7c50501,-6,4,40,True,200,,,,,,,0.31822872161865234,0.33291861414909363,0.41338488459587097,,,,,6
forestnet,linear,accuracy,0.5579053373615307,0.52459716796875,0.5911630988121033,1024,0.7896522868499717,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat,model_native,256,bilinear,default,rgb,12,150546e3d7c50501,-6,4,40,True,200,,,,,,,0.03276481851935387,0.045850131660699844,0.14705422520637512,,,,,15
m-bigearthnet,knn5,micro_mAP,0.6149155598562546,0.5982407331466675,0.6324777007102966,1024,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat,model_native,256,bilinear,default,rgb,43,150546e3d7c50501,-6,4,40,True,200,,,,,,,0.029544188391937072,0.04814481557628443,0.2423966906444971,,,,,6
m-bigearthnet,linear,micro_mAP,0.7359889868303832,0.7250937223434448,0.749222457408905,1024,2.5719138090593416,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat,model_native,256,bilinear,default,rgb,43,150546e3d7c50501,-6,4,40,True,200,,,,,,,0.019095433193670457,0.05269261310959971,0.48154726659142694,,,,,15
m-brick-kiln,knn5,accuracy,0.8988988988988988,0.8808808922767639,0.9129379391670227,1024,,,,15063,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat,model_native,256,bilinear,default,rgb,2,150546e3d7c50501,-6,4,40,True,200,,,,,,,0.04684662073850632,0.05183563753962517,0.08235388994216919,,,,,6
m-brick-kiln,linear,accuracy,0.973973973973974,0.9629629850387573,0.9829829931259155,1024,2.5719138090593416,,,15063,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,vit_large_patch16_dinov3sat,model_native,256,bilinear,default,rgb,2,150546e3d7c50501,-6,4,40,True,200,,,,,,,0.01229146122932434,0.04221358522772789,0.18789660930633545,,,,,15
