dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.5728763045760714,0.5638650059700012,0.5824339389801025,1536,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,all,19,7fd6754a0ca85c2a,-6,4,40,True,200,,,,,,,0.04819474083763596,0.06214699090311402,0.29121154742805583,,,,,6
benv2,linear,micro_mAP,0.7583544907081641,0.751416027545929,0.7654200792312622,1536,0.003888155180308085,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,all,19,7fd6754a0ca85c2a,-6,4,40,True,200,,,,,,,0.017042964194460136,0.031875663927119026,0.3484892476546137,,,,,15
eurosat-spatial,knn5,accuracy,0.8057407407407408,0.7935185432434082,0.8183425664901733,1536,,,,16200,5400,5400,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,all,10,7fd6754a0ca85c2a,-6,4,40,True,200,,,,,,,0.02792411856353283,0.03300515189766884,0.045932382345199585,,,,,6
eurosat-spatial,linear,accuracy,0.9374074074074074,0.9309166669845581,0.9435277581214905,1536,0.04124626382901348,,,16200,5400,5400,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,all,10,7fd6754a0ca85c2a,-6,4,40,True,200,,,,,,,0.007616768591105938,0.020350849255919456,0.7493543028831482,,,,,15
forestnet,knn5,accuracy,0.3333333333333333,0.3010573983192444,0.364577054977417,1536,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,all,12,7fd6754a0ca85c2a,-6,4,40,True,200,,,,,,,0.3359532356262207,0.348941445350647,0.4060625731945038,,,,,6
forestnet,linear,accuracy,0.5055387713997986,0.4761832654476166,0.5428499579429626,1536,0.012663801734674022,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,all,12,7fd6754a0ca85c2a,-6,4,40,True,200,,,,,,,0.057306841015815735,0.06795115768909454,0.11932176351547241,,,,,15
m-bigearthnet,knn5,micro_mAP,0.4040025841617433,0.38864755630493164,0.41959914565086365,1536,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,all,43,7fd6754a0ca85c2a,-6,4,40,True,200,,,,,,,0.043511640908586426,0.06242344662720381,0.37756682533857433,,,,,6
m-bigearthnet,linear,micro_mAP,0.6198098396842016,0.6040705442428589,0.6346640586853027,1536,0.007017038286703823,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,all,43,7fd6754a0ca85c2a,-6,4,40,True,200,,,,,,,0.020591914989487377,0.053663567574911336,0.48177140362040943,,,,,15
m-brick-kiln,knn5,accuracy,0.8158158158158159,0.7917667627334595,0.8368618488311768,1536,,,,15063,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,all,2,7fd6754a0ca85c2a,-6,4,40,True,200,,,,,,,0.031031621620059013,0.039699070155620575,0.05773669481277466,,,,,6
m-brick-kiln,linear,accuracy,0.9059059059059059,0.8838338255882263,0.9219469428062439,1536,0.012663801734674022,,,15063,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,224,bilinear,default,all,2,7fd6754a0ca85c2a,-6,4,40,True,200,,,,,,,0.01566222310066223,0.031185580417513847,0.09077197313308716,,,,,15
