dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.5359506487698975,0.5262206196784973,0.5446884036064148,1536,,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,,bilinear,default,all,19,5bee83b8ea344519,-6,4,40,True,200,,,,,,,0.054018549241223617,0.07110944336378261,0.3111346513032913,,,,,6
benv2,linear,micro_mAP,0.7287399681363134,0.7213679552078247,0.7354346513748169,1536,0.0011937766417144358,,,20000,4000,4000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,,bilinear,default,all,19,5bee83b8ea344519,-6,4,40,True,200,,,,,,,0.01923443027159297,0.03280758953310157,0.26497309341242437,,,,,15
eurosat-spatial,knn5,accuracy,0.8018518518518518,0.7920277714729309,0.812250018119812,1536,,,,16200,5400,5400,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,,bilinear,default,all,10,5bee83b8ea344519,-6,4,40,True,200,,,,,,,0.021297628059983253,0.026329033076763153,0.0368804931640625,,,,,6
eurosat-spatial,linear,accuracy,0.9274074074074075,0.920921266078949,0.9355602264404297,1536,0.003888155180308085,,,16200,5400,5400,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,,bilinear,default,all,10,5bee83b8ea344519,-6,4,40,True,200,,,,,,,0.018147088587284088,0.029208049178123474,0.22218288481235504,,,,,15
forestnet,knn5,accuracy,0.34843907351460224,0.31218528747558594,0.3786757290363312,1536,,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,,bilinear,default,all,12,5bee83b8ea344519,-6,4,40,True,200,,,,,,,0.33957841992378235,0.36140188574790955,0.5030303001403809,,,,,6
forestnet,linear,accuracy,0.5327291037260826,0.5024169087409973,0.5639727711677551,1536,0.003888155180308085,,,6464,989,993,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,,bilinear,default,all,12,5bee83b8ea344519,-6,4,40,True,200,,,,,,,0.03399883955717087,0.04601050540804863,0.19143490493297577,,,,,15
m-bigearthnet,knn5,micro_mAP,0.335194547648705,0.31804579496383667,0.3504752516746521,1536,,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,,bilinear,default,all,43,5bee83b8ea344519,-6,4,40,True,200,,,,,,,0.054609323830105534,0.07616703922665397,0.4292011791190436,,,,,6
m-bigearthnet,linear,micro_mAP,0.5585031644292839,0.5429278016090393,0.5738207101821899,1536,0.002154434690031882,,,20000,1000,1000,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,,bilinear,default,all,43,5bee83b8ea344519,-6,4,40,True,200,,,,,,,0.020484245761275985,0.050767934751198736,0.4894006299071534,,,,,15
m-brick-kiln,knn5,accuracy,0.7897897897897898,0.7677427530288696,0.8138638734817505,1536,,,,15063,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,,bilinear,default,all,2,5bee83b8ea344519,-6,4,40,True,200,,,,,,,0.02502606250345707,0.030051980167627335,0.04444444179534912,,,,,6
m-brick-kiln,linear,accuracy,0.8878878878878879,0.8708458542823792,0.9069069027900696,1536,0.007017038286703823,,,15063,999,999,0,torchgeo_bench.models.TimmPatchBenchModel,convnext_large_dinov3,bandspec_zscore,,bilinear,default,all,2,5bee83b8ea344519,-6,4,40,True,200,,,,,,,0.032394252717494965,0.04771875962615013,0.22566846013069153,,,,,15
