dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.7202030725284406,0.7122724056243896,0.7273748517036438,768,,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_base,bandspec_zscore,224,bilinear,default,"b02,b03,b04,b08,b05,b06,b07,b8a,b11,b12,b01,b09",19,acf3a5e196791ac7,-6,4,40,True,200,,,,,,,0.035439506767464705,0.04747529803334098,0.22332004732207247,,,,,6
benv2,linear,micro_mAP,0.8418396041301262,0.8359712958335876,0.8471729755401611,768,0.7896522868499717,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_base,bandspec_zscore,224,bilinear,default,"b02,b03,b04,b08,b05,b06,b07,b8a,b11,b12,b01,b09",19,acf3a5e196791ac7,-6,4,40,True,200,,,,,,,0.013868357820779477,0.02943784366116712,0.27835197354617874,,,,,15
eurosat-spatial,knn5,accuracy,0.7277777777777777,0.7157360911369324,0.7390971779823303,768,,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_base,bandspec_zscore,224,bilinear,default,rgb,10,04e460a7b562aee5,-6,4,40,True,200,,,,,,,0.0874791294336319,0.09284497797489166,0.29999998211860657,,,,,6
eurosat-spatial,linear,accuracy,0.8818518518518519,0.8736990690231323,0.8901898264884949,768,289.426612471674,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_base,bandspec_zscore,224,bilinear,default,rgb,10,04e460a7b562aee5,-6,4,40,True,200,,,,,,,0.054369211196899414,0.06944461911916733,0.22691559791564941,,,,,15
forestnet,knn5,accuracy,0.29506545820745217,0.26787513494491577,0.3273162245750427,768,,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_base,bandspec_zscore,224,bilinear,default,rgb,12,04e460a7b562aee5,-6,4,40,True,200,,,,,,,0.3693872094154358,0.38957178592681885,0.5280019044876099,,,,,6
forestnet,linear,accuracy,0.4652567975830816,0.43199899792671204,0.4994964897632599,768,2.5719138090593416,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_base,bandspec_zscore,224,bilinear,default,rgb,12,04e460a7b562aee5,-6,4,40,True,200,,,,,,,0.07131850719451904,0.09434038400650024,0.18670831620693207,,,,,15
m-bigearthnet,knn5,micro_mAP,0.635236953654639,0.6205325722694397,0.65373295545578,768,,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_base,bandspec_zscore,224,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",43,cea0f265cca2028a,-6,4,40,True,200,,,,,,,0.026562788339634966,0.04479201131521962,0.23562373359536015,,,,,6
m-bigearthnet,linear,micro_mAP,0.7517365616920212,0.7386081218719482,0.7649838924407959,768,1.4251026703029963,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_base,bandspec_zscore,224,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",43,cea0f265cca2028a,-6,4,40,True,200,,,,,,,0.01860691244215813,0.05218462905911512,0.47171386210031285,,,,,15
m-brick-kiln,knn5,accuracy,0.913913913913914,0.8988738656044006,0.9279279112815857,768,,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_base,bandspec_zscore,224,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",2,cea0f265cca2028a,-6,4,40,True,200,,,,,,,0.03703681007027626,0.04026222974061966,0.0638662576675415,,,,,6
m-brick-kiln,linear,accuracy,0.965965965965966,0.954954981803894,0.9760010242462158,768,15.117750706156599,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_base,bandspec_zscore,224,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",2,cea0f265cca2028a,-6,4,40,True,200,,,,,,,0.008417398668825626,0.030767658725380898,0.27049222588539124,,,,,15
