dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.7372911348970811,0.7298769950866699,0.7439959645271301,768,,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_base,bandspec_zscore,,bilinear,default,"b02,b03,b04,b08,b05,b06,b07,b8a,b11,b12,b01,b09",19,0e484bd8cd81d56c,-6,4,40,True,200,,,,,,,0.03308959443146657,0.045342317978410346,0.18997305317928917,,,,,6
benv2,linear,micro_mAP,0.8536365056390725,0.8484711050987244,0.858707070350647,768,0.437547937507418,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_base,bandspec_zscore,,bilinear,default,"b02,b03,b04,b08,b05,b06,b07,b8a,b11,b12,b01,b09",19,0e484bd8cd81d56c,-6,4,40,True,200,,,,,,,0.01386701754802887,0.03167613169276401,0.2651011457568721,,,,,15
eurosat-spatial,knn5,accuracy,0.8364814814814815,0.8257407546043396,0.8477963209152222,768,,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_base,bandspec_zscore,,bilinear,default,rgb,10,c253b501408725dc,-6,4,40,True,200,,,,,,,0.04007334262132645,0.041478391736745834,0.20000000298023224,,,,,6
eurosat-spatial,linear,accuracy,0.9057407407407407,0.8979629874229431,0.9137406945228577,768,8.376776400682907,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_base,bandspec_zscore,,bilinear,default,rgb,10,c253b501408725dc,-6,4,40,True,200,,,,,,,0.032733842730522156,0.0464104600250721,0.290030300617218,,,,,15
forestnet,knn5,accuracy,0.3323262839879154,0.3030211627483368,0.35954180359840393,768,,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_base,bandspec_zscore,,bilinear,default,rgb,12,c253b501408725dc,-6,4,40,True,200,,,,,,,0.32628536224365234,0.35597673058509827,0.5080019235610962,,,,,6
forestnet,linear,accuracy,0.4773413897280967,0.44206947088241577,0.5136203169822693,768,0.24244620170823258,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_base,bandspec_zscore,,bilinear,default,rgb,12,c253b501408725dc,-6,4,40,True,200,,,,,,,0.08018387854099274,0.10185600072145462,0.18845537304878235,,,,,15
m-bigearthnet,knn5,micro_mAP,0.6553674755284328,0.6404240131378174,0.670796811580658,768,,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_base,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",43,1b9df9254cff6f38,-6,4,40,True,200,,,,,,,0.02532092752043418,0.04532646907623424,0.26949554577816365,,,,,6
m-bigearthnet,linear,micro_mAP,0.7713871653307895,0.7585622668266296,0.7829718589782715,768,0.7896522868499717,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_base,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",43,1b9df9254cff6f38,-6,4,40,True,200,,,,,,,0.018012378527241392,0.053135516251935515,0.470936801197917,,,,,15
m-brick-kiln,knn5,accuracy,0.9319319319319319,0.913913905620575,0.9479729533195496,768,,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_base,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",2,1b9df9254cff6f38,-6,4,40,True,200,,,,,,,0.029829703271389008,0.0389564223587513,0.0867912769317627,,,,,6
m-brick-kiln,linear,accuracy,0.9679679679679679,0.9579579830169678,0.9789789915084839,768,2.5719138090593416,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_1_base,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",2,1b9df9254cff6f38,-6,4,40,True,200,,,,,,,0.01354509312659502,0.039021167904138565,0.2791706323623657,,,,,15
