dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.6254479760294327,0.6165781021118164,0.6341681480407715,128,,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano,bandspec_zscore,224,bilinear,default,rgb,19,0c97fb6c8d4e876f,-6,4,40,True,200,,,,,,,0.04463955193856045,0.059829087731869596,0.2436140418836945,,,,,6
benv2,linear,micro_mAP,0.7327016983775406,0.7249158024787903,0.7402388453483582,128,3070.2906297578375,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano,bandspec_zscore,224,bilinear,default,rgb,19,0c97fb6c8d4e876f,-6,4,40,True,200,,,,,,,0.017886946510866676,0.03396028655238057,0.34327288834672226,,,,,15
eurosat-spatial,knn5,accuracy,0.9007407407407407,0.8929583430290222,0.9087268114089966,128,,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano,bandspec_zscore,224,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",10,4e60c8a39946ffeb,-6,4,40,True,200,,,,,,,0.03440697863698006,0.04043475538492203,0.17798146605491638,,,,,6
eurosat-spatial,linear,accuracy,0.9455555555555556,0.9392592310905457,0.9520370364189148,128,88.86238162743389,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano,bandspec_zscore,224,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",10,4e60c8a39946ffeb,-6,4,40,True,200,,,,,,,0.01947948895394802,0.04033542424440384,0.6825966835021973,,,,,15
forestnet,knn5,accuracy,0.37361530715005037,0.3494461178779602,0.4038519561290741,128,,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano,bandspec_zscore,224,bilinear,default,all,12,695f9dedcd72b5f5,-6,4,40,True,200,,,,,,,0.3119852542877197,0.3308514356613159,0.4058823585510254,,,,,6
forestnet,linear,accuracy,0.5055387713997986,0.4783232510089874,0.5408358573913574,128,15.117750706156599,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano,bandspec_zscore,224,bilinear,default,all,12,695f9dedcd72b5f5,-6,4,40,True,200,,,,,,,0.04441213607788086,0.06020326539874077,0.18304920196533203,,,,,15
m-bigearthnet,knn5,micro_mAP,0.6119558442453594,0.5965060591697693,0.6288556456565857,128,,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano,bandspec_zscore,224,bilinear,default,all,43,695f9dedcd72b5f5,-6,4,40,True,200,,,,,,,0.02919999699021668,0.046448890336377675,0.25196478914382847,,,,,6
m-bigearthnet,linear,micro_mAP,0.6782889932922451,0.6644694805145264,0.6920467615127563,128,88.86238162743389,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano,bandspec_zscore,224,bilinear,default,all,43,695f9dedcd72b5f5,-6,4,40,True,200,,,,,,,0.020262827999283407,0.053731648424683615,0.4758053335339524,,,,,15
m-brick-kiln,knn5,accuracy,0.9259259259259259,0.9088838696479797,0.9399649500846863,128,,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano,bandspec_zscore,224,bilinear,default,all,2,695f9dedcd72b5f5,-6,4,40,True,200,,,,,,,0.021821705624461174,0.029429316520690918,0.06502938270568848,,,,,6
m-brick-kiln,linear,accuracy,0.953953953953954,0.939914882183075,0.9639639854431152,128,942.6684551178854,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano,bandspec_zscore,224,bilinear,default,all,2,695f9dedcd72b5f5,-6,4,40,True,200,,,,,,,0.013037452474236488,0.034741420298814774,0.18186622858047485,,,,,15
