dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.6118172717331241,0.6023462414741516,0.6204525828361511,128,,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano,bandspec_zscore,,bilinear,default,rgb,19,06612cd4067a4418,-6,4,40,True,200,,,,,,,0.04645006207896298,0.06117473459361415,0.26963604398463903,,,,,6
benv2,linear,micro_mAP,0.715815828322758,0.708132266998291,0.7238671183586121,128,289.426612471674,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano,bandspec_zscore,,bilinear,default,rgb,19,06612cd4067a4418,-6,4,40,True,200,,,,,,,0.01914775130296077,0.03470372344906393,0.3598061674519589,,,,,15
eurosat-spatial,knn5,accuracy,0.8962962962962963,0.889254629611969,0.9042731523513794,128,,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",10,590fb5575f7f9b5b,-6,4,40,True,200,,,,,,,0.03851814195513725,0.044001393020153046,0.800000011920929,,,,,6
eurosat-spatial,linear,accuracy,0.9407407407407408,0.9348101615905762,0.9477823972702026,128,49.238826317067314,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",10,590fb5575f7f9b5b,-6,4,40,True,200,,,,,,,0.01861117035150528,0.03276582434773445,0.30976858735084534,,,,,15
forestnet,knn5,accuracy,0.36555891238670696,0.33834341168403625,0.3968026340007782,128,,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano,bandspec_zscore,,bilinear,default,all,12,7e4ab60824f6701f,-6,4,40,True,200,,,,,,,0.3174233138561249,0.33297213912010193,0.44516316056251526,,,,,6
forestnet,linear,accuracy,0.5125881168177241,0.48134440183639526,0.5439074039459229,128,8.376776400682907,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano,bandspec_zscore,,bilinear,default,all,12,7e4ab60824f6701f,-6,4,40,True,200,,,,,,,0.052752502262592316,0.060917265713214874,0.10053789615631104,,,,,15
m-bigearthnet,knn5,micro_mAP,0.6084050287036519,0.5926132202148438,0.6247276663780212,128,,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano,bandspec_zscore,,bilinear,default,all,43,7e4ab60824f6701f,-6,4,40,True,200,,,,,,,0.0290279024535097,0.04539392602651618,0.23215064579664274,,,,,6
m-bigearthnet,linear,micro_mAP,0.676492456773967,0.6635327339172363,0.6913590431213379,128,49.238826317067314,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano,bandspec_zscore,,bilinear,default,all,43,7e4ab60824f6701f,-6,4,40,True,200,,,,,,,0.019008106757821733,0.04848953184866628,0.41632381185542705,,,,,15
m-brick-kiln,knn5,accuracy,0.908908908908909,0.8898398280143738,0.9229479432106018,128,,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano,bandspec_zscore,,bilinear,default,all,2,7e4ab60824f6701f,-6,4,40,True,200,,,,,,,0.03643607720732689,0.047288909554481506,0.10173273086547852,,,,,6
m-brick-kiln,linear,accuracy,0.93993993993994,0.9259008765220642,0.9519519805908203,128,15.117750706156599,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_nano,bandspec_zscore,,bilinear,default,all,2,7e4ab60824f6701f,-6,4,40,True,200,,,,,,,0.014783758670091629,0.032134704291820526,0.15008008480072021,,,,,15
