dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.6468008602037563,0.6382518410682678,0.6557998657226562,384,,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,224,bilinear,default,rgb,19,e40efafe3783e66a,-6,4,40,True,200,,,,,,,0.04417106819241062,0.0595469471361292,0.3114246333900251,,,,,6
benv2,linear,micro_mAP,0.7711812564069166,0.7645303010940552,0.7778990268707275,384,289.426612471674,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,224,bilinear,default,rgb,19,e40efafe3783e66a,-6,4,40,True,200,,,,,,,0.017446312275225,0.03275848508469368,0.2736519449635556,,,,,15
eurosat-spatial,knn5,accuracy,0.929074074074074,0.9235185384750366,0.9361157417297363,384,,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,224,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",10,7e7ac7bc7046816c,-6,4,40,True,200,,,,,,,0.016963249072432518,0.01826857402920723,0.03914839029312134,,,,,6
eurosat-spatial,linear,accuracy,0.9555555555555556,0.9499907493591309,0.9620370268821716,384,8.376776400682907,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,224,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",10,7e7ac7bc7046816c,-6,4,40,True,200,,,,,,,0.010021512396633625,0.03201929107308388,0.38284018635749817,,,,,15
forestnet,knn5,accuracy,0.3766364551863041,0.35244208574295044,0.40788015723228455,384,,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,224,bilinear,default,all,12,596bfad765a30932,-6,4,40,True,200,,,,,,,0.321451336145401,0.34610098600387573,0.5219935178756714,,,,,6
forestnet,linear,accuracy,0.5478348439073515,0.5145770907402039,0.5810674428939819,384,2.5719138090593416,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,224,bilinear,default,all,12,596bfad765a30932,-6,4,40,True,200,,,,,,,0.057615648955106735,0.07068686932325363,0.11974167823791504,,,,,15
m-bigearthnet,knn5,micro_mAP,0.5072571558199767,0.4894746243953705,0.522159993648529,384,,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,224,bilinear,default,rgb,43,e40efafe3783e66a,-6,4,40,True,200,,,,,,,0.036520946240269164,0.0527543555945158,0.291849747300148,,,,,6
m-bigearthnet,linear,micro_mAP,0.6365529132644777,0.6202412247657776,0.6538870930671692,384,522.3345074266832,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,224,bilinear,default,rgb,43,e40efafe3783e66a,-6,4,40,True,200,,,,,,,0.019381221957764653,0.050140154656282694,0.4794579006211702,,,,,15
m-brick-kiln,knn5,accuracy,0.9049049049049049,0.8858608603477478,0.9209709763526917,384,,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,224,bilinear,default,all,2,596bfad765a30932,-6,4,40,True,200,,,,,,,0.029028858989477158,0.029307983815670013,0.03333193063735962,,,,,6
m-brick-kiln,linear,accuracy,0.94994994994995,0.935935914516449,0.9600100517272949,384,15.117750706156599,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,224,bilinear,default,all,2,596bfad765a30932,-6,4,40,True,200,,,,,,,0.016065901145339012,0.0391233004629612,0.22475603222846985,,,,,15
m-eurosat,knn5,accuracy,0.879,0.8589750528335571,0.8970000147819519,384,,,,2000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,224,bilinear,default,all,10,596bfad765a30932,-6,4,40,True,200,,,,,,,0.029799863696098328,0.035189010202884674,0.20000000298023224,,,,,6
m-eurosat,linear,accuracy,0.957,0.9440000057220459,0.968999981880188,384,27.28333376486764,,,2000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,224,bilinear,default,all,10,596bfad765a30932,-6,4,40,True,200,,,,,,,0.013292062096297741,0.03296656906604767,0.2357807457447052,,,,,15
m-forestnet,knn5,accuracy,0.34843907351460224,0.3192094564437866,0.37766867876052856,384,,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,224,bilinear,default,all,12,596bfad765a30932,-6,4,40,True,200,,,,,,,0.332126259803772,0.3533255457878113,0.5034240484237671,,,,,6
m-forestnet,linear,accuracy,0.5095669687814703,0.48026183247566223,0.5377643704414368,384,2.5719138090593416,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,224,bilinear,default,all,12,596bfad765a30932,-6,4,40,True,200,,,,,,,0.04442750662565231,0.05483361333608627,0.10611903667449951,,,,,15
m-pv4ger,knn5,accuracy,0.914914914914915,0.8968968987464905,0.9339339137077332,384,,,,11814,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,224,bilinear,default,rgb,2,e40efafe3783e66a,-6,4,40,True,200,,,,,,,0.03683680668473244,0.04346157982945442,0.10526317358016968,,,,,6
m-pv4ger,linear,accuracy,0.94994994994995,0.935935914516449,0.9649900197982788,384,5541.020330009481,,,11814,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,224,bilinear,default,rgb,2,e40efafe3783e66a,-6,4,40,True,200,,,,,,,0.032390423119068146,0.06666484475135803,0.4887198805809021,,,,,15
m-so2sat,knn5,accuracy,0.4553752535496957,0.4269523322582245,0.48580121994018555,384,,,,19992,986,986,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,224,bilinear,default,"blue,green,red,red_edge_1,red_edge_2,red_edge_3,nir,red_edge_4,swir_1,swir_2",17,129c49b610582e6c,-6,4,40,True,200,,,,,,,0.22474732995033264,0.2344534993171692,0.30226418375968933,,,,,6
m-so2sat,linear,accuracy,0.6774847870182555,0.6531440019607544,0.7068965435028076,384,4.641588833612772,,,19992,986,986,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,224,bilinear,default,"blue,green,red,red_edge_1,red_edge_2,red_edge_3,nir,red_edge_4,swir_1,swir_2",17,129c49b610582e6c,-6,4,40,True,200,,,,,,,0.024419980123639107,0.04244065657258034,0.198085218667984,,,,,15
