dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.6390494126390859,0.6306419372558594,0.6490434408187866,384,,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,,bilinear,default,rgb,19,2ad357214c8187bd,-6,4,40,True,200,,,,,,,0.045321019072281685,0.059111280121693484,0.24655627106365405,,,,,6
benv2,linear,micro_mAP,0.7660977564779865,0.7590551376342773,0.7740771770477295,384,10000.0,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,,bilinear,default,rgb,19,2ad357214c8187bd,-6,4,40,True,200,,,,,,,0.01643399064318816,0.03177978828745453,0.26802557706832886,,,,,15
eurosat-spatial,knn5,accuracy,0.955925925925926,0.9501851797103882,0.961856484413147,384,,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",10,071f3eddf5a9ad5c,-6,4,40,True,200,,,,,,,0.016741055995225906,0.02766086719930172,0.14509782195091248,,,,,6
eurosat-spatial,linear,accuracy,0.9783333333333334,0.9746249914169312,0.9825925827026367,384,1.4251026703029963,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",10,071f3eddf5a9ad5c,-6,4,40,True,200,,,,,,,0.007844760082662106,0.024863677099347115,0.6279586553573608,,,,,15
forestnet,knn5,accuracy,0.39274924471299094,0.36047330498695374,0.4199395775794983,384,,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,,bilinear,default,all,12,494702b5b6bf4645,-6,4,40,True,200,,,,,,,0.30010202527046204,0.32576775550842285,0.47158870100975037,,,,,6
forestnet,linear,accuracy,0.5840886203423967,0.5508559942245483,0.6163896918296814,384,8.376776400682907,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,,bilinear,default,all,12,494702b5b6bf4645,-6,4,40,True,200,,,,,,,0.07862357050180435,0.10088098049163818,0.19066718220710754,,,,,15
m-bigearthnet,knn5,micro_mAP,0.512711760188734,0.49480950832366943,0.532115638256073,384,,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,,bilinear,default,rgb,43,2ad357214c8187bd,-6,4,40,True,200,,,,,,,0.035995373123347066,0.052421855545321173,0.26734879820845847,,,,,6
m-bigearthnet,linear,micro_mAP,0.6256909573390905,0.6086123585700989,0.6441800594329834,384,88.86238162743389,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,,bilinear,default,rgb,43,2ad357214c8187bd,-6,4,40,True,200,,,,,,,0.02087523521812156,0.052946988926377406,0.49884707497995956,,,,,15
m-brick-kiln,knn5,accuracy,0.8988988988988988,0.8798548579216003,0.9149149060249329,384,,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,,bilinear,default,all,2,494702b5b6bf4645,-6,4,40,True,200,,,,,,,0.025825591757893562,0.02583000622689724,0.02673107385635376,,,,,6
m-brick-kiln,linear,accuracy,0.938938938938939,0.9248998761177063,0.9539790153503418,384,5541.020330009481,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,,bilinear,default,all,2,494702b5b6bf4645,-6,4,40,True,200,,,,,,,0.014759204350411892,0.0267177727073431,0.11448073387145996,,,,,15
m-eurosat,knn5,accuracy,0.92,0.904949963092804,0.9360249638557434,384,,,,2000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,,bilinear,default,all,10,494702b5b6bf4645,-6,4,40,True,200,,,,,,,0.029999865218997,0.041486673057079315,0.08181881904602051,,,,,6
m-eurosat,linear,accuracy,0.968,0.9580000042915344,0.9769999980926514,384,160.37187437513276,,,2000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,,bilinear,default,all,10,494702b5b6bf4645,-6,4,40,True,200,,,,,,,0.014633584767580032,0.03626732900738716,0.5638330578804016,,,,,15
m-forestnet,knn5,accuracy,0.3756294058408862,0.3494461178779602,0.40181270241737366,384,,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,,bilinear,default,all,12,494702b5b6bf4645,-6,4,40,True,200,,,,,,,0.3115823268890381,0.3250439167022705,0.38364508748054504,,,,,6
m-forestnet,linear,accuracy,0.5186304128902316,0.4863796532154083,0.5488418936729431,384,2.5719138090593416,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,,bilinear,default,all,12,494702b5b6bf4645,-6,4,40,True,200,,,,,,,0.0452398881316185,0.05649682134389877,0.1385093331336975,,,,,15
m-pv4ger,knn5,accuracy,0.9129129129129129,0.8958458304405212,0.9309309124946594,384,,,,11814,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,,bilinear,default,rgb,2,2ad357214c8187bd,-6,4,40,True,200,,,,,,,0.04024019464850426,0.04381737485527992,0.09999972581863403,,,,,6
m-pv4ger,linear,accuracy,0.94994994994995,0.935935914516449,0.9650150537490845,384,88.86238162743389,,,11814,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,,bilinear,default,rgb,2,2ad357214c8187bd,-6,4,40,True,200,,,,,,,0.027399471029639244,0.06218734011054039,0.3113948106765747,,,,,15
m-so2sat,knn5,accuracy,0.603448275862069,0.5739858150482178,0.6308316588401794,384,,,,19992,986,986,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_small,bandspec_zscore,,bilinear,default,"blue,green,red,red_edge_1,red_edge_2,red_edge_3,nir,red_edge_4,swir_1,swir_2",17,134874f9db9fb10e,-6,4,40,True,200,,,,,,,0.12170473486185074,0.1288449615240097,0.16058391332626343,,,,,6
