dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.6115212815926233,0.6006327271461487,0.6207296848297119,192,,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_tiny,bandspec_zscore,,bilinear,default,rgb,19,d5fee88924ff4e0d,-6,4,40,True,200,,,,,,,0.046194753560580705,0.06173597119356457,0.27724630581705195,,,,,6
benv2,linear,micro_mAP,0.705535511183566,0.6969199776649475,0.713829755783081,192,3070.2906297578375,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_tiny,bandspec_zscore,,bilinear,default,rgb,19,d5fee88924ff4e0d,-6,4,40,True,200,,,,,,,0.022456622826499177,0.03634660285407383,0.2883812553788486,,,,,15
eurosat-spatial,knn5,accuracy,0.9409259259259259,0.9355370402336121,0.9479721784591675,192,,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_tiny,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",10,4ff1d8a3d9db03f6,-6,4,40,True,200,,,,,,,0.017296653240919113,0.018297620117664337,0.20000000298023224,,,,,6
eurosat-spatial,linear,accuracy,0.9664814814814815,0.9614675641059875,0.9718564748764038,192,1.4251026703029963,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_tiny,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",10,4ff1d8a3d9db03f6,-6,4,40,True,200,,,,,,,0.006914885248988867,0.015798620879650116,0.11068034172058105,,,,,15
forestnet,knn5,accuracy,0.3403826787512588,0.30707451701164246,0.36963748931884766,192,,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_tiny,bandspec_zscore,,bilinear,default,rgb,12,d5fee88924ff4e0d,-6,4,40,True,200,,,,,,,0.320041686296463,0.34414806962013245,0.4842125177383423,,,,,6
forestnet,linear,accuracy,0.46324269889224573,0.43303123116493225,0.4944612383842468,192,522.3345074266832,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_tiny,bandspec_zscore,,bilinear,default,rgb,12,d5fee88924ff4e0d,-6,4,40,True,200,,,,,,,0.059470243752002716,0.0819312259554863,0.2532736659049988,,,,,15
m-bigearthnet,knn5,micro_mAP,0.6293214703161318,0.6149160265922546,0.6457402110099792,192,,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_tiny,bandspec_zscore,,bilinear,default,all,43,55809f37fbc54fcc,-6,4,40,True,200,,,,,,,0.027460458065751335,0.04727064406629219,0.26805751926677174,,,,,6
m-bigearthnet,linear,micro_mAP,0.7187519151565894,0.7052512168884277,0.732897937297821,192,5541.020330009481,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_tiny,bandspec_zscore,,bilinear,default,all,43,55809f37fbc54fcc,-6,4,40,True,200,,,,,,,0.0182949477958298,0.04970528978074706,0.4356599055057348,,,,,15
m-brick-kiln,knn5,accuracy,0.8888888888888888,0.8708208203315735,0.9059059023857117,192,,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_tiny,bandspec_zscore,,bilinear,default,all,2,55809f37fbc54fcc,-6,4,40,True,200,,,,,,,0.03863823786377907,0.03964219242334366,0.054544687271118164,,,,,6
m-brick-kiln,linear,accuracy,0.943943943943944,0.9319319128990173,0.9569569826126099,192,160.37187437513276,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_2_tiny,bandspec_zscore,,bilinear,default,all,2,55809f37fbc54fcc,-6,4,40,True,200,,,,,,,0.014448706991970539,0.04815514758229256,0.2221624255180359,,,,,15
