dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.7108751865435545,0.7036095857620239,0.7175620794296265,768,,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_base,bandspec_zscore,224,bilinear,default,"b02,b03,b04,b08,b05,b06,b07,b8a,b11,b12,b01,b09",19,b618e363bbe38af0,-6,4,40,True,200,,,,,,,0.035844786521537525,0.048462042879117165,0.20474938224805028,,,,,6
benv2,linear,micro_mAP,0.8327995939552629,0.8277938961982727,0.8379086256027222,768,4.641588833612772,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_base,bandspec_zscore,224,bilinear,default,"b02,b03,b04,b08,b05,b06,b07,b8a,b11,b12,b01,b09",19,b618e363bbe38af0,-6,4,40,True,200,,,,,,,0.014159154084106711,0.029766154990188386,0.2210084733210112,,,,,15
m-bigearthnet,knn5,micro_mAP,0.6077231834652166,0.5932515263557434,0.6223365068435669,768,,,,20000,1000,1000,1,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_base,bandspec_zscore,224,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",43,a9f2a2c2ff1764c7,-6,4,40,True,200,,,,,,,0.029241852689707696,0.04665489263052857,0.2553507226497628,,,,,6
m-bigearthnet,linear,micro_mAP,0.726094217641373,0.7111284136772156,0.7389876246452332,768,8.376776400682907,,,20000,1000,1000,1,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_base,bandspec_zscore,224,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",43,a9f2a2c2ff1764c7,-6,4,40,True,200,,,,,,,0.018329969174120317,0.05157214567758316,0.4842552133770876,,,,,15
eurosat-spatial,knn5,accuracy,0.8711111111111111,0.8627638816833496,0.8796481490135193,768,,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_base,bandspec_zscore,224,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",10,41b4a0f30c2cb4ba,-6,4,40,True,200,,,,,,,0.04070305824279785,0.0436803475022316,0.20000000298023224,,,,,6
eurosat-spatial,linear,accuracy,0.9572222222222222,0.9520277976989746,0.962425947189331,768,15.117750706156599,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_base,bandspec_zscore,224,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",10,41b4a0f30c2cb4ba,-6,4,40,True,200,,,,,,,0.00861653033643961,0.019188057631254196,0.3703158497810364,,,,,15
m-bigearthnet,knn5,micro_mAP,0.6077231834652166,0.5897854566574097,0.6240625977516174,768,,,,20000,1000,1000,2,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_base,bandspec_zscore,224,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",43,be32175a0ed03f9e,-6,4,40,True,200,,,,,,,0.029241852689707696,0.04665489263052857,0.2553507226497628,,,,,6
m-bigearthnet,linear,micro_mAP,0.7247752895791597,0.708477795124054,0.7386074066162109,768,15.117750706156599,,,20000,1000,1000,2,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_base,bandspec_zscore,224,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",43,be32175a0ed03f9e,-6,4,40,True,200,,,,,,,0.019503286963891843,0.052744181263585425,0.4892342638137729,,,,,15
m-bigearthnet,knn5,micro_mAP,0.6077231834652166,0.5934092402458191,0.6235066652297974,768,,,,20000,1000,1000,3,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_base,bandspec_zscore,224,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",43,937de52892035b01,-6,4,40,True,200,,,,,,,0.029241852689707696,0.04665489263052857,0.2553507226497628,,,,,6
m-bigearthnet,linear,micro_mAP,0.7260638387876264,0.7119810581207275,0.7388999462127686,768,15.117750706156599,,,20000,1000,1000,3,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_base,bandspec_zscore,224,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",43,937de52892035b01,-6,4,40,True,200,,,,,,,0.019198592936316896,0.05245104336807894,0.4825045563453852,,,,,15
