dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.7295497121326529,0.7214667201042175,0.7365742325782776,1024,,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_large,bandspec_zscore,,bilinear,default,"b02,b03,b04,b08,b05,b06,b07,b8a,b11,b12,b01,b09",19,3e0fa14e7522a682,-6,4,40,True,200,,,,,,,0.03326845421504818,0.04599046530692201,0.2210691932000612,,,,,6
benv2,linear,micro_mAP,0.8508637885411958,0.8453552722930908,0.8566111922264099,1024,8.376776400682907,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_large,bandspec_zscore,,bilinear,default,"b02,b03,b04,b08,b05,b06,b07,b8a,b11,b12,b01,b09",19,3e0fa14e7522a682,-6,4,40,True,200,,,,,,,0.014388535888620504,0.0319647473332129,0.2865898742487556,,,,,15
eurosat-spatial,knn5,accuracy,0.9687037037037037,0.9642500281333923,0.9740787148475647,1024,,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_large,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",10,7e1edd78875acbe1,-6,4,40,True,200,,,,,,,0.01577797345817089,0.029100634157657623,0.0838286280632019,,,,,6
eurosat-spatial,linear,accuracy,0.9818518518518519,0.978884220123291,0.9855555295944214,1024,0.437547937507418,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_large,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",10,7e1edd78875acbe1,-6,4,40,True,200,,,,,,,0.004811169113963842,0.019208267331123352,0.3927774727344513,,,,,15
forestnet,knn5,accuracy,0.3293051359516616,0.29904329776763916,0.3575025200843811,1024,,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_large,bandspec_zscore,,bilinear,default,rgb,12,4b3bb7a22fd0498b,-6,4,40,True,200,,,,,,,0.3454192280769348,0.3731209933757782,0.4904782176017761,,,,,6
forestnet,linear,accuracy,0.446122860020141,0.41689324378967285,0.4834088683128357,1024,522.3345074266832,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_large,bandspec_zscore,,bilinear,default,rgb,12,4b3bb7a22fd0498b,-6,4,40,True,200,,,,,,,0.04361380264163017,0.06079670414328575,0.11852318048477173,,,,,15
m-bigearthnet,knn5,micro_mAP,0.651879606782887,0.6356967091560364,0.6703788042068481,1024,,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_large,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",43,7e1edd78875acbe1,-6,4,40,True,200,,,,,,,0.025902317143803418,0.04296468085674352,0.20883079444946245,,,,,6
m-bigearthnet,linear,micro_mAP,0.762720790071949,0.7504227757453918,0.7741086483001709,1024,10000.0,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_large,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",43,7e1edd78875acbe1,-6,4,40,True,200,,,,,,,0.018401207716399155,0.05065013485592465,0.4243628819321477,,,,,15
m-brick-kiln,knn5,accuracy,0.9079079079079079,0.8918668627738953,0.9229229092597961,1024,,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_large,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",2,7e1edd78875acbe1,-6,4,40,True,200,,,,,,,0.02882866933941841,0.03181252256035805,0.04827672243118286,,,,,6
m-brick-kiln,linear,accuracy,0.970970970970971,0.9609609842300415,0.9799799919128418,1024,2.5719138090593416,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_large,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",2,7e1edd78875acbe1,-6,4,40,True,200,,,,,,,0.015434217639267445,0.04938073828816414,0.48160243034362793,,,,,15
m-eurosat,knn5,accuracy,0.967,0.9549999833106995,0.9780499935150146,1024,,,,2000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_large,bandspec_zscore,,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",10,7e1edd78875acbe1,-6,4,40,True,200,,,,,,,0.028599902987480164,0.05988159030675888,0.20392131805419922,,,,,6
