dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.7038348438235179,0.6962419748306274,0.7122881412506104,192,,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_tiny,bandspec_zscore,224,bilinear,default,"b02,b03,b04,b08,b05,b06,b07,b8a,b11,b12,b01,b09",19,f202613596df1fa1,-6,4,40,True,200,,,,,,,0.036592193425780066,0.05095201407216097,0.23319026592530703,,,,,6
benv2,linear,micro_mAP,0.8076967068880118,0.8015483617782593,0.8129133582115173,192,942.6684551178854,,,20000,4000,4000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_tiny,bandspec_zscore,224,bilinear,default,"b02,b03,b04,b08,b05,b06,b07,b8a,b11,b12,b01,b09",19,f202613596df1fa1,-6,4,40,True,200,,,,,,,0.014834676507713371,0.031760378103507195,0.2836693109650361,,,,,15
eurosat-spatial,knn5,accuracy,0.855,0.8464722633361816,0.8635185360908508,192,,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_tiny,bandspec_zscore,224,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",10,f31933c67dbfe533,-6,4,40,True,200,,,,,,,0.03799929469823837,0.04401358589529991,0.800000011920929,,,,,6
eurosat-spatial,linear,accuracy,0.9390740740740741,0.933129608631134,0.9450046420097351,192,160.37187437513276,,,16200,5400,5400,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_tiny,bandspec_zscore,224,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",10,f31933c67dbfe533,-6,4,40,True,200,,,,,,,0.01886230707168579,0.03454954922199249,0.14396381378173828,,,,,15
forestnet,knn5,accuracy,0.29003021148036257,0.2627391815185547,0.3213746249675751,192,,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_tiny,bandspec_zscore,224,bilinear,default,rgb,12,95d5f3877bf1599f,-6,4,40,True,200,,,,,,,0.3691857159137726,0.3968393802642822,0.6015037298202515,,,,,6
forestnet,linear,accuracy,0.4118831822759315,0.3816465139389038,0.4431268870830536,192,49.238826317067314,,,6464,989,993,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_tiny,bandspec_zscore,224,bilinear,default,rgb,12,95d5f3877bf1599f,-6,4,40,True,200,,,,,,,0.04385647550225258,0.06192479282617569,0.20289844274520874,,,,,15
m-bigearthnet,knn5,micro_mAP,0.5888345665073778,0.5709282159805298,0.6072425842285156,192,,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_tiny,bandspec_zscore,224,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",43,f31933c67dbfe533,-6,4,40,True,200,,,,,,,0.030655808367788098,0.048123042857231096,0.2513196506472521,,,,,6
m-bigearthnet,linear,micro_mAP,0.6748860194395274,0.6618177890777588,0.6895462870597839,192,1701.2542798525858,,,20000,1000,1000,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_tiny,bandspec_zscore,224,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",43,f31933c67dbfe533,-6,4,40,True,200,,,,,,,0.01994194639413509,0.05318483987519907,0.48073191524938097,,,,,15
m-brick-kiln,knn5,accuracy,0.9039039039039038,0.8868618607521057,0.9219219088554382,192,,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_tiny,bandspec_zscore,224,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",2,f31933c67dbfe533,-6,4,40,True,200,,,,,,,0.022822996601462364,0.024847306311130524,0.05263108015060425,,,,,6
m-brick-kiln,linear,accuracy,0.9519519519519519,0.9398898482322693,0.9629629850387573,192,1701.2542798525858,,,15063,999,999,0,torchgeo_bench.models.OlmoEarthBenchModel,olmoearth_v1_tiny,bandspec_zscore,224,bilinear,default,"blue,green,red,nir,red_edge_1,red_edge_2,red_edge_3,red_edge_4,swir_1,swir_2,coastal_aerosol,water_vapour",2,f31933c67dbfe533,-6,4,40,True,200,,,,,,,0.010957106947898865,0.03420524671673775,0.3241294026374817,,,,,15
