dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-bigearthnet,knn5,micro_mAP,0.46584512407325646,0.4481980502605438,0.4826194941997528,512,,,,20000,1000,1000,0,torchgeo_bench.models.RCFBench,rcf,bandspec_zscore,224,bilinear,default,all,43,5936ab33d0bb961a,-6,4,40,True,200,,,,,,,0.04098606129111939,0.05989713100499885,0.3240185868601466,,,,,6
m-bigearthnet,linear,micro_mAP,0.6235238403802772,0.609466552734375,0.6402278542518616,512,942.6684551178854,,,20000,1000,1000,0,torchgeo_bench.models.RCFBench,rcf,bandspec_zscore,224,bilinear,default,all,43,5936ab33d0bb961a,-6,4,40,True,200,,,,,,,0.019192847986380723,0.05037424869315569,0.5176697132545848,,,,,15
m-brick-kiln,knn5,accuracy,0.8178178178178178,0.792792797088623,0.8368868827819824,512,,,,15063,999,999,0,torchgeo_bench.models.RCFBench,rcf,bandspec_zscore,224,bilinear,default,rgb,2,f2838d305861327d,-6,4,40,True,200,,,,,,,0.04604629799723625,0.051231175661087036,0.06261509656906128,,,,,6
m-brick-kiln,linear,accuracy,0.8518518518518519,0.8338338136672974,0.8708959221839905,512,522.3345074266832,,,15063,999,999,0,torchgeo_bench.models.RCFBench,rcf,bandspec_zscore,224,bilinear,default,rgb,2,f2838d305861327d,-6,4,40,True,200,,,,,,,0.06965610384941101,0.08799178153276443,0.1523810625076294,,,,,15
m-eurosat,knn5,accuracy,0.763,0.7319750189781189,0.7880499958992004,512,,,,2000,1000,1000,0,torchgeo_bench.models.RCFBench,rcf,bandspec_zscore,224,bilinear,default,all,10,5936ab33d0bb961a,-6,4,40,True,200,,,,,,,0.034600112587213516,0.03812219947576523,0.04439747333526611,,,,,6
m-eurosat,linear,accuracy,0.909,0.8899750113487244,0.9269999861717224,512,0.24244620170823258,,,2000,1000,1000,0,torchgeo_bench.models.RCFBench,rcf,bandspec_zscore,224,bilinear,default,all,10,5936ab33d0bb961a,-6,4,40,True,200,,,,,,,0.022260494530200958,0.04705938324332237,0.36044344305992126,,,,,15
m-forestnet,knn5,accuracy,0.24874118831822759,0.22356495261192322,0.2749496400356293,512,,,,6464,989,993,0,torchgeo_bench.models.RCFBench,rcf,bandspec_zscore,224,bilinear,default,all,12,5936ab33d0bb961a,-6,4,40,True,200,,,,,,,0.41248881816864014,0.4298723042011261,0.5354330539703369,,,,,6
m-forestnet,linear,accuracy,0.47633434038267874,0.4440583884716034,0.5105991959571838,512,0.04124626382901348,,,6464,989,993,0,torchgeo_bench.models.RCFBench,rcf,bandspec_zscore,224,bilinear,default,all,12,5936ab33d0bb961a,-6,4,40,True,200,,,,,,,0.029567353427410126,0.040775999426841736,0.09766899049282074,,,,,15
m-pv4ger,knn5,accuracy,0.8978978978978979,0.8808308243751526,0.9169169068336487,512,,,,11814,999,999,0,torchgeo_bench.models.RCFBench,rcf,bandspec_zscore,224,bilinear,default,all,2,5936ab33d0bb961a,-6,4,40,True,200,,,,,,,0.05325328931212425,0.06018899381160736,0.11515140533447266,,,,,6
m-pv4ger,linear,accuracy,0.9019019019019019,0.8828578591346741,0.9229229092597961,512,0.003888155180308085,,,11814,999,999,0,torchgeo_bench.models.RCFBench,rcf,bandspec_zscore,224,bilinear,default,all,2,5936ab33d0bb961a,-6,4,40,True,200,,,,,,,0.044557005167007446,0.09184658527374268,0.29917269945144653,,,,,15
m-so2sat,knn5,accuracy,0.17139959432048682,0.15207910537719727,0.19170893728733063,512,,,,19992,986,986,0,torchgeo_bench.models.RCFBench,rcf,bandspec_zscore,224,bilinear,default,rgb,17,f2838d305861327d,-6,4,40,True,200,,,,,,,0.4093315601348877,0.43373027443885803,0.6413043737411499,,,,,6
m-so2sat,linear,accuracy,0.3407707910750507,0.3133874237537384,0.3651876151561737,512,27.28333376486764,,,19992,986,986,0,torchgeo_bench.models.RCFBench,rcf,bandspec_zscore,224,bilinear,default,rgb,17,f2838d305861327d,-6,4,40,True,200,,,,,,,0.11396913230419159,0.14608536660671234,1.0,,,,,15
treesatai,knn5,micro_mAP,0.45919963747698617,0.445144385099411,0.4764983654022217,512,,,,4000,1000,2000,0,torchgeo_bench.models.RCFBench,rcf,bandspec_zscore,224,bilinear,default,all,15,5936ab33d0bb961a,-6,4,40,True,200,,,,,,,0.06561333599189917,0.08568093627691269,0.47816294034322104,,,,,6
treesatai,linear,micro_mAP,0.6434974026977737,0.6274974346160889,0.6580851674079895,512,0.003888155180308085,,,4000,1000,2000,0,torchgeo_bench.models.RCFBench,rcf,bandspec_zscore,224,bilinear,default,all,15,5936ab33d0bb961a,-6,4,40,True,200,,,,,,,0.017889436202434203,0.036781190723801656,0.3888985216617584,,,,,15
m-bigearthnet,knn5,micro_mAP,0.46543881936905884,0.44655653834342957,0.4807533025741577,512,,,,20000,1000,1000,1,torchgeo_bench.models.RCFBench,rcf,bandspec_zscore,224,bilinear,default,all,43,cf1792ef2f16e646,-6,4,40,True,200,,,,,,,0.040586058115370055,0.059304719877450965,0.32739862626375155,,,,,6
m-bigearthnet,linear,micro_mAP,0.624209609867839,0.60551917552948,0.6393513083457947,512,289.426612471674,,,20000,1000,1000,1,torchgeo_bench.models.RCFBench,rcf,bandspec_zscore,224,bilinear,default,all,43,cf1792ef2f16e646,-6,4,40,True,200,,,,,,,0.019299961659017692,0.0500119450220535,0.5098058297190555,,,,,15
m-bigearthnet,knn5,micro_mAP,0.46374444874601706,0.44492414593696594,0.47876033186912537,512,,,,20000,1000,1000,2,torchgeo_bench.models.RCFBench,rcf,bandspec_zscore,224,bilinear,default,all,43,1dbadf8811096a18,-6,4,40,True,200,,,,,,,0.04111163380967323,0.060068468974773276,0.3600950067819551,,,,,6
m-bigearthnet,linear,micro_mAP,0.6256327092398619,0.6085280179977417,0.6409494876861572,512,49.238826317067314,,,20000,1000,1000,2,torchgeo_bench.models.RCFBench,rcf,bandspec_zscore,224,bilinear,default,all,43,1dbadf8811096a18,-6,4,40,True,200,,,,,,,0.018513134030928444,0.049979201496340504,0.5046647388574689,,,,,15
m-brick-kiln,knn5,accuracy,0.8138138138138138,0.7947947978973389,0.8358608484268188,512,,,,15063,999,999,1,torchgeo_bench.models.RCFBench,rcf,bandspec_zscore,224,bilinear,default,rgb,2,bdcfea841c24694f,-6,4,40,True,200,,,,,,,0.049449726939201355,0.05253029242157936,0.06355142593383789,,,,,6
m-brick-kiln,linear,accuracy,0.8318318318318318,0.8068068027496338,0.855955958366394,512,15.117750706156599,,,15063,999,999,1,torchgeo_bench.models.RCFBench,rcf,bandspec_zscore,224,bilinear,default,rgb,2,bdcfea841c24694f,-6,4,40,True,200,,,,,,,0.05149505287408829,0.0724029541015625,0.1875622272491455,,,,,15
m-brick-kiln,knn5,accuracy,0.8138138138138138,0.7867867946624756,0.8338338136672974,512,,,,15063,999,999,2,torchgeo_bench.models.RCFBench,rcf,bandspec_zscore,224,bilinear,default,rgb,2,3b1c4646b84d8039,-6,4,40,True,200,,,,,,,0.0524526983499527,0.05532214790582657,0.06642067432403564,,,,,6
m-brick-kiln,linear,accuracy,0.8558558558558559,0.8307807445526123,0.8768768906593323,512,522.3345074266832,,,15063,999,999,2,torchgeo_bench.models.RCFBench,rcf,bandspec_zscore,224,bilinear,default,rgb,2,3b1c4646b84d8039,-6,4,40,True,200,,,,,,,0.07403366267681122,0.09709765762090683,0.18696212768554688,,,,,15
