dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-bigearthnet,knn5,micro_mAP,0.46489733298746405,0.44722598791122437,0.4825197458267212,512,,,,20000,1000,1000,0,torchgeo_bench.models.RCFBench,rcf,bandspec_zscore,,bilinear,default,all,43,f6e1a4ce42cfaa13,-6,4,40,True,200,,,,,,,0.041018617902557515,0.05963731405520162,0.314310135189877,,,,,6
m-bigearthnet,linear,micro_mAP,0.6259513931286228,0.6090872287750244,0.6450192928314209,512,88.86238162743389,,,20000,1000,1000,0,torchgeo_bench.models.RCFBench,rcf,bandspec_zscore,,bilinear,default,all,43,f6e1a4ce42cfaa13,-6,4,40,True,200,,,,,,,0.01997883994738723,0.05341012723917185,0.5852680261745009,,,,,15
m-brick-kiln,knn5,accuracy,0.8228228228228228,0.7987737655639648,0.8428678512573242,512,,,,15063,999,999,0,torchgeo_bench.models.RCFBench,rcf,bandspec_zscore,,bilinear,default,rgb,2,4a8da342c4ea8dbe,-6,4,40,True,200,,,,,,,0.044444646686315536,0.045524828135967255,0.05072462558746338,,,,,6
m-brick-kiln,linear,accuracy,0.8678678678678678,0.850825846195221,0.8868868947029114,512,10000.0,,,15063,999,999,0,torchgeo_bench.models.RCFBench,rcf,bandspec_zscore,,bilinear,default,rgb,2,4a8da342c4ea8dbe,-6,4,40,True,200,,,,,,,0.04978027194738388,0.06710265576839447,0.15685254335403442,,,,,15
m-eurosat,knn5,accuracy,0.761,0.7289749979972839,0.7861250042915344,512,,,,2000,1000,1000,0,torchgeo_bench.models.RCFBench,rcf,bandspec_zscore,,bilinear,default,all,10,f6e1a4ce42cfaa13,-6,4,40,True,200,,,,,,,0.03440013527870178,0.03703753650188446,0.043348729610443115,,,,,6
m-eurosat,linear,accuracy,0.904,0.8849999904632568,0.925000011920929,512,0.04124626382901348,,,2000,1000,1000,0,torchgeo_bench.models.RCFBench,rcf,bandspec_zscore,,bilinear,default,all,10,f6e1a4ce42cfaa13,-6,4,40,True,200,,,,,,,0.038812220096588135,0.06081971898674965,0.2525317072868347,,,,,15
m-forestnet,knn5,accuracy,0.2497482376636455,0.22356495261192322,0.2759566903114319,512,,,,6464,989,993,0,torchgeo_bench.models.RCFBench,rcf,bandspec_zscore,,bilinear,default,all,12,f6e1a4ce42cfaa13,-6,4,40,True,200,,,,,,,0.41349586844444275,0.4307868182659149,0.5461538434028625,,,,,6
m-forestnet,linear,accuracy,0.4773413897280967,0.447054386138916,0.5095669627189636,512,0.0744380301325168,,,6464,989,993,0,torchgeo_bench.models.RCFBench,rcf,bandspec_zscore,,bilinear,default,all,12,f6e1a4ce42cfaa13,-6,4,40,True,200,,,,,,,0.05069303512573242,0.0655968114733696,0.14377911388874054,,,,,15
m-pv4ger,knn5,accuracy,0.8968968968968969,0.8778528571128845,0.9169169068336487,512,,,,11814,999,999,0,torchgeo_bench.models.RCFBench,rcf,bandspec_zscore,,bilinear,default,all,2,f6e1a4ce42cfaa13,-6,4,40,True,200,,,,,,,0.05465470254421234,0.061743542551994324,0.12307688593864441,,,,,6
m-pv4ger,linear,accuracy,0.8968968968968969,0.8788037896156311,0.9179679751396179,512,0.003888155180308085,,,11814,999,999,0,torchgeo_bench.models.RCFBench,rcf,bandspec_zscore,,bilinear,default,all,2,f6e1a4ce42cfaa13,-6,4,40,True,200,,,,,,,0.048395562916994095,0.10462942719459534,0.38670802116394043,,,,,15
m-so2sat,knn5,accuracy,0.1947261663286004,0.1703600287437439,0.21810345351696014,512,,,,19992,986,986,0,torchgeo_bench.models.RCFBench,rcf,bandspec_zscore,,bilinear,default,rgb,17,4a8da342c4ea8dbe,-6,4,40,True,200,,,,,,,0.3941187560558319,0.42197588086128235,0.5934065580368042,,,,,6
m-so2sat,linear,accuracy,0.460446247464503,0.4269776940345764,0.4899340569972992,512,88.86238162743389,,,19992,986,986,0,torchgeo_bench.models.RCFBench,rcf,bandspec_zscore,,bilinear,default,rgb,17,4a8da342c4ea8dbe,-6,4,40,True,200,,,,,,,0.12463651597499847,0.134054496884346,0.2323397994041443,,,,,15
m-bigearthnet,knn5,micro_mAP,0.46608818154879045,0.44907933473587036,0.48195502161979675,512,,,,20000,1000,1000,1,torchgeo_bench.models.RCFBench,rcf,bandspec_zscore,,bilinear,default,all,43,14737fedd0c38727,-6,4,40,True,200,,,,,,,0.04089302849024534,0.06019414354895437,0.3582528308033943,,,,,6
m-bigearthnet,linear,micro_mAP,0.6262345641886112,0.6081267595291138,0.6409479379653931,512,1701.2542798525858,,,20000,1000,1000,1,torchgeo_bench.models.RCFBench,rcf,bandspec_zscore,,bilinear,default,all,43,14737fedd0c38727,-6,4,40,True,200,,,,,,,0.02029623590453073,0.05156969902820365,0.4952277887699216,,,,,15
m-brick-kiln,knn5,accuracy,0.8208208208208209,0.7977977991104126,0.84486985206604,512,,,,15063,999,999,1,torchgeo_bench.models.RCFBench,rcf,bandspec_zscore,,bilinear,default,rgb,2,6ca2d3d3b4c3c4f3,-6,4,40,True,200,,,,,,,0.04744765907526016,0.05191333219408989,0.07731276750564575,,,,,6
m-brick-kiln,linear,accuracy,0.8768768768768769,0.8548298478126526,0.8978978991508484,512,1701.2542798525858,,,15063,999,999,1,torchgeo_bench.models.RCFBench,rcf,bandspec_zscore,,bilinear,default,rgb,2,6ca2d3d3b4c3c4f3,-6,4,40,True,200,,,,,,,0.06545928120613098,0.088980533182621,0.1749413013458252,,,,,15
treesatai,knn5,micro_mAP,0.45916925695033084,0.4451361298561096,0.47581708431243896,512,,,,4000,1000,2000,0,torchgeo_bench.models.RCFBench,rcf,bandspec_zscore,,bilinear,default,all,15,f6e1a4ce42cfaa13,-6,4,40,True,200,,,,,,,0.06562667029599349,0.08591369936863581,0.48145715047915777,,,,,6
