dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-bigearthnet,knn5,micro_mAP,0.5514471806574052,0.5342485308647156,0.5662992596626282,768,,,,20000,1000,1000,1,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,224,bilinear,default,all,43,9787c67ccfeacb5c,-6,4,40,True,200,,,,,,,0.033465122890680335,0.05183086903809115,0.2811187554237454,,,,,6
m-bigearthnet,linear,micro_mAP,0.6988580648670194,0.6841496825218201,0.7148311138153076,768,8.376776400682907,,,20000,1000,1000,1,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,224,bilinear,default,all,43,9787c67ccfeacb5c,-6,4,40,True,200,,,,,,,0.01899333066458619,0.05329602653550547,0.5205096578182176,,,,,15
m-brick-kiln,knn5,accuracy,0.8668668668668669,0.8468468189239502,0.886911928653717,768,,,,15063,999,999,1,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,224,bilinear,default,all,2,9787c67ccfeacb5c,-6,4,40,True,200,,,,,,,0.024624831974506378,0.026505975052714348,0.03220611810684204,,,,,6
m-brick-kiln,linear,accuracy,0.928928928928929,0.9109109044075012,0.9459459185600281,768,15.117750706156599,,,15063,999,999,1,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,224,bilinear,default,all,2,9787c67ccfeacb5c,-6,4,40,True,200,,,,,,,0.012075215578079224,0.02230813354253769,0.06215023994445801,,,,,15
m-eurosat,knn5,accuracy,0.833,0.8080000281333923,0.8550000190734863,768,,,,2000,1000,1000,1,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,224,bilinear,default,all,10,9787c67ccfeacb5c,-6,4,40,True,200,,,,,,,0.03039969876408577,0.03270800784230232,0.20000000298023224,,,,,6
m-eurosat,linear,accuracy,0.932,0.9189250469207764,0.9460249543190002,768,88.86238162743389,,,2000,1000,1000,1,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,224,bilinear,default,all,10,9787c67ccfeacb5c,-6,4,40,True,200,,,,,,,0.03349560871720314,0.05658257007598877,0.19938379526138306,,,,,15
m-bigearthnet,knn5,micro_mAP,0.5514471806574052,0.535277783870697,0.5661777257919312,768,,,,20000,1000,1000,2,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,224,bilinear,default,all,43,ca90718161884b75,-6,4,40,True,200,,,,,,,0.033465122890680335,0.05183086903809115,0.2811187554237454,,,,,6
m-bigearthnet,linear,micro_mAP,0.6992029867366569,0.6824874877929688,0.7132293581962585,768,8.376776400682907,,,20000,1000,1000,2,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,224,bilinear,default,all,43,ca90718161884b75,-6,4,40,True,200,,,,,,,0.018391079507594884,0.05062895528105802,0.5038368365792341,,,,,15
m-brick-kiln,knn5,accuracy,0.8668668668668669,0.8448448181152344,0.8849099278450012,768,,,,15063,999,999,2,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,224,bilinear,default,all,2,ca90718161884b75,-6,4,40,True,200,,,,,,,0.024624831974506378,0.026505975052714348,0.03220611810684204,,,,,6
m-brick-kiln,linear,accuracy,0.928928928928929,0.9108858704566956,0.9439939856529236,768,15.117750706156599,,,15063,999,999,2,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,224,bilinear,default,all,2,ca90718161884b75,-6,4,40,True,200,,,,,,,0.01566336862742901,0.04069814831018448,0.15107852220535278,,,,,15
m-eurosat,knn5,accuracy,0.833,0.8069999814033508,0.8580249547958374,768,,,,2000,1000,1000,2,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,224,bilinear,default,all,10,ca90718161884b75,-6,4,40,True,200,,,,,,,0.03039969876408577,0.03270800784230232,0.20000000298023224,,,,,6
