dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-bigearthnet,knn5,micro_mAP,0.5495144848292626,0.533832848072052,0.5647241473197937,768,,,,20000,1000,1000,1,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,,bilinear,default,all,43,4584fa8fe8d382a7,-6,4,40,True,200,,,,,,,0.03397674816335703,0.052570276308891384,0.28460373469563416,,,,,6
m-bigearthnet,linear,micro_mAP,0.69926698901114,0.6847110986709595,0.7150675654411316,768,8.376776400682907,,,20000,1000,1000,1,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,,bilinear,default,all,43,4584fa8fe8d382a7,-6,4,40,True,200,,,,,,,0.01925727352499962,0.05202329080811767,0.48432814866997476,,,,,15
m-bigearthnet,knn5,micro_mAP,0.5495144848292626,0.5334790349006653,0.5637672543525696,768,,,,20000,1000,1000,2,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,,bilinear,default,all,43,7fb9d643bb6ff067,-6,4,40,True,200,,,,,,,0.03397674816335703,0.052570276308891384,0.28460373469563416,,,,,6
m-bigearthnet,linear,micro_mAP,0.698293966588482,0.682360053062439,0.7128463983535767,768,4.641588833612772,,,20000,1000,1000,2,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,,bilinear,default,all,43,7fb9d643bb6ff067,-6,4,40,True,200,,,,,,,0.01871080462669217,0.05171512834034687,0.4749927084113276,,,,,15
m-bigearthnet,knn5,micro_mAP,0.5495144848292626,0.533832848072052,0.5647241473197937,768,,,,20000,1000,1000,1,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,,bilinear,default,all,43,bb163d378f41d2eb,-6,4,40,True,200,,,,,,,0.03397674816335703,0.052570276308891384,0.28460373469563416,,,,,6
m-bigearthnet,linear,micro_mAP,0.69926698901114,0.6847110986709595,0.7150675654411316,768,8.376776400682907,,,20000,1000,1000,1,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,,bilinear,default,all,43,bb163d378f41d2eb,-6,4,40,True,200,,,,,,,0.01925727352499962,0.05202329080811767,0.48432814866997476,,,,,15
m-bigearthnet,knn5,micro_mAP,0.5495144848292626,0.5334790349006653,0.5637672543525696,768,,,,20000,1000,1000,2,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,,bilinear,default,all,43,0077be7f0ead9822,-6,4,40,True,200,,,,,,,0.03397674816335703,0.052570276308891384,0.28460373469563416,,,,,6
m-bigearthnet,linear,micro_mAP,0.698293966588482,0.682360053062439,0.7128463983535767,768,4.641588833612772,,,20000,1000,1000,2,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,,bilinear,default,all,43,0077be7f0ead9822,-6,4,40,True,200,,,,,,,0.01871080462669217,0.05171512834034687,0.4749927084113276,,,,,15
m-brick-kiln,knn5,accuracy,0.8648648648648649,0.844794750213623,0.8848848938941956,768,,,,15063,999,999,1,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,,bilinear,default,all,2,bb163d378f41d2eb,-6,4,40,True,200,,,,,,,0.025826048105955124,0.02731875516474247,0.030844151973724365,,,,,6
m-brick-kiln,linear,accuracy,0.92992992992993,0.9128878712654114,0.9459709525108337,768,15.117750706156599,,,15063,999,999,1,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,,bilinear,default,all,2,bb163d378f41d2eb,-6,4,40,True,200,,,,,,,0.010524453595280647,0.03162451460957527,0.2511582374572754,,,,,15
m-brick-kiln,knn5,accuracy,0.8648648648648649,0.8427677154541016,0.8828828930854797,768,,,,15063,999,999,2,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,,bilinear,default,all,2,0077be7f0ead9822,-6,4,40,True,200,,,,,,,0.025826048105955124,0.02731875516474247,0.030844151973724365,,,,,6
m-brick-kiln,linear,accuracy,0.9309309309309309,0.912912905216217,0.9449699521064758,768,15.117750706156599,,,15063,999,999,2,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,,bilinear,default,all,2,0077be7f0ead9822,-6,4,40,True,200,,,,,,,0.011278565973043442,0.037837620824575424,0.3199014663696289,,,,,15
m-eurosat,knn5,accuracy,0.834,0.8099750280380249,0.8550249934196472,768,,,,2000,1000,1000,1,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,,bilinear,default,all,10,bb163d378f41d2eb,-6,4,40,True,200,,,,,,,0.03099968656897545,0.03269755467772484,0.20000000298023224,,,,,6
m-eurosat,linear,accuracy,0.935,0.9210000038146973,0.9470000267028809,768,8.376776400682907,,,2000,1000,1000,1,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,,bilinear,default,all,10,bb163d378f41d2eb,-6,4,40,True,200,,,,,,,0.017961736768484116,0.04383616894483566,0.34139108657836914,,,,,15
m-eurosat,knn5,accuracy,0.834,0.8080000281333923,0.8590250015258789,768,,,,2000,1000,1000,2,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,,bilinear,default,all,10,0077be7f0ead9822,-6,4,40,True,200,,,,,,,0.03099968656897545,0.03269755467772484,0.20000000298023224,,,,,6
m-eurosat,linear,accuracy,0.932,0.9139999747276306,0.9480249881744385,768,160.37187437513276,,,2000,1000,1000,2,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,bandspec_zscore,,bilinear,default,all,10,0077be7f0ead9822,-6,4,40,True,200,,,,,,,0.039228711277246475,0.062326230108737946,0.22501155734062195,,,,,15
