dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-bigearthnet,knn5,micro_mAP,0.5699525606538656,0.5513864159584045,0.5846970081329346,768,,,,20000,1000,1000,1,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,model_native,224,bilinear,default,all,43,aa807a0e10055171,-6,4,40,True,200,,,,,,,0.032679073209332866,0.050935650850797806,0.3013387476635534,,,,,6
m-bigearthnet,linear,micro_mAP,0.7136506078446911,0.6977254152297974,0.7290276885032654,768,0.7896522868499717,,,20000,1000,1000,1,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,model_native,224,bilinear,default,all,43,aa807a0e10055171,-6,4,40,True,200,,,,,,,0.020038988051372907,0.05350477768238201,0.49932658568371174,,,,,15
m-brick-kiln,knn5,accuracy,0.8848848848848849,0.8668668866157532,0.9059059023857117,768,,,,15063,999,999,1,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,model_native,224,bilinear,default,all,2,aa807a0e10055171,-6,4,40,True,200,,,,,,,0.03283270075917244,0.033173568546772,0.037836313247680664,,,,,6
m-brick-kiln,linear,accuracy,0.934934934934935,0.9189189076423645,0.9489739537239075,768,2.5719138090593416,,,15063,999,999,1,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,model_native,224,bilinear,default,all,2,aa807a0e10055171,-6,4,40,True,200,,,,,,,0.019441111013293266,0.049114830791950226,0.28162169456481934,,,,,15
m-eurosat,knn5,accuracy,0.858,0.837975025177002,0.8799999952316284,768,,,,2000,1000,1000,1,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,model_native,224,bilinear,default,all,10,aa807a0e10055171,-6,4,40,True,200,,,,,,,0.026399636641144753,0.029427964240312576,0.04999999701976776,,,,,6
m-eurosat,linear,accuracy,0.929,0.9150000214576721,0.9420249462127686,768,1.4251026703029963,,,2000,1000,1000,1,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,model_native,224,bilinear,default,all,10,aa807a0e10055171,-6,4,40,True,200,,,,,,,0.020842354744672775,0.04381600394845009,0.196305513381958,,,,,15
m-bigearthnet,knn5,micro_mAP,0.5699525606538656,0.5546997785568237,0.5865188241004944,768,,,,20000,1000,1000,2,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,model_native,224,bilinear,default,all,43,9646d191d3ea0920,-6,4,40,True,200,,,,,,,0.032679073209332866,0.050935650850797806,0.3013387476635534,,,,,6
m-bigearthnet,linear,micro_mAP,0.7137591639434221,0.697416365146637,0.7277113795280457,768,0.7896522868499717,,,20000,1000,1000,2,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,model_native,224,bilinear,default,all,43,9646d191d3ea0920,-6,4,40,True,200,,,,,,,0.019863289748426785,0.05239037857499233,0.47543746406255766,,,,,15
m-brick-kiln,knn5,accuracy,0.8848848848848849,0.8668418526649475,0.9009259343147278,768,,,,15063,999,999,2,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,model_native,224,bilinear,default,all,2,9646d191d3ea0920,-6,4,40,True,200,,,,,,,0.03283270075917244,0.033173568546772,0.037836313247680664,,,,,6
m-brick-kiln,linear,accuracy,0.93993993993994,0.9259008765220642,0.955955982208252,768,1.4251026703029963,,,15063,999,999,2,torchgeo_bench.models.TorchGeoCromaBench,tgeo_croma_base,model_native,224,bilinear,default,all,2,9646d191d3ea0920,-6,4,40,True,200,,,,,,,0.01884385757148266,0.04036013036966324,0.15091824531555176,,,,,15
