dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-bigearthnet,knn5,micro_mAP,0.5491695985223009,0.5336560606956482,0.567336916923523,768,,,,20000,1000,1000,1,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,rgb,43,0d2bfde1f68c1245,-6,4,40,True,200,,,,,,,0.0335255769774491,0.0523582519746797,0.2924345451038937,,,,,6
m-bigearthnet,linear,micro_mAP,0.6795392180539507,0.6650242805480957,0.6942881941795349,768,0.437547937507418,,,20000,1000,1000,1,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,rgb,43,0d2bfde1f68c1245,-6,4,40,True,200,,,,,,,0.020171634073174276,0.05283101821361586,0.4742541157229002,,,,,15
m-brick-kiln,knn5,accuracy,0.9109109109109109,0.8928678631782532,0.927977979183197,768,,,,15063,999,999,1,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,all,2,f432151f2ddca8b8,-6,4,40,True,200,,,,,,,0.04844820499420166,0.051748547703027725,0.0923084020614624,,,,,6
m-brick-kiln,linear,accuracy,0.9569569569569569,0.9429178833961487,0.970020055770874,768,160.37187437513276,,,15063,999,999,1,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,all,2,f432151f2ddca8b8,-6,4,40,True,200,,,,,,,0.015186023898422718,0.048709671944379807,0.31533363461494446,,,,,15
m-eurosat,knn5,accuracy,0.921,0.9029250144958496,0.9369999766349792,768,,,,2000,1000,1000,1,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,rgb,10,0d2bfde1f68c1245,-6,4,40,True,200,,,,,,,0.05879988521337509,0.08873669058084488,0.20000000298023224,,,,,6
m-eurosat,linear,accuracy,0.96,0.9509750008583069,0.9729999899864197,768,0.437547937507418,,,2000,1000,1000,1,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,rgb,10,0d2bfde1f68c1245,-6,4,40,True,200,,,,,,,0.040600355714559555,0.06557105481624603,0.6963217258453369,,,,,15
m-bigearthnet,knn5,micro_mAP,0.5491695985223009,0.5311205387115479,0.5659775137901306,768,,,,20000,1000,1000,2,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,rgb,43,920a77aa3e8aeee7,-6,4,40,True,200,,,,,,,0.0335255769774491,0.0523582519746797,0.2924345451038937,,,,,6
m-bigearthnet,linear,micro_mAP,0.6797636552310186,0.6646543145179749,0.6927816867828369,768,0.7896522868499717,,,20000,1000,1000,2,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,rgb,43,920a77aa3e8aeee7,-6,4,40,True,200,,,,,,,0.020414481849171395,0.054723335040170094,0.501330416909484,,,,,15
m-forestnet,knn5,accuracy,0.35850956696878145,0.32824772596359253,0.39081066846847534,768,,,,6464,989,993,1,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,rgb,12,0d2bfde1f68c1245,-6,4,40,True,200,,,,,,,0.3375641107559204,0.35455816984176636,0.46065178513526917,,,,,6
m-forestnet,linear,accuracy,0.5508559919436052,0.5195619463920593,0.5961732268333435,768,0.13433993325988988,,,6464,989,993,1,torchgeo_bench.models.TorchGeoDOFABench,tgeo_dofa_base,bandspec_zscore,224,bilinear,default,rgb,12,0d2bfde1f68c1245,-6,4,40,True,200,,,,,,,0.04221053048968315,0.049624331295490265,0.19146396219730377,,,,,15
