dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.5159613231230062,0.50666344165802,0.5258830189704895,4096,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,224,bilinear,default,rgb,19,ecd49c9497baf858,-6,4,40,True,200,,,,,,,0.05372375740032447,0.06933318902003138,0.3067846592319639,,,,,6
benv2,linear,micro_mAP,0.6914093789799051,0.6830967664718628,0.6999028921127319,4096,2.5719138090593416,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,224,bilinear,default,rgb,19,ecd49c9497baf858,-6,4,40,True,200,,,,,,,0.020560795925312528,0.03339637990575284,0.23022317079410545,,,,,15
eurosat-spatial,knn5,accuracy,0.6222222222222222,0.6096203923225403,0.6379721760749817,4096,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,224,bilinear,default,all,10,c4497f4a3e907b09,-6,4,40,True,200,,,,,,,0.050477609038352966,0.06406104564666748,0.21599982678890228,,,,,6
eurosat-spatial,linear,accuracy,0.825925925925926,0.8157361149787903,0.8374074101448059,4096,4.641588833612772,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,224,bilinear,default,all,10,c4497f4a3e907b09,-6,4,40,True,200,,,,,,,0.022186940535902977,0.02984350174665451,0.08244925737380981,,,,,15
forestnet,knn5,accuracy,0.33131923464249746,0.3020896315574646,0.3585347533226013,4096,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,224,bilinear,default,rgb,12,ecd49c9497baf858,-6,4,40,True,200,,,,,,,0.3556913137435913,0.3613680601119995,0.4109235405921936,,,,,6
forestnet,linear,accuracy,0.4904330312185297,0.4602215588092804,0.5237160325050354,4096,0.7896522868499717,,,6464,989,993,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,224,bilinear,default,rgb,12,ecd49c9497baf858,-6,4,40,True,200,,,,,,,0.072016142308712,0.08093775063753128,0.16025346517562866,,,,,15
m-bigearthnet,knn5,micro_mAP,0.31900175825829197,0.3042062819004059,0.3343186676502228,4096,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,224,bilinear,default,rgb,43,ecd49c9497baf858,-6,4,40,True,200,,,,,,,0.05181398095433102,0.07019404724760112,0.3715885576120643,,,,,6
m-bigearthnet,linear,micro_mAP,0.48600814995024694,0.4690551161766052,0.5025745034217834,4096,2.5719138090593416,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,224,bilinear,default,rgb,43,ecd49c9497baf858,-6,4,40,True,200,,,,,,,0.021336575157853754,0.048846757515918375,0.5104031846966854,,,,,15
m-brick-kiln,knn5,accuracy,0.8488488488488488,0.8288288116455078,0.8678678870201111,4096,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,224,bilinear,default,rgb,2,ecd49c9497baf858,-6,4,40,True,200,,,,,,,0.048247501254081726,0.0495867021381855,0.06423300504684448,,,,,6
m-brick-kiln,linear,accuracy,0.914914914914915,0.8998748660087585,0.931956946849823,4096,4.641588833612772,,,15063,999,999,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,224,bilinear,default,rgb,2,ecd49c9497baf858,-6,4,40,True,200,,,,,,,0.01686093956232071,0.022894181311130524,0.0680396556854248,,,,,15
