dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-pv4ger,knn5,accuracy,0.9579579579579579,0.9459208846092224,0.9709709882736206,4096,,,,11814,999,999,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,,bilinear,default,rgb,2,889752b0de3b13c9,-6,4,40,True,200,,,,,,,0.02542545087635517,0.031130453571677208,0.08181792497634888,,,,,6
m-pv4ger,linear,accuracy,0.95995995995996,0.9479228854179382,0.9729980230331421,4096,2.5719138090593416,,,11814,999,999,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,,bilinear,default,rgb,2,889752b0de3b13c9,-6,4,40,True,200,,,,,,,0.01983257569372654,0.04453086107969284,0.2928575873374939,,,,,15
m-bigearthnet,knn5,micro_mAP,0.32903271316318894,0.3128505051136017,0.3438994884490967,4096,,,,20000,1000,1000,1,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,,bilinear,default,rgb,43,49c75a16b7f9fcad,-6,4,40,True,200,,,,,,,0.05169769337530746,0.07056388423539871,0.4254578511382258,,,,,6
m-bigearthnet,linear,micro_mAP,0.49425561047010336,0.4773886799812317,0.5128031373023987,4096,2.5719138090593416,,,20000,1000,1000,1,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,,bilinear,default,rgb,43,49c75a16b7f9fcad,-6,4,40,True,200,,,,,,,0.021404264148238095,0.04759886310717394,0.46268301786378374,,,,,15
m-brick-kiln,knn5,accuracy,0.8288288288288288,0.8057807683944702,0.8498998880386353,4096,,,,15063,999,999,1,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,,bilinear,default,rgb,2,49c75a16b7f9fcad,-6,4,40,True,200,,,,,,,0.028828006237745285,0.03014100342988968,0.038485944271087646,,,,,6
m-brick-kiln,linear,accuracy,0.914914914914915,0.8968718647956848,0.9319319128990173,4096,8.376776400682907,,,15063,999,999,1,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,,bilinear,default,rgb,2,49c75a16b7f9fcad,-6,4,40,True,200,,,,,,,0.01615292578935623,0.03170175105333328,0.18224194645881653,,,,,15
m-eurosat,knn5,accuracy,0.664,0.6369750499725342,0.6910249590873718,4096,,,,2000,1000,1000,1,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,,bilinear,default,rgb,10,49c75a16b7f9fcad,-6,4,40,True,200,,,,,,,0.042599067091941833,0.05133819952607155,0.12432438135147095,,,,,6
m-eurosat,linear,accuracy,0.832,0.8089750409126282,0.8560000061988831,4096,27.28333376486764,,,2000,1000,1000,1,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,,bilinear,default,rgb,10,49c75a16b7f9fcad,-6,4,40,True,200,,,,,,,0.0235732588917017,0.03882047161459923,0.25949394702911377,,,,,15
m-forestnet,knn5,accuracy,0.37059415911379656,0.3423212468624115,0.39984896779060364,4096,,,,6464,989,993,1,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,,bilinear,default,rgb,12,49c75a16b7f9fcad,-6,4,40,True,200,,,,,,,0.31822890043258667,0.3324223756790161,0.414620041847229,,,,,6
m-forestnet,linear,accuracy,0.5045317220543807,0.475276917219162,0.537789523601532,4096,0.7896522868499717,,,6464,989,993,1,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,bandspec_zscore,,bilinear,default,rgb,12,49c75a16b7f9fcad,-6,4,40,True,200,,,,,,,0.08568435907363892,0.1018391102552414,0.16893929243087769,,,,,15
