dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.4830402517179473,0.47498250007629395,0.4919750392436981,4096,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,224,bilinear,default,rgb,19,e3a570157193acc6,-6,4,40,True,200,,,,,,,0.05957906043745185,0.0759278136354528,0.322121514301551,,,,,6
benv2,linear,micro_mAP,0.6692517884461628,0.6602475643157959,0.6787994503974915,4096,1.4251026703029963,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,224,bilinear,default,rgb,19,e3a570157193acc6,-6,4,40,True,200,,,,,,,0.021210650766366405,0.032673005014657974,0.25573690176794406,,,,,15
eurosat-spatial,knn5,accuracy,0.5848148148148148,0.5712684988975525,0.5985184907913208,4096,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,224,bilinear,default,all,10,ea63e608e94cdcd8,-6,4,40,True,200,,,,,,,0.06344151496887207,0.07132083922624588,0.09347787499427795,,,,,6
eurosat-spatial,linear,accuracy,0.78,0.7697870135307312,0.7924073934555054,4096,15.117750706156599,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,224,bilinear,default,all,10,ea63e608e94cdcd8,-6,4,40,True,200,,,,,,,0.02662930078804493,0.034762684255838394,0.23491662740707397,,,,,15
forestnet,knn5,accuracy,0.3071500503524673,0.2759063243865967,0.3343403935432434,4096,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,224,bilinear,default,rgb,12,e3a570157193acc6,-6,4,40,True,200,,,,,,,0.3963756859302521,0.4105149209499359,0.5126111507415771,,,,,6
forestnet,linear,accuracy,0.473313192346425,0.4380664527416229,0.503524661064148,4096,0.7896522868499717,,,6464,989,993,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,224,bilinear,default,rgb,12,e3a570157193acc6,-6,4,40,True,200,,,,,,,0.06637662649154663,0.07781365513801575,0.1783754825592041,,,,,15
m-bigearthnet,knn5,micro_mAP,0.29423666173007124,0.2803589701652527,0.31042972207069397,4096,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,224,bilinear,default,rgb,43,e3a570157193acc6,-6,4,40,True,200,,,,,,,0.05703258990894917,0.0766148037861946,0.40924196569032445,,,,,6
m-bigearthnet,linear,micro_mAP,0.45545662636184786,0.43813955783843994,0.47515907883644104,4096,2.5719138090593416,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,224,bilinear,default,rgb,43,e3a570157193acc6,-6,4,40,True,200,,,,,,,0.02067894774467446,0.04673592789575111,0.4869516027528186,,,,,15
m-brick-kiln,knn5,accuracy,0.8058058058058059,0.7837337255477905,0.8288538455963135,4096,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,224,bilinear,default,rgb,2,e3a570157193acc6,-6,4,40,True,200,,,,,,,0.037236157804727554,0.03997885063290596,0.053291916847229004,,,,,6
m-brick-kiln,linear,accuracy,0.8698698698698699,0.8458207845687866,0.8889139294624329,4096,4.641588833612772,,,15063,999,999,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,224,bilinear,default,rgb,2,e3a570157193acc6,-6,4,40,True,200,,,,,,,0.024195386096835136,0.043141551315784454,0.150613933801651,,,,,15
