dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
m-pv4ger,knn5,accuracy,0.954954954954955,0.9439188838005066,0.9669920206069946,4096,,,,11814,999,999,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,,bilinear,default,rgb,2,1e55138730d70560,-6,4,40,True,200,,,,,,,0.02362366020679474,0.028970520943403244,0.07654374837875366,,,,,6
m-pv4ger,linear,accuracy,0.955955955955956,0.9429429173469543,0.9689689874649048,4096,8.376776400682907,,,11814,999,999,0,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,,bilinear,default,rgb,2,1e55138730d70560,-6,4,40,True,200,,,,,,,0.02186647802591324,0.0349988229572773,0.18639764189720154,,,,,15
m-bigearthnet,knn5,micro_mAP,0.29917943107573186,0.2864871025085449,0.3145328760147095,4096,,,,20000,1000,1000,1,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,,bilinear,default,rgb,43,56effb6a0d98dd0e,-6,4,40,True,200,,,,,,,0.058362820120744924,0.07621159179266108,0.4090708234282427,,,,,6
m-bigearthnet,linear,micro_mAP,0.4605778441923208,0.44197753071784973,0.47603118419647217,4096,2.5719138090593416,,,20000,1000,1000,1,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,,bilinear,default,rgb,43,56effb6a0d98dd0e,-6,4,40,True,200,,,,,,,0.02139301981430414,0.04806726833069047,0.5170922615500384,,,,,15
m-brick-kiln,knn5,accuracy,0.8098098098098098,0.782782793045044,0.8348598480224609,4096,,,,15063,999,999,1,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,,bilinear,default,rgb,2,56effb6a0d98dd0e,-6,4,40,True,200,,,,,,,0.04544404149055481,0.048591408878564835,0.06666457653045654,,,,,6
m-brick-kiln,linear,accuracy,0.8798798798798799,0.8618618845939636,0.8969219326972961,4096,4.641588833612772,,,15063,999,999,1,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,,bilinear,default,rgb,2,56effb6a0d98dd0e,-6,4,40,True,200,,,,,,,0.018425695598125458,0.02690192498266697,0.056942641735076904,,,,,15
m-eurosat,knn5,accuracy,0.644,0.6189500093460083,0.6730249524116516,4096,,,,2000,1000,1000,1,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,,bilinear,default,rgb,10,56effb6a0d98dd0e,-6,4,40,True,200,,,,,,,0.03699994832277298,0.05293165519833565,0.11712563037872314,,,,,6
m-eurosat,linear,accuracy,0.798,0.7710000276565552,0.8210249543190002,4096,8.376776400682907,,,2000,1000,1000,1,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,,bilinear,default,rgb,10,56effb6a0d98dd0e,-6,4,40,True,200,,,,,,,0.09093992412090302,0.10731948912143707,0.19226890802383423,,,,,15
m-forestnet,knn5,accuracy,0.36555891238670696,0.33632931113243103,0.3948137164115906,4096,,,,6464,989,993,1,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,,bilinear,default,rgb,12,56effb6a0d98dd0e,-6,4,40,True,200,,,,,,,0.332126259803772,0.3528056740760803,0.4893224835395813,,,,,6
m-forestnet,linear,accuracy,0.49345417925478346,0.4601711928844452,0.5297079682350159,4096,0.437547937507418,,,6464,989,993,1,torchgeo_bench.models.TorchGeoEarthLocBench,tgeo_earthloc_s2_resnet50,model_native,,bilinear,default,rgb,12,56effb6a0d98dd0e,-6,4,40,True,200,,,,,,,0.08469843119382858,0.09468531608581543,0.20812129974365234,,,,,15
