dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.7161300760327334,0.708989679813385,0.7235939502716064,768,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoPanopticonBench,tgeo_panopticon,bandspec_zscore,,bilinear,default,rgb,19,1465bffac6cb0343,-6,4,40,True,200,,,,,,,0.0362553735582256,0.04950310735914268,0.1819964239471837,,,,,6
benv2,linear,micro_mAP,0.8288790195558522,0.823093593120575,0.8345651030540466,768,0.007017038286703823,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoPanopticonBench,tgeo_panopticon,bandspec_zscore,,bilinear,default,rgb,19,1465bffac6cb0343,-6,4,40,True,200,,,,,,,0.01397953069719829,0.029764989023341945,0.2323690464622096,,,,,15
eurosat-spatial,knn5,accuracy,0.9075925925925926,0.8992453813552856,0.9142731428146362,768,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoPanopticonBench,tgeo_panopticon,bandspec_zscore,,bilinear,default,rgb,10,1465bffac6cb0343,-6,4,40,True,200,,,,,,,0.02192557230591774,0.024826858192682266,0.20000000298023224,,,,,6
eurosat-spatial,linear,accuracy,0.9483333333333334,0.9412777423858643,0.9542639255523682,768,0.022854638641349883,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoPanopticonBench,tgeo_panopticon,bandspec_zscore,,bilinear,default,rgb,10,1465bffac6cb0343,-6,4,40,True,200,,,,,,,0.0070349546149373055,0.020100805908441544,0.11035376787185669,,,,,15
forestnet,knn5,accuracy,0.4380664652567976,0.40881165862083435,0.46427494287490845,768,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoPanopticonBench,tgeo_panopticon,bandspec_zscore,,bilinear,default,all,12,097a97ffaae85c4d,-6,4,40,True,200,,,,,,,0.2765369713306427,0.28555241227149963,0.35743454098701477,,,,,6
forestnet,linear,accuracy,0.5589123867069486,0.5306394696235657,0.589148998260498,768,0.002154434690031882,,,6464,989,993,0,torchgeo_bench.models.TorchGeoPanopticonBench,tgeo_panopticon,bandspec_zscore,,bilinear,default,all,12,097a97ffaae85c4d,-6,4,40,True,200,,,,,,,0.04633669555187225,0.055551014840602875,0.10652551054954529,,,,,15
m-bigearthnet,knn5,micro_mAP,0.6361249398476745,0.6193201541900635,0.6517727971076965,768,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoPanopticonBench,tgeo_panopticon,bandspec_zscore,,bilinear,default,rgb,43,1465bffac6cb0343,-6,4,40,True,200,,,,,,,0.027386043588955734,0.045118016125850896,0.234967335712078,,,,,6
m-bigearthnet,linear,micro_mAP,0.7149043625179251,0.701785147190094,0.7299143075942993,768,0.007017038286703823,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoPanopticonBench,tgeo_panopticon,bandspec_zscore,,bilinear,default,rgb,43,1465bffac6cb0343,-6,4,40,True,200,,,,,,,0.018458454328220943,0.05097496474898139,0.43850773572921753,,,,,15
m-brick-kiln,knn5,accuracy,0.9179179179179179,0.9028778672218323,0.9329329133033752,768,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoPanopticonBench,tgeo_panopticon,bandspec_zscore,,bilinear,default,all,2,097a97ffaae85c4d,-6,4,40,True,200,,,,,,,0.02742728218436241,0.03732727840542793,0.09230846166610718,,,,,6
m-brick-kiln,linear,accuracy,0.958958958958959,0.946946918964386,0.9699699878692627,768,0.0744380301325168,,,15063,999,999,0,torchgeo_bench.models.TorchGeoPanopticonBench,tgeo_panopticon,bandspec_zscore,,bilinear,default,all,2,097a97ffaae85c4d,-6,4,40,True,200,,,,,,,0.011559344828128815,0.026646777987480164,0.1108090877532959,,,,,15
m-eurosat,knn5,accuracy,0.948,0.9330000281333923,0.9629999995231628,768,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoPanopticonBench,tgeo_panopticon,bandspec_zscore,,bilinear,default,all,10,097a97ffaae85c4d,-6,4,40,True,200,,,,,,,0.04639989510178566,0.08274849504232407,0.3999999463558197,,,,,6
m-eurosat,linear,accuracy,0.962,0.9489750266075134,0.9739999771118164,768,0.7896522868499717,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoPanopticonBench,tgeo_panopticon,bandspec_zscore,,bilinear,default,all,10,097a97ffaae85c4d,-6,4,40,True,200,,,,,,,0.01706705614924431,0.04922210052609444,0.5578933358192444,,,,,15
m-forestnet,knn5,accuracy,0.391742195367573,0.366540789604187,0.4199647605419159,768,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoPanopticonBench,tgeo_panopticon,bandspec_zscore,,bilinear,default,rgb,12,1465bffac6cb0343,-6,4,40,True,200,,,,,,,0.3148048222064972,0.3200155794620514,0.3590570390224457,,,,,6
m-forestnet,linear,accuracy,0.5498489425981873,0.5206193327903748,0.5801107883453369,768,0.0011937766417144358,,,6464,989,993,0,torchgeo_bench.models.TorchGeoPanopticonBench,tgeo_panopticon,bandspec_zscore,,bilinear,default,rgb,12,1465bffac6cb0343,-6,4,40,True,200,,,,,,,0.04535219445824623,0.054712604731321335,0.09802103042602539,,,,,15
m-pv4ger,knn5,accuracy,0.9579579579579579,0.9449449181556702,0.9709960222244263,768,,,,11814,999,999,0,torchgeo_bench.models.TorchGeoPanopticonBench,tgeo_panopticon,bandspec_zscore,,bilinear,default,rgb,2,1465bffac6cb0343,-6,4,40,True,200,,,,,,,0.01621619239449501,0.020702263340353966,0.08484870195388794,,,,,6
m-pv4ger,linear,accuracy,0.964964964964965,0.9529279470443726,0.9769769906997681,768,0.003888155180308085,,,11814,999,999,0,torchgeo_bench.models.TorchGeoPanopticonBench,tgeo_panopticon,bandspec_zscore,,bilinear,default,rgb,2,1465bffac6cb0343,-6,4,40,True,200,,,,,,,0.017209026962518692,0.040097542107105255,0.24359005689620972,,,,,15
m-so2sat,knn5,accuracy,0.5101419878296146,0.479716032743454,0.5385648608207703,768,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoPanopticonBench,tgeo_panopticon,bandspec_zscore,,bilinear,default,rgb,17,1465bffac6cb0343,-6,4,40,True,200,,,,,,,0.18681642413139343,0.19554750621318817,0.25249040126800537,,,,,6
m-so2sat,linear,accuracy,0.691683569979716,0.6602180600166321,0.7190922498703003,768,0.002154434690031882,,,19992,986,986,0,torchgeo_bench.models.TorchGeoPanopticonBench,tgeo_panopticon,bandspec_zscore,,bilinear,default,rgb,17,1465bffac6cb0343,-6,4,40,True,200,,,,,,,0.04933314770460129,0.060753483325242996,0.1365632265806198,,,,,15
so2sat,knn5,accuracy,0.5101419878296146,0.4806795120239258,0.5456896424293518,768,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoPanopticonBench,tgeo_panopticon,bandspec_zscore,,bilinear,default,rgb,17,1465bffac6cb0343,-6,4,40,True,200,,,,,,,0.18681642413139343,0.19554750621318817,0.25249040126800537,,,,,6
so2sat,linear,accuracy,0.6926977687626775,0.6642748713493347,0.7211206555366516,768,0.002154434690031882,,,19992,986,986,0,torchgeo_bench.models.TorchGeoPanopticonBench,tgeo_panopticon,bandspec_zscore,,bilinear,default,rgb,17,1465bffac6cb0343,-6,4,40,True,200,,,,,,,0.05026985704898834,0.06041952595114708,0.13705040514469147,,,,,15
treesatai,knn5,micro_mAP,0.4630788482692832,0.4468535780906677,0.47986945509910583,768,,,,4000,1000,2000,0,torchgeo_bench.models.TorchGeoPanopticonBench,tgeo_panopticon,bandspec_zscore,,bilinear,default,rgb,15,1465bffac6cb0343,-6,4,40,True,200,,,,,,,0.06239334518710772,0.0800759551425775,0.3450752794742584,,,,,6
treesatai,linear,micro_mAP,0.6305736658769544,0.6156574487686157,0.6433822512626648,768,0.007017038286703823,,,4000,1000,2000,0,torchgeo_bench.models.TorchGeoPanopticonBench,tgeo_panopticon,bandspec_zscore,,bilinear,default,rgb,15,1465bffac6cb0343,-6,4,40,True,200,,,,,,,0.02227128545055166,0.03595053625758737,0.2896559417247772,,,,,15
m-bigearthnet,knn5,micro_mAP,0.6361249398476745,0.6191051006317139,0.6505786180496216,768,,,,20000,1000,1000,1,torchgeo_bench.models.TorchGeoPanopticonBench,tgeo_panopticon,bandspec_zscore,,bilinear,default,rgb,43,edf634740b9a9864,-6,4,40,True,200,,,,,,,0.027386043588955734,0.04511801584428826,0.234967335712078,,,,,6
m-bigearthnet,linear,micro_mAP,0.7148630534537539,0.7017187476158142,0.7275814414024353,768,0.007017038286703823,,,20000,1000,1000,1,torchgeo_bench.models.TorchGeoPanopticonBench,tgeo_panopticon,bandspec_zscore,,bilinear,default,rgb,43,edf634740b9a9864,-6,4,40,True,200,,,,,,,0.018348704417084537,0.05041603709376136,0.43494773118994956,,,,,15
m-bigearthnet,knn5,micro_mAP,0.6361249398476745,0.6209990978240967,0.6535506248474121,768,,,,20000,1000,1000,2,torchgeo_bench.models.TorchGeoPanopticonBench,tgeo_panopticon,bandspec_zscore,,bilinear,default,rgb,43,a8a9782bd1dbb256,-6,4,40,True,200,,,,,,,0.027386043588955734,0.04511801584428826,0.234967335712078,,,,,6
m-bigearthnet,linear,micro_mAP,0.7148640885060035,0.7000892162322998,0.7275975942611694,768,0.007017038286703823,,,20000,1000,1000,2,torchgeo_bench.models.TorchGeoPanopticonBench,tgeo_panopticon,bandspec_zscore,,bilinear,default,rgb,43,a8a9782bd1dbb256,-6,4,40,True,200,,,,,,,0.018420280368868693,0.05120881005775097,0.4393109644568244,,,,,15
