dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.5020278668451382,0.4928399920463562,0.5119200348854065,2048,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,19,bb60bebea2ac5f8b,-6,4,40,True,200,,,,,,,0.060992113694450574,0.07950121051582851,0.38784708710093246,,,,,6
benv2,linear,micro_mAP,0.6471541258257131,0.6370466947555542,0.6567288041114807,2048,0.012663801734674022,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,19,bb60bebea2ac5f8b,-6,4,40,True,200,,,,,,,0.020727591919957808,0.03581922109189786,0.41602077452759995,,,,,15
eurosat-spatial,knn5,accuracy,0.5207407407407407,0.50813889503479,0.5340971946716309,2048,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,10,bb60bebea2ac5f8b,-6,4,40,True,200,,,,,,,0.20321759581565857,0.21316538751125336,0.29999178647994995,,,,,6
eurosat-spatial,linear,accuracy,0.6998148148148148,0.6856944561004639,0.7094491124153137,2048,0.24244620170823258,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,10,bb60bebea2ac5f8b,-6,4,40,True,200,,,,,,,0.11170313507318497,0.1142880842089653,0.24560824036598206,,,,,15
forestnet,knn5,accuracy,0.24370594159113795,0.21749748289585114,0.2709214687347412,2048,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,12,bb60bebea2ac5f8b,-6,4,40,True,200,,,,,,,0.38892415165901184,0.4298723340034485,0.7209302186965942,,,,,6
forestnet,linear,accuracy,0.3544813695871098,0.3242195248603821,0.39081066846847534,2048,0.0006614740641230146,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,12,bb60bebea2ac5f8b,-6,4,40,True,200,,,,,,,0.03337028622627258,0.057039324194192886,0.3522779643535614,,,,,15
m-bigearthnet,knn5,micro_mAP,0.3096681700528456,0.2941280007362366,0.3281586468219757,2048,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,43,bb60bebea2ac5f8b,-6,4,40,True,200,,,,,,,0.05594885944886956,0.07616785021368848,0.40816137194633484,,,,,6
m-bigearthnet,linear,micro_mAP,0.45694352602458516,0.439138799905777,0.47782424092292786,2048,0.012663801734674022,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,43,bb60bebea2ac5f8b,-6,4,40,True,200,,,,,,,0.019948659583839567,0.04899447043101455,0.5578879107569539,,,,,15
m-brick-kiln,knn5,accuracy,0.8718718718718719,0.8518268465995789,0.8889139294624329,2048,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,2,bb60bebea2ac5f8b,-6,4,40,True,200,,,,,,,0.02422373928129673,0.02713034860789776,0.031595587730407715,,,,,6
m-brick-kiln,linear,accuracy,0.8988988988988988,0.8828828930854797,0.9169419407844543,2048,0.012663801734674022,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,bandspec_zscore,224,bilinear,default,rgb,2,bb60bebea2ac5f8b,-6,4,40,True,200,,,,,,,0.01765448972582817,0.034515757113695145,0.19709783792495728,,,,,15
