dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.4713144193938853,0.4627683460712433,0.48133426904678345,2048,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,model_native,224,bilinear,default,rgb,19,1bfa94bb2012722f,-6,4,40,True,200,,,,,,,0.06557899446373708,0.08626697418328963,0.40818575926517187,,,,,6
benv2,linear,micro_mAP,0.5860162525930325,0.577488362789154,0.597209632396698,2048,942.6684551178854,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,model_native,224,bilinear,default,rgb,19,1bfa94bb2012722f,-6,4,40,True,200,,,,,,,0.025626397115717594,0.044449874641079655,0.4705496014733064,,,,,15
eurosat-spatial,knn5,accuracy,0.5792592592592593,0.5634999871253967,0.5935184955596924,2048,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,model_native,224,bilinear,default,rgb,10,1bfa94bb2012722f,-6,4,40,True,200,,,,,,,0.1511068195104599,0.15910077095031738,0.28484857082366943,,,,,6
eurosat-spatial,linear,accuracy,0.6796296296296296,0.6681389212608337,0.6900138854980469,2048,4.641588833612772,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,model_native,224,bilinear,default,rgb,10,1bfa94bb2012722f,-6,4,40,True,200,,,,,,,0.07237878441810608,0.0788780078291893,0.13831844925880432,,,,,15
forestnet,knn5,accuracy,0.24269889224572003,0.2144259810447693,0.26588621735572815,2048,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,model_native,224,bilinear,default,rgb,12,1bfa94bb2012722f,-6,4,40,True,200,,,,,,,0.3818747401237488,0.4112783670425415,0.5909091234207153,,,,,6
forestnet,linear,accuracy,0.337361530715005,0.3101460039615631,0.36858007311820984,2048,15.117750706156599,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,model_native,224,bilinear,default,rgb,12,1bfa94bb2012722f,-6,4,40,True,200,,,,,,,0.024951834231615067,0.05252471938729286,0.35761499404907227,,,,,15
m-bigearthnet,knn5,micro_mAP,0.286798622396894,0.27180713415145874,0.30157753825187683,2048,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,model_native,224,bilinear,default,rgb,43,1bfa94bb2012722f,-6,4,40,True,200,,,,,,,0.05931165119156588,0.08054970486392808,0.5123507581477942,,,,,6
m-bigearthnet,linear,micro_mAP,0.3713605549275747,0.35031986236572266,0.3933488428592682,2048,160.37187437513276,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,model_native,224,bilinear,default,rgb,43,1bfa94bb2012722f,-6,4,40,True,200,,,,,,,0.02107420797611392,0.04817880126972531,0.5740856292635895,,,,,15
m-brick-kiln,knn5,accuracy,0.8398398398398398,0.8198198080062866,0.8618618845939636,2048,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,model_native,224,bilinear,default,rgb,2,1bfa94bb2012722f,-6,4,40,True,200,,,,,,,0.06826896220445633,0.07050058990716934,0.10244005918502808,,,,,6
m-brick-kiln,linear,accuracy,0.8288288288288288,0.807782769203186,0.8518769145011902,2048,5541.020330009481,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,model_native,224,bilinear,default,rgb,2,1bfa94bb2012722f,-6,4,40,True,200,,,,,,,0.02901403047144413,0.03789522871375084,0.084317147731781,,,,,15
m-eurosat,knn5,accuracy,0.532,0.503000020980835,0.5620249509811401,2048,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,model_native,224,bilinear,default,all,10,859e40ce1d6e49ae,-6,4,40,True,200,,,,,,,0.08780039101839066,0.09164143353700638,0.14586549997329712,,,,,6
m-eurosat,linear,accuracy,0.697,0.6719750165939331,0.7240249514579773,2048,3070.2906297578375,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,model_native,224,bilinear,default,all,10,859e40ce1d6e49ae,-6,4,40,True,200,,,,,,,0.03197963908314705,0.0429665744304657,0.09391367435455322,,,,,15
m-forestnet,knn5,accuracy,0.24169184290030213,0.2154833823442459,0.2719285190105438,2048,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,model_native,224,bilinear,default,rgb,12,1bfa94bb2012722f,-6,4,40,True,200,,,,,,,0.39456355571746826,0.42075619101524353,0.5723900198936462,,,,,6
m-forestnet,linear,accuracy,0.3323262839879154,0.3030714988708496,0.3635448217391968,2048,0.0006614740641230146,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,model_native,224,bilinear,default,rgb,12,1bfa94bb2012722f,-6,4,40,True,200,,,,,,,0.033003464341163635,0.051192138344049454,0.2302231788635254,,,,,15
m-pv4ger,knn5,accuracy,0.8698698698698699,0.8497747182846069,0.8939689993858337,2048,,,,11814,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,model_native,224,bilinear,default,rgb,2,1bfa94bb2012722f,-6,4,40,True,200,,,,,,,0.06626635044813156,0.07361532002687454,0.1435123085975647,,,,,6
m-pv4ger,linear,accuracy,0.8958958958958959,0.8768518567085266,0.9169169068336487,2048,0.012663801734674022,,,11814,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,model_native,224,bilinear,default,rgb,2,1bfa94bb2012722f,-6,4,40,True,200,,,,,,,0.03513983264565468,0.05620891600847244,0.25755420327186584,,,,,15
m-so2sat,knn5,accuracy,0.23935091277890466,0.21298174560070038,0.2636916935443878,2048,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,model_native,224,bilinear,default,rgb,17,1bfa94bb2012722f,-6,4,40,True,200,,,,,,,0.27606454491615295,0.3032982647418976,0.4972480833530426,,,,,6
m-so2sat,linear,accuracy,0.32961460446247465,0.3032454252243042,0.35702332854270935,2048,27.28333376486764,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,model_native,224,bilinear,default,rgb,17,1bfa94bb2012722f,-6,4,40,True,200,,,,,,,0.12319939583539963,0.143026202917099,0.4259774386882782,,,,,15
so2sat,knn5,accuracy,0.23935091277890466,0.21095333993434906,0.2677991986274719,2048,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,model_native,224,bilinear,default,rgb,17,1bfa94bb2012722f,-6,4,40,True,200,,,,,,,0.27606454491615295,0.3032982647418976,0.4972480833530426,,,,,6
so2sat,linear,accuracy,0.3367139959432049,0.3052484691143036,0.3681795299053192,2048,0.0011937766417144358,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,model_native,224,bilinear,default,rgb,17,1bfa94bb2012722f,-6,4,40,True,200,,,,,,,0.05927642434835434,0.06929505616426468,0.2681276798248291,,,,,15
treesatai,knn5,micro_mAP,0.28444501697456814,0.2697243094444275,0.29869014024734497,2048,,,,4000,1000,2000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,model_native,224,bilinear,default,rgb,15,1bfa94bb2012722f,-6,4,40,True,200,,,,,,,0.08355997546265523,0.10868135591348012,0.5017161120971044,,,,,6
treesatai,linear,micro_mAP,0.43391062042526557,0.41657453775405884,0.44950446486473083,2048,4.641588833612772,,,4000,1000,2000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,model_native,224,bilinear,default,rgb,15,1bfa94bb2012722f,-6,4,40,True,200,,,,,,,0.03812933965042854,0.05128129146372278,0.39093311230341593,,,,,15
