dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.45807204855604566,0.4492133557796478,0.46680107712745667,2048,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,model_native,,bilinear,default,rgb,19,c12691c2ee7ae96d,-6,4,40,True,200,,,,,,,0.06688158853763812,0.08900969754904509,0.44261572549217626,,,,,6
benv2,linear,micro_mAP,0.5717439347380878,0.5627029538154602,0.5820474624633789,2048,0.04124626382901348,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,model_native,,bilinear,default,rgb,19,c12691c2ee7ae96d,-6,4,40,True,200,,,,,,,0.02547031082212925,0.04444549531724892,0.5655321894507659,,,,,15
eurosat-spatial,knn5,accuracy,0.5622222222222222,0.5479583144187927,0.5752037167549133,2048,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,model_native,,bilinear,default,rgb,10,c12691c2ee7ae96d,-6,4,40,True,200,,,,,,,0.16262587904930115,0.16978342831134796,0.23571538925170898,,,,,6
eurosat-spatial,linear,accuracy,0.6696296296296296,0.6572175621986389,0.681509256362915,2048,0.012663801734674022,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,model_native,,bilinear,default,rgb,10,c12691c2ee7ae96d,-6,4,40,True,200,,,,,,,0.04215286672115326,0.05121825635433197,0.19553755223751068,,,,,15
forestnet,knn5,accuracy,0.2457200402819738,0.22150050103664398,0.2759566903114319,2048,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,model_native,,bilinear,default,rgb,12,c12691c2ee7ae96d,-6,4,40,True,200,,,,,,,0.4050368070602417,0.426609069108963,0.5517503023147583,,,,,6
forestnet,linear,accuracy,0.34441087613293053,0.3191591203212738,0.37769386172294617,2048,0.0006614740641230146,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,model_native,,bilinear,default,rgb,12,c12691c2ee7ae96d,-6,4,40,True,200,,,,,,,0.04505828395485878,0.06473613530397415,0.8656004667282104,,,,,15
m-bigearthnet,knn5,micro_mAP,0.264165335912123,0.25075066089630127,0.27935120463371277,2048,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,model_native,,bilinear,default,rgb,43,c12691c2ee7ae96d,-6,4,40,True,200,,,,,,,0.06373954027198082,0.08466537881555945,0.5058333319286967,,,,,6
m-bigearthnet,linear,micro_mAP,0.34455983328038625,0.3272985816001892,0.36335086822509766,2048,942.6684551178854,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,model_native,,bilinear,default,rgb,43,c12691c2ee7ae96d,-6,4,40,True,200,,,,,,,0.022798174526542425,0.05570189966711887,0.7369989156723022,,,,,15
m-brick-kiln,knn5,accuracy,0.7887887887887888,0.7637637853622437,0.811836838722229,2048,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,model_native,,bilinear,default,rgb,2,c12691c2ee7ae96d,-6,4,40,True,200,,,,,,,0.07127159833908081,0.07170306891202927,0.07827788591384888,,,,,6
m-brick-kiln,linear,accuracy,0.8188188188188188,0.796771764755249,0.8429179191589355,2048,0.0011937766417144358,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_mi,model_native,,bilinear,default,rgb,2,c12691c2ee7ae96d,-6,4,40,True,200,,,,,,,0.049127548933029175,0.056691281497478485,0.09891277551651001,,,,,15
