dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.5717104940129275,0.5626513361930847,0.5796367526054382,2048,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,19,6331e9644e1a10ab,-6,4,40,True,200,,,,,,,0.051615847550381566,0.06856980179681589,0.2873253414505406,,,,,6
benv2,linear,micro_mAP,0.7192594520670371,0.7109853029251099,0.7267372608184814,2048,0.007017038286703823,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,19,6331e9644e1a10ab,-6,4,40,True,200,,,,,,,0.019270567100887235,0.03274622363479514,0.23787955626061089,,,,,15
eurosat-spatial,knn5,accuracy,0.7238888888888889,0.7122129797935486,0.7364861369132996,2048,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,10,6331e9644e1a10ab,-6,4,40,True,200,,,,,,,0.0955905020236969,0.09611381590366364,0.29999998211860657,,,,,6
eurosat-spatial,linear,accuracy,0.8327777777777777,0.8225879669189453,0.8418703675270081,2048,0.24244620170823258,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,10,6331e9644e1a10ab,-6,4,40,True,200,,,,,,,0.07248715311288834,0.07971521466970444,0.15335622429847717,,,,,15
forestnet,knn5,accuracy,0.2980866062437059,0.2718781530857086,0.32943102717399597,2048,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,12,6331e9644e1a10ab,-6,4,40,True,200,,,,,,,0.36858147382736206,0.3944893181324005,0.5,,,,,6
forestnet,linear,accuracy,0.42900302114803623,0.3987411856651306,0.4692849814891815,2048,0.012663801734674022,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,12,6331e9644e1a10ab,-6,4,40,True,200,,,,,,,0.07960144430398941,0.08940860629081726,0.17265094816684723,,,,,15
m-bigearthnet,knn5,micro_mAP,0.3657952732244004,0.35084760189056396,0.3850249946117401,2048,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,43,6331e9644e1a10ab,-6,4,40,True,200,,,,,,,0.05206979438662529,0.07215488927308904,0.4079178753633832,,,,,6
m-bigearthnet,linear,micro_mAP,0.5215776646574822,0.5018078684806824,0.54115891456604,2048,0.012663801734674022,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,43,6331e9644e1a10ab,-6,4,40,True,200,,,,,,,0.021073780531540166,0.04787593146482872,0.4705815381088922,,,,,15
m-brick-kiln,knn5,accuracy,0.8188188188188188,0.796771764755249,0.84486985206604,2048,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,2,6331e9644e1a10ab,-6,4,40,True,200,,,,,,,0.026226771995425224,0.03108854964375496,0.04106777906417847,,,,,6
m-brick-kiln,linear,accuracy,0.8868868868868869,0.8678678870201111,0.905955970287323,2048,0.022854638641349883,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,2,6331e9644e1a10ab,-6,4,40,True,200,,,,,,,0.026748772710561752,0.03773663938045502,0.11444318294525146,,,,,15
m-eurosat,knn5,accuracy,0.741,0.7089750170707703,0.7680249810218811,2048,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,all,10,765ba4f5af969fbd,-6,4,40,True,200,,,,,,,0.03740023821592331,0.04448652267456055,0.20000000298023224,,,,,6
m-eurosat,linear,accuracy,0.859,0.8339750170707703,0.8790000081062317,2048,0.0744380301325168,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,all,10,765ba4f5af969fbd,-6,4,40,True,200,,,,,,,0.02616368979215622,0.04195934161543846,0.19606946408748627,,,,,15
m-forestnet,knn5,accuracy,0.32124874118831825,0.28997984528541565,0.3545568883419037,2048,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_si,bandspec_zscore,224,bilinear,default,rgb,12,6331e9644e1a10ab,-6,4,40,True,200,,,,,,,0.342398077249527,0.3682630956172943,0.5000020265579224,,,,,6
