dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.4612664456101417,0.45020246505737305,0.4700464606285095,2048,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_si,model_native,,bilinear,default,rgb,19,6590b50660669e11,-6,4,40,True,200,,,,,,,0.068510668438026,0.09016584320680092,0.379347991786505,,,,,6
benv2,linear,micro_mAP,0.5991254880257959,0.5892459154129028,0.6097024083137512,2048,0.0011937766417144358,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_si,model_native,,bilinear,default,rgb,19,6590b50660669e11,-6,4,40,True,200,,,,,,,0.023179156852788048,0.038906206621935495,0.3906727401833785,,,,,15
eurosat-spatial,knn5,accuracy,0.452037037037037,0.4355323910713196,0.46428242325782776,2048,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_si,model_native,,bilinear,default,rgb,10,6590b50660669e11,-6,4,40,True,200,,,,,,,0.22884944081306458,0.24465177953243256,0.37019050121307373,,,,,6
eurosat-spatial,linear,accuracy,0.6266666666666667,0.612407386302948,0.6385324001312256,2048,15.117750706156599,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_si,model_native,,bilinear,default,rgb,10,6590b50660669e11,-6,4,40,True,200,,,,,,,0.07626199722290039,0.08408982306718826,0.19656072556972504,,,,,15
forestnet,knn5,accuracy,0.2527693856998993,0.22756797075271606,0.27998489141464233,2048,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_si,model_native,,bilinear,default,rgb,12,6590b50660669e11,-6,4,40,True,200,,,,,,,0.3959733843803406,0.4366852641105652,0.5773196220397949,,,,,6
forestnet,linear,accuracy,0.3635448136958711,0.3352970778942108,0.39282476902008057,2048,88.86238162743389,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_si,model_native,,bilinear,default,rgb,12,6590b50660669e11,-6,4,40,True,200,,,,,,,0.02806444838643074,0.07443288713693619,0.6029517650604248,,,,,15
m-bigearthnet,knn5,micro_mAP,0.2700849299405664,0.2564620077610016,0.28512170910835266,2048,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_si,model_native,,bilinear,default,rgb,43,6590b50660669e11,-6,4,40,True,200,,,,,,,0.060920929449588754,0.08115757425683875,0.4080106817012609,,,,,6
m-bigearthnet,linear,micro_mAP,0.3991638744476682,0.3825668692588806,0.4186757206916809,2048,0.002154434690031882,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_si,model_native,,bilinear,default,rgb,43,6590b50660669e11,-6,4,40,True,200,,,,,,,0.02050283610777453,0.04293286055326462,0.4579140519679979,,,,,15
m-brick-kiln,knn5,accuracy,0.7237237237237237,0.6946946978569031,0.7527527809143066,2048,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_si,model_native,,bilinear,default,rgb,2,6590b50660669e11,-6,4,40,True,200,,,,,,,0.10150236636400223,0.11082536727190018,0.13779473304748535,,,,,6
m-brick-kiln,linear,accuracy,0.7827827827827828,0.7607357501983643,0.8068068027496338,2048,522.3345074266832,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet152_s2rgb_satlas_si,model_native,,bilinear,default,rgb,2,6590b50660669e11,-6,4,40,True,200,,,,,,,0.028305547311902046,0.036490920931100845,0.06099981069564819,,,,,15
