dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.6044122770698531,0.5949196815490723,0.6120802760124207,512,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,bandspec_zscore,224,bilinear,default,rgb,19,75933d58e4a14a21,-6,4,40,True,200,,,,,,,0.04855536432985805,0.06375235603436043,0.2642156183719635,,,,,6
benv2,linear,micro_mAP,0.7321660072237658,0.723246693611145,0.7387071847915649,512,8.376776400682907,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,bandspec_zscore,224,bilinear,default,rgb,19,75933d58e4a14a21,-6,4,40,True,200,,,,,,,0.015527480704660871,0.029264852257543487,0.23620399048453883,,,,,15
eurosat-spatial,knn5,accuracy,0.7011111111111111,0.6907361149787903,0.7133333086967468,512,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,bandspec_zscore,224,bilinear,default,all,10,8c255b3b47545931,-6,4,40,True,200,,,,,,,0.08921936899423599,0.0929696261882782,0.21666666865348816,,,,,6
eurosat-spatial,linear,accuracy,0.8025925925925926,0.7922222018241882,0.8116713166236877,512,49.238826317067314,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,bandspec_zscore,224,bilinear,default,all,10,8c255b3b47545931,-6,4,40,True,200,,,,,,,0.043657973408699036,0.04938432574272156,0.102387934923172,,,,,15
forestnet,knn5,accuracy,0.3041289023162135,0.2769385576248169,0.3394259810447693,512,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,bandspec_zscore,224,bilinear,default,all,12,8c255b3b47545931,-6,4,40,True,200,,,,,,,0.3573025166988373,0.37067264318466187,0.4718165993690491,,,,,6
forestnet,linear,accuracy,0.4471299093655589,0.4189325273036957,0.4844159185886383,512,2.5719138090593416,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,bandspec_zscore,224,bilinear,default,all,12,8c255b3b47545931,-6,4,40,True,200,,,,,,,0.04358137398958206,0.058368559926748276,0.30011725425720215,,,,,15
m-bigearthnet,knn5,micro_mAP,0.41437981861972073,0.39955028891563416,0.431260883808136,512,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,bandspec_zscore,224,bilinear,default,rgb,43,75933d58e4a14a21,-6,4,40,True,200,,,,,,,0.04453024246491665,0.0658352064012095,0.3653353289809338,,,,,6
m-bigearthnet,linear,micro_mAP,0.5292514191364075,0.5101074576377869,0.5459574460983276,512,27.28333376486764,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,bandspec_zscore,224,bilinear,default,rgb,43,75933d58e4a14a21,-6,4,40,True,200,,,,,,,0.021801998600537,0.055149172324427335,0.5419410418632419,,,,,15
m-brick-kiln,knn5,accuracy,0.8028028028028028,0.774749755859375,0.8238238096237183,512,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,bandspec_zscore,224,bilinear,default,all,2,8c255b3b47545931,-6,4,40,True,200,,,,,,,0.040440917015075684,0.04403526335954666,0.054482340812683105,,,,,6
m-brick-kiln,linear,accuracy,0.8468468468468469,0.8268017768859863,0.868868887424469,512,10000.0,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,bandspec_zscore,224,bilinear,default,all,2,8c255b3b47545931,-6,4,40,True,200,,,,,,,0.027492988854646683,0.03857237100601196,0.11214834451675415,,,,,15
