dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.5428716979619421,0.5342438220977783,0.5518428683280945,512,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,bandspec_zscore,,bilinear,default,rgb,19,287475fe0489b69c,-6,4,40,True,200,,,,,,,0.055610532584404085,0.0739458772402845,0.2951618460448165,,,,,6
benv2,linear,micro_mAP,0.6774351237447798,0.6678758859634399,0.684857189655304,512,4.641588833612772,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,bandspec_zscore,,bilinear,default,rgb,19,287475fe0489b69c,-6,4,40,True,200,,,,,,,0.01950933033061263,0.0334675946138113,0.3176298724597712,,,,,15
eurosat-spatial,knn5,accuracy,0.6894444444444444,0.6753703951835632,0.701328694820404,512,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,bandspec_zscore,,bilinear,default,all,10,527df386c272f4b9,-6,4,40,True,200,,,,,,,0.09377481043338776,0.10353052616119385,0.14986342191696167,,,,,6
eurosat-spatial,linear,accuracy,0.7588888888888888,0.7479537129402161,0.7707777619361877,512,15.117750706156599,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,bandspec_zscore,,bilinear,default,all,10,527df386c272f4b9,-6,4,40,True,200,,,,,,,0.05846662074327469,0.0674942210316658,0.17797967791557312,,,,,15
forestnet,knn5,accuracy,0.32225579053373615,0.2930513620376587,0.3564954698085785,512,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,bandspec_zscore,,bilinear,default,all,12,527df386c272f4b9,-6,4,40,True,200,,,,,,,0.3450165390968323,0.3635519742965698,0.4582754075527191,,,,,6
forestnet,linear,accuracy,0.4743202416918429,0.4441087543964386,0.5086103081703186,512,4.641588833612772,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,bandspec_zscore,,bilinear,default,all,12,527df386c272f4b9,-6,4,40,True,200,,,,,,,0.05046591907739639,0.06393126398324966,0.30736857652664185,,,,,15
m-bigearthnet,knn5,micro_mAP,0.3353742079337047,0.32047170400619507,0.3539923429489136,512,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,bandspec_zscore,,bilinear,default,rgb,43,287475fe0489b69c,-6,4,40,True,200,,,,,,,0.054376763833123586,0.07399758770195551,0.3929107809482619,,,,,6
m-bigearthnet,linear,micro_mAP,0.47417060083235046,0.4549802541732788,0.48939910531044006,512,15.117750706156599,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,bandspec_zscore,,bilinear,default,rgb,43,287475fe0489b69c,-6,4,40,True,200,,,,,,,0.019321331137054882,0.0465289494672487,0.5220603956732639,,,,,15
m-brick-kiln,knn5,accuracy,0.8348348348348348,0.8147647380828857,0.8529029488563538,512,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,bandspec_zscore,,bilinear,default,all,2,527df386c272f4b9,-6,4,40,True,200,,,,,,,0.043643251061439514,0.04809373617172241,0.06374502182006836,,,,,6
m-brick-kiln,linear,accuracy,0.8578578578578578,0.8378127813339233,0.879879891872406,512,8.376776400682907,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,bandspec_zscore,,bilinear,default,all,2,527df386c272f4b9,-6,4,40,True,200,,,,,,,0.03617659956216812,0.043578699231147766,0.10698249936103821,,,,,15
