dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.669463026943633,0.66150963306427,0.6770548820495605,512,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,model_native,224,bilinear,default,rgb,19,5fb7473f32d40e24,-6,4,40,True,200,,,,,,,0.03959212101701843,0.05375619619888695,0.2468303183191701,,,,,6
benv2,linear,micro_mAP,0.7964933278680899,0.7895791530609131,0.8029594421386719,512,4.641588833612772,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,model_native,224,bilinear,default,rgb,19,5fb7473f32d40e24,-6,4,40,True,200,,,,,,,0.014434486109836909,0.03135545174346158,0.3419059373830494,,,,,15
eurosat-spatial,knn5,accuracy,0.8918518518518519,0.8840555548667908,0.900384247303009,512,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,model_native,224,bilinear,default,all,10,854f49da287ced47,-6,4,40,True,200,,,,,,,0.023630211129784584,0.026794906705617905,0.07826012372970581,,,,,6
eurosat-spatial,linear,accuracy,0.9394444444444444,0.9329583048820496,0.9451851844787598,512,8.376776400682907,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,model_native,224,bilinear,default,all,10,854f49da287ced47,-6,4,40,True,200,,,,,,,0.014500887133181095,0.026421168819069862,0.3200933039188385,,,,,15
forestnet,knn5,accuracy,0.3766364551863041,0.34642496705055237,0.4109516441822052,512,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,model_native,224,bilinear,default,all,12,854f49da287ced47,-6,4,40,True,200,,,,,,,0.359316349029541,0.37322738766670227,0.46019628643989563,,,,,6
forestnet,linear,accuracy,0.5347432024169184,0.505488395690918,0.5651309490203857,512,2.5719138090593416,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,model_native,224,bilinear,default,all,12,854f49da287ced47,-6,4,40,True,200,,,,,,,0.05252552032470703,0.0625302717089653,0.19441097974777222,,,,,15
m-bigearthnet,knn5,micro_mAP,0.5633957624922433,0.5433355569839478,0.5800517201423645,512,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,model_native,224,bilinear,default,rgb,43,5fb7473f32d40e24,-6,4,40,True,200,,,,,,,0.033032565388481976,0.05059753618268079,0.2667986440450646,,,,,6
m-bigearthnet,linear,micro_mAP,0.6678028845964931,0.652334988117218,0.6833135485649109,512,8.376776400682907,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,model_native,224,bilinear,default,rgb,43,5fb7473f32d40e24,-6,4,40,True,200,,,,,,,0.019340216745297577,0.050474237737267516,0.46786893938863,,,,,15
m-brick-kiln,knn5,accuracy,0.7897897897897898,0.7617367506027222,0.8148398399353027,512,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,model_native,224,bilinear,default,all,2,854f49da287ced47,-6,4,40,True,200,,,,,,,0.032233111560344696,0.03893802687525749,0.05528843402862549,,,,,6
m-brick-kiln,linear,accuracy,0.8388388388388388,0.8147897720336914,0.8618869185447693,512,8.376776400682907,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,model_native,224,bilinear,default,all,2,854f49da287ced47,-6,4,40,True,200,,,,,,,0.032676540315151215,0.0504036583006382,0.11199027299880981,,,,,15
m-eurosat,knn5,accuracy,0.875,0.8549750447273254,0.8960250020027161,512,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,model_native,224,bilinear,default,all,10,854f49da287ced47,-6,4,40,True,200,,,,,,,0.033199846744537354,0.042300570756196976,0.12340408563613892,,,,,6
m-eurosat,linear,accuracy,0.933,0.9189500212669373,0.9480249881744385,512,88.86238162743389,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,model_native,224,bilinear,default,all,10,854f49da287ced47,-6,4,40,True,200,,,,,,,0.019276926293969154,0.04541122540831566,0.2553366422653198,,,,,15
m-forestnet,knn5,accuracy,0.3675730110775428,0.33632931113243103,0.3967774510383606,512,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,model_native,224,bilinear,default,all,12,854f49da287ced47,-6,4,40,True,200,,,,,,,0.35025304555892944,0.36331185698509216,0.47605836391448975,,,,,6
m-forestnet,linear,accuracy,0.5065458207452165,0.4742698669433594,0.536782443523407,512,4.641588833612772,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,model_native,224,bilinear,default,all,12,854f49da287ced47,-6,4,40,True,200,,,,,,,0.06332684308290482,0.07506179809570312,0.19466166198253632,,,,,15
m-pv4ger,knn5,accuracy,0.9579579579579579,0.9449449181556702,0.9690190553665161,512,,,,11814,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,model_native,224,bilinear,default,all,2,854f49da287ced47,-6,4,40,True,200,,,,,,,0.02662658877670765,0.038614802062511444,0.16470569372177124,,,,,6
m-pv4ger,linear,accuracy,0.9619619619619619,0.9509509801864624,0.9729729890823364,512,0.7896522868499717,,,11814,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,model_native,224,bilinear,default,all,2,854f49da287ced47,-6,4,40,True,200,,,,,,,0.012644140049815178,0.04049395024776459,0.3315265476703644,,,,,15
m-so2sat,knn5,accuracy,0.4198782961460446,0.38734787702560425,0.451343834400177,512,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,model_native,224,bilinear,default,rgb,17,5fb7473f32d40e24,-6,4,40,True,200,,,,,,,0.20628899335861206,0.21780849993228912,0.31063979864120483,,,,,6
m-so2sat,linear,accuracy,0.539553752535497,0.5120689272880554,0.5689908266067505,512,2.5719138090593416,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,model_native,224,bilinear,default,rgb,17,5fb7473f32d40e24,-6,4,40,True,200,,,,,,,0.042704951018095016,0.05922844633460045,0.10545286536216736,,,,,15
so2sat,knn5,accuracy,0.4198782961460446,0.3955121636390686,0.4493407905101776,512,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,model_native,224,bilinear,default,rgb,17,5fb7473f32d40e24,-6,4,40,True,200,,,,,,,0.20628899335861206,0.21780849993228912,0.31063979864120483,,,,,6
so2sat,linear,accuracy,0.5415821501014199,0.5131338834762573,0.5730223059654236,512,2.5719138090593416,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,model_native,224,bilinear,default,rgb,17,5fb7473f32d40e24,-6,4,40,True,200,,,,,,,0.03834383562207222,0.05027986690402031,0.09211698174476624,,,,,15
treesatai,knn5,micro_mAP,0.4323249399649264,0.41574162244796753,0.4475761950016022,512,,,,4000,1000,2000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,model_native,224,bilinear,default,rgb,15,5fb7473f32d40e24,-6,4,40,True,200,,,,,,,0.06715328637510538,0.08745915926992893,0.37490173478921257,,,,,6
treesatai,linear,micro_mAP,0.5760097005893402,0.5612456202507019,0.5912171602249146,512,4.641588833612772,,,4000,1000,2000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,model_native,224,bilinear,default,rgb,15,5fb7473f32d40e24,-6,4,40,True,200,,,,,,,0.023633668726931015,0.036033741058781744,0.2791737715403239,,,,,15
