dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.6340625461426325,0.6245371699333191,0.6435081362724304,512,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,model_native,,bilinear,default,rgb,19,7756b001380ba655,-6,4,40,True,200,,,,,,,0.04303164576719466,0.058588201082066485,0.26048583419699417,,,,,6
benv2,linear,micro_mAP,0.7664480378795033,0.7595893144607544,0.7739542126655579,512,2.5719138090593416,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,model_native,,bilinear,default,rgb,19,7756b001380ba655,-6,4,40,True,200,,,,,,,0.015335350381639344,0.029927242498256658,0.29340032370466934,,,,,15
eurosat-spatial,knn5,accuracy,0.8474074074074074,0.8392500281333923,0.8577824234962463,512,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,model_native,,bilinear,default,all,10,d27fa4661d27bfea,-6,4,40,True,200,,,,,,,0.03248349577188492,0.03661582991480827,0.17499998211860657,,,,,6
eurosat-spatial,linear,accuracy,0.9051851851851852,0.8975833654403687,0.9122314453125,512,0.7896522868499717,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,model_native,,bilinear,default,all,10,d27fa4661d27bfea,-6,4,40,True,200,,,,,,,0.016420312225818634,0.030912209302186966,0.7559263706207275,,,,,15
forestnet,knn5,accuracy,0.4310171198388721,0.40080565214157104,0.4622860252857208,512,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,model_native,,bilinear,default,all,12,d27fa4661d27bfea,-6,4,40,True,200,,,,,,,0.3055397570133209,0.31820541620254517,0.3775598406791687,,,,,6
forestnet,linear,accuracy,0.5357502517623364,0.5055387616157532,0.5649546980857849,512,8.376776400682907,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,model_native,,bilinear,default,all,12,d27fa4661d27bfea,-6,4,40,True,200,,,,,,,0.06621304899454117,0.07690422236919403,0.1872577667236328,,,,,15
m-bigearthnet,knn5,micro_mAP,0.48973434550016404,0.4733598232269287,0.5069165825843811,512,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,model_native,,bilinear,default,rgb,43,7756b001380ba655,-6,4,40,True,200,,,,,,,0.038325589875755614,0.05687125035843184,0.315079748803793,,,,,6
m-bigearthnet,linear,micro_mAP,0.611145270288318,0.5954684615135193,0.6264137029647827,512,4.641588833612772,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,model_native,,bilinear,default,rgb,43,7756b001380ba655,-6,4,40,True,200,,,,,,,0.020045140898938097,0.05045297326043595,0.46001679744831353,,,,,15
m-brick-kiln,knn5,accuracy,0.8228228228228228,0.7987236976623535,0.8438688516616821,512,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,model_native,,bilinear,default,all,2,d27fa4661d27bfea,-6,4,40,True,200,,,,,,,0.022621819749474525,0.02568834275007248,0.0325581431388855,,,,,6
m-brick-kiln,linear,accuracy,0.8578578578578578,0.8368117809295654,0.8778778910636902,512,49.238826317067314,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,model_native,,bilinear,default,all,2,d27fa4661d27bfea,-6,4,40,True,200,,,,,,,0.02080301195383072,0.028032826259732246,0.1157112717628479,,,,,15
m-eurosat,knn5,accuracy,0.841,0.818975031375885,0.8620499968528748,512,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,model_native,,bilinear,default,all,10,d27fa4661d27bfea,-6,4,40,True,200,,,,,,,0.032599449157714844,0.03514902666211128,0.056519925594329834,,,,,6
m-eurosat,linear,accuracy,0.897,0.8799499869346619,0.9169999957084656,512,8.376776400682907,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,model_native,,bilinear,default,all,10,d27fa4661d27bfea,-6,4,40,True,200,,,,,,,0.034572843462228775,0.06579073518514633,0.7400598526000977,,,,,15
m-forestnet,knn5,accuracy,0.41289023162134947,0.3796575963497162,0.442119836807251,512,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,model_native,,bilinear,default,all,12,d27fa4661d27bfea,-6,4,40,True,200,,,,,,,0.3162146806716919,0.33359596133232117,0.4486505687236786,,,,,6
m-forestnet,linear,accuracy,0.5337361530715005,0.5044562220573425,0.5670191645622253,512,8.376776400682907,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,model_native,,bilinear,default,all,12,d27fa4661d27bfea,-6,4,40,True,200,,,,,,,0.059369247406721115,0.07904581725597382,0.1699574738740921,,,,,15
m-pv4ger,knn5,accuracy,0.953953953953954,0.9409409165382385,0.9659910202026367,512,,,,11814,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,model_native,,bilinear,default,all,2,d27fa4661d27bfea,-6,4,40,True,200,,,,,,,0.018818793818354607,0.019957760348916054,0.042423784732818604,,,,,6
m-pv4ger,linear,accuracy,0.9619619619619619,0.9499499201774597,0.9729980230331421,512,289.426612471674,,,11814,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,model_native,,bilinear,default,all,2,d27fa4661d27bfea,-6,4,40,True,200,,,,,,,0.022063536569476128,0.04712534323334694,0.36773553490638733,,,,,15
m-so2sat,knn5,accuracy,0.3661257606490872,0.3296146094799042,0.3965517282485962,512,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,model_native,,bilinear,default,rgb,17,7756b001380ba655,-6,4,40,True,200,,,,,,,0.200811505317688,0.20751681923866272,0.2919362187385559,,,,,6
m-so2sat,linear,accuracy,0.4969574036511156,0.46746957302093506,0.5253549814224243,512,0.13433993325988988,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,model_native,,bilinear,default,rgb,17,7756b001380ba655,-6,4,40,True,200,,,,,,,0.043371520936489105,0.04984079673886299,0.13106034696102142,,,,,15
so2sat,knn5,accuracy,0.3661257606490872,0.33666327595710754,0.40164807438850403,512,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,model_native,,bilinear,default,rgb,17,7756b001380ba655,-6,4,40,True,200,,,,,,,0.200811505317688,0.20751681923866272,0.2919362187385559,,,,,6
so2sat,linear,accuracy,0.49797160243407707,0.4685344696044922,0.5314401388168335,512,0.13433993325988988,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,model_native,,bilinear,default,rgb,17,7756b001380ba655,-6,4,40,True,200,,,,,,,0.043492391705513,0.048862919211387634,0.13120855391025543,,,,,15
treesatai,knn5,micro_mAP,0.43017586554103737,0.4153241515159607,0.44429898262023926,512,,,,4000,1000,2000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,model_native,,bilinear,default,rgb,15,7756b001380ba655,-6,4,40,True,200,,,,,,,0.06839332760622104,0.08749231100082397,0.4598660280307134,,,,,6
treesatai,linear,micro_mAP,0.5861207236530981,0.5689958930015564,0.6013700366020203,512,8.376776400682907,,,4000,1000,2000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_moco,model_native,,bilinear,default,rgb,15,7756b001380ba655,-6,4,40,True,200,,,,,,,0.02228823353846868,0.036936169117689134,0.342920657992363,,,,,15
