dataset,method,metric_name,metric_value,ci_lower,ci_upper,feature_dim,best_c,best_lr,best_batch_size,n_train,n_val,n_test,seed,model,name,normalization,image_size,interpolation,partition,bands,num_classes,config_hash,c_range_start,c_range_stop,c_range_num,merge_val,bootstrap,res,pool,fw_iou,precision,recall,f1,ece,rms_ce,mce,ece_ts,rms_ce_ts,mce_ts,temperature,calibration_n_bins
benv2,knn5,micro_mAP,0.6279863758061174,0.6199941635131836,0.6373265385627747,512,,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,,bilinear,default,rgb,19,dc5d2c748b241aed,-6,4,40,True,200,,,,,,,0.044360514803740536,0.05941289937809894,0.3231440896266385,,,,,6
benv2,linear,micro_mAP,0.7646379306752943,0.7567493319511414,0.7712963223457336,512,0.437547937507418,,,20000,4000,4000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,,bilinear,default,rgb,19,dc5d2c748b241aed,-6,4,40,True,200,,,,,,,0.01596719619517803,0.030674360962094444,0.2312900722026825,,,,,15
eurosat-spatial,knn5,accuracy,0.8240740740740741,0.8138842582702637,0.8357546329498291,512,,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,,bilinear,default,all,10,1374acb7e1d8cc1f,-6,4,40,True,200,,,,,,,0.03666507825255394,0.041074514389038086,0.058763086795806885,,,,,6
eurosat-spatial,linear,accuracy,0.9044444444444445,0.8966619968414307,0.9133333563804626,512,0.437547937507418,,,16200,5400,5400,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,,bilinear,default,all,10,1374acb7e1d8cc1f,-6,4,40,True,200,,,,,,,0.009107457473874092,0.017520492896437645,0.2535872757434845,,,,,15
forestnet,knn5,accuracy,0.3877139979859013,0.3564451038837433,0.4169939458370209,512,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,,bilinear,default,rgb,12,dc5d2c748b241aed,-6,4,40,True,200,,,,,,,0.3176247477531433,0.3313780128955841,0.38646814227104187,,,,,6
forestnet,linear,accuracy,0.5347432024169184,0.5014350414276123,0.5689828991889954,512,0.012663801734674022,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,,bilinear,default,rgb,12,dc5d2c748b241aed,-6,4,40,True,200,,,,,,,0.0950360968708992,0.10636327415704727,0.16763165593147278,,,,,15
m-bigearthnet,knn5,micro_mAP,0.46714129632753965,0.4498128592967987,0.48603466153144836,512,,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,,bilinear,default,all,43,1374acb7e1d8cc1f,-6,4,40,True,200,,,,,,,0.040246528270112915,0.057849009413012235,0.33239134487717653,,,,,6
m-bigearthnet,linear,micro_mAP,0.5967926053381201,0.5793644189834595,0.6124916672706604,512,0.7896522868499717,,,20000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,,bilinear,default,all,43,1374acb7e1d8cc1f,-6,4,40,True,200,,,,,,,0.018987510331668133,0.04832623335857724,0.4654063613608826,,,,,15
m-brick-kiln,knn5,accuracy,0.8958958958958959,0.8808808922767639,0.9119119048118591,512,,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,,bilinear,default,all,2,1374acb7e1d8cc1f,-6,4,40,True,200,,,,,,,0.04104083776473999,0.04787700995802879,0.08444267511367798,,,,,6
m-brick-kiln,linear,accuracy,0.908908908908909,0.8918918967247009,0.9249749779701233,512,3070.2906297578375,,,15063,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,,bilinear,default,all,2,1374acb7e1d8cc1f,-6,4,40,True,200,,,,,,,0.020612722262740135,0.028238637372851372,0.07967782020568848,,,,,15
m-eurosat,knn5,accuracy,0.834,0.8100000023841858,0.8540499806404114,512,,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,,bilinear,default,all,10,1374acb7e1d8cc1f,-6,4,40,True,200,,,,,,,0.014399819076061249,0.016789233312010765,0.030768990516662598,,,,,6
m-eurosat,linear,accuracy,0.894,0.8749750256538391,0.9120749831199646,512,2.5719138090593416,,,2000,1000,1000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,,bilinear,default,all,10,1374acb7e1d8cc1f,-6,4,40,True,200,,,,,,,0.029088405892252922,0.0644291564822197,0.3054729402065277,,,,,15
m-forestnet,knn5,accuracy,0.38972809667673713,0.3593907356262207,0.42298591136932373,512,,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,,bilinear,default,all,12,1374acb7e1d8cc1f,-6,4,40,True,200,,,,,,,0.30433177947998047,0.3146730959415436,0.38803020119667053,,,,,6
m-forestnet,linear,accuracy,0.5176233635448136,0.48930010199546814,0.5508811473846436,512,0.0744380301325168,,,6464,989,993,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,,bilinear,default,all,12,1374acb7e1d8cc1f,-6,4,40,True,200,,,,,,,0.05905074626207352,0.08072304725646973,0.24441099166870117,,,,,15
m-pv4ger,knn5,accuracy,0.943943943943944,0.9299048781394958,0.9579579830169678,512,,,,11814,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,,bilinear,default,rgb,2,dc5d2c748b241aed,-6,4,40,True,200,,,,,,,0.029829872772097588,0.03305421769618988,0.08888912200927734,,,,,6
m-pv4ger,linear,accuracy,0.953953953953954,0.939914882183075,0.9679930210113525,512,0.437547937507418,,,11814,999,999,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,,bilinear,default,rgb,2,dc5d2c748b241aed,-6,4,40,True,200,,,,,,,0.022873006761074066,0.05368727818131447,0.37590011954307556,,,,,15
m-so2sat,knn5,accuracy,0.3367139959432049,0.31029409170150757,0.3651115596294403,512,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,,bilinear,default,rgb,17,dc5d2c748b241aed,-6,4,40,True,200,,,,,,,0.2604469060897827,0.2798387110233307,0.4125012755393982,,,,,6
m-so2sat,linear,accuracy,0.4908722109533469,0.46143507957458496,0.5172666907310486,512,0.022854638641349883,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,,bilinear,default,rgb,17,dc5d2c748b241aed,-6,4,40,True,200,,,,,,,0.03741838037967682,0.04968773573637009,0.10337454080581665,,,,,15
so2sat,knn5,accuracy,0.3367139959432049,0.3123224973678589,0.36531439423561096,512,,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,,bilinear,default,rgb,17,dc5d2c748b241aed,-6,4,40,True,200,,,,,,,0.2604469060897827,0.2798387110233307,0.4125012755393982,,,,,6
so2sat,linear,accuracy,0.48884381338742394,0.4614604413509369,0.5212981700897217,512,0.022854638641349883,,,19992,986,986,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,,bilinear,default,rgb,17,dc5d2c748b241aed,-6,4,40,True,200,,,,,,,0.03414880484342575,0.04733899608254433,0.10297167301177979,,,,,15
treesatai,knn5,micro_mAP,0.40152824639797147,0.38675445318222046,0.41787341237068176,512,,,,4000,1000,2000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,,bilinear,default,rgb,15,dc5d2c748b241aed,-6,4,40,True,200,,,,,,,0.07195333087195953,0.09244049961368243,0.3873298496007919,,,,,6
treesatai,linear,micro_mAP,0.600208967395975,0.5845397710800171,0.6133571863174438,512,0.24244620170823258,,,4000,1000,2000,0,torchgeo_bench.models.TorchGeoResNetBench,tgeo_resnet18_s2rgb_seco,bandspec_zscore,,bilinear,default,rgb,15,dc5d2c748b241aed,-6,4,40,True,200,,,,,,,0.023680863589591657,0.037249563882748284,0.30444740255673725,,,,,15
